# SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
36 599609680.000000 182.074500 0.000122518
37 599609760.000000 182.186500 0.000122548
38 599609840.000000 182.305000 0.000122548
39 599609920.000000 182.419000 0.000122548
40 599610000.000000 182.534000 0.000122548
41 599610080.000000 182.649000 0.000122518
42 599610160.000000 182.767500 0.000122548
43 599610240.000000 182.881000 0.000122518
44 599610320.000000 182.997000 0.000122488
45 599610400.000000 183.112500 0.000122488
46 599610480.000000 183.227500 0.000122459
47 599610560.000000 183.346000 0.000122518
48 599610640.000000 183.457500 0.000122459
49 599610720.000000 183.574000 0.000122488
50 599610800.000000 183.685500 0.000122459
51 599610880.000000 183.802500 0.000122429
52 599610960.000000 183.916000 0.000122488
53 599611040.000000 184.031000 0.000122518
54 599611120.000000 184.147500 0.000122548
55 599611200.000000 184.265000 0.000122459
56 599611280.000000 184.380500 0.000122459
57 599611360.000000 184.494000 0.000122488
58 599611440.000000 184.611000 0.000122459
59 599611520.000000 184.725500 0.000122488
60 599611600.000000 184.842000 0.000122488
61 599611680.000000 184.955000 0.000122518
62 599611760.000000 185.073000 0.000122518
63 599611840.000000 185.184500 0.000122488
64 599611920.000000 185.304000 0.000122488
65 599612000.000000 185.417500 0.000122518
66 599612080.000000 185.533000 0.000122459
67 599612160.000000 185.648000 0.000122459
68 599612240.000000 185.764500 0.000122459
69 599612320.000000 185.879000 0.000122548
70 599612400.000000 185.994000 0.000122548
71 599612480.000000 186.111500 0.000122518
72 599612560.000000 186.226000 0.000122548
73 599612640.000000 186.342500 0.000122548
74 599612720.000000 186.457500 0.000122608
75 599612800.000000 186.575500 0.000122518
76 599612880.000000 186.688500 0.000122608
77 599612960.000000 186.808000 0.000122548
78 599613040.000000 186.920000 0.000122608
79 599613120.000000 187.037500 0.000122548
80 599613200.000000 187.154500 0.000122578
81 599613280.000000 187.267500 0.000122548
82 599613360.000000 187.385500 0.000122548
83 599613440.000000 187.499000 0.000122608
84 599613520.000000 187.617000 0.000122667
85 599613600.000000 187.729000 0.000122548
86 599613680.000000 187.848500 0.000122608
87 599613760.000000 187.960000 0.000122578
88 599613840.000000 188.077500 0.000122637
89 599613920.000000 188.193500 0.000122548
90 599614000.000000 188.308000 0.000122518
91 599614080.000000 188.424000 0.000122548
92 599614160.000000 188.539000 0.000122608
93 599614240.000000 188.653000 0.000122548
94 599614320.000000 188.766500 0.000122578
95 599614400.000000 188.883500 0.000122548
96 599614480.000000 188.995500 0.000122578
97 599614560.000000 189.114500 0.000122548
98 599614640.000000 189.229500 0.000122637
99 599614720.000000 189.344500 0.000122578
100 599614800.000000 189.459000 0.000122548
101 599614880.000000 189.573500 0.000122608
102 599614960.000000 189.690000 0.000122548
103 599615040.000000 189.804500 0.000122608
104 599615120.000000 189.919000 0.000122548
105 599615200.000000 190.033500 0.000122637
106 599615280.000000 190.152000 0.000122637
107 599615360.000000 190.265000 0.000122608
108 599615440.000000 190.382500 0.000122667
109 599615520.000000 190.496000 0.000122637
110 599615600.000000 190.611500 0.000122637
111 599615680.000000 190.727000 0.000122637
112 599615760.000000 190.841500 0.000122608
113 599615840.000000 190.957000 0.000122637
114 599615920.000000 191.073500 0.000122637
115 599616000.000000 191.187000 0.000122608
116 599616080.000000 191.302000 0.000122667
117 599616160.000000 191.419500 0.000122637
118 599616240.000000 191.533000 0.000122637
119 599616320.000000 191.651500 0.000122697
120 599616400.000000 191.768000 0.000122667
121 599616480.000000 191.883500 0.000122637
122 599616560.000000 192.000500 0.000122637
123 599616640.000000 192.117500 0.000122608
124 599616720.000000 192.233000 0.000122637
125 599616800.000000 192.347000 0.000122637
126 599616880.000000 192.465500 0.000122637
127 599616960.000000 192.577000 0.000122667
128 599617040.000000 192.694500 0.000122697
129 599617120.000000 192.809000 0.000122637
130 599617200.000000 192.925000 0.000122667
131 599617280.000000 193.040500 0.000122608
132 599617360.000000 193.158500 0.000122637
133 599617440.000000 193.274500 0.000122637
134 599617520.000000 193.387500 0.000122608
135 599617600.000000 193.505000 0.000122608
136 599617680.000000 193.618500 0.000122578
137 599617760.000000 193.735500 0.000122608
138 599617840.000000 193.849000 0.000122637
139 599617920.000000 193.964000 0.000122637
140 599618000.000000 194.078500 0.000122637
141 599618080.000000 194.196500 0.000122637
142 599618160.000000 194.308500 0.000122667
143 599618240.000000 194.425500 0.000122667
