# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
200 584812880.000000 200.982000 0.00012982
201 584812960.000000 201.096000 0.00012982
202 584813040.000000 201.209500 0.00012985
203 584813120.000000 201.326500 0.00012979
204 584813200.000000 201.440500 0.00012979
205 584813280.000000 201.557000 0.00012982
206 584813360.000000 201.673000 0.00012982
207 584813440.000000 201.790000 0.00012979
208 584813520.000000 201.903500 0.00012982
209 584813600.000000 202.021500 0.00012982
210 584813680.000000 202.138000 0.00012979
211 584813760.000000 202.253500 0.000129701
212 584813840.000000 202.369000 0.00012976
213 584813920.000000 202.484000 0.00012973
214 584814000.000000 202.600000 0.000129701
215 584814080.000000 202.714500 0.000129671
216 584814160.000000 202.833000 0.000129671
217 584814240.000000 202.947000 0.000129641
218 584814320.000000 203.063000 0.000129641
219 584814400.000000 203.179000 0.000129641
220 584814480.000000 203.295500 0.000129611
221 584814560.000000 203.410500 0.000129671
222 584814640.000000 203.525500 0.000129641
223 584814720.000000 203.644000 0.000129552
224 584814800.000000 203.757000 0.000129581
225 584814880.000000 203.874000 0.000129611
226 584814960.000000 203.987000 0.000129581
227 584815040.000000 204.102500 0.000129581
228 584815120.000000 204.219000 0.000129641
229 584815200.000000 204.333000 0.000129581
230 584815280.000000 204.448000 0.000129611
231 584815360.000000 204.565000 0.000129611
232 584815440.000000 204.679500 0.000129641
233 584815520.000000 204.794500 0.000129522
234 584815600.000000 204.912500 0.000129552
235 584815680.000000 205.024000 0.000129611
236 584815760.000000 205.142500 0.000129611
237 584815840.000000 205.256500 0.000129581
238 584815920.000000 205.371500 0.000129552
239 584816000.000000 205.484500 0.000129552
240 584816080.000000 205.603000 0.000129611
241 584816160.000000 205.717500 0.000129581
242 584816240.000000 205.833000 0.000129581
243 584816320.000000 205.948000 0.000129581
244 584816400.000000 206.064000 0.000129492
245 584816480.000000 206.178500 0.000129552
246 584816560.000000 206.291500 0.000129492
247 584816640.000000 206.407000 0.000129432
