# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
37 604051240.000000 182.166500 0.000204296
38 604051320.000000 182.284500 0.000204266
39 604051400.000000 182.398000 0.000204415
40 604051480.000000 182.514000 0.000204385
41 604051560.000000 182.629500 0.000204445
42 604051640.000000 182.747000 0.000204385
43 604051720.000000 182.862000 0.000204266
44 604051800.000000 182.978500 0.000204296
45 604051880.000000 183.093500 0.000204177
46 604051960.000000 183.208000 0.000204236
47 604052040.000000 183.324000 0.000204296
48 604052120.000000 183.437500 0.000204326
49 604052200.000000 183.555000 0.000204415
50 604052280.000000 183.668000 0.000204385
51 604052360.000000 183.783000 0.000204445
52 604052440.000000 183.896000 0.000204355
53 604052520.000000 184.014500 0.000204177
54 604052600.000000 184.130500 0.000204236
55 604052680.000000 184.244000 0.000204177
56 604052760.000000 184.358500 0.000204266
57 604052840.000000 184.473500 0.000204385
58 604052920.000000 184.590500 0.000204415
59 604053000.000000 184.705000 0.000204385
60 604053080.000000 184.820000 0.000204385
61 604053160.000000 184.934500 0.000204415
62 604053240.000000 185.052500 0.000204326
63 604053320.000000 185.166500 0.000204206
64 604053400.000000 185.282000 0.000204177
65 604053480.000000 185.397500 0.000204177
66 604053560.000000 185.514500 0.000204296
67 604053640.000000 185.639000 0.000204355
68 604053720.000000 185.751500 0.000204385
69 604053800.000000 185.855000 0.000204415
70 604053880.000000 185.969500 0.000204326
71 604053960.000000 186.087000 0.000204326
72 604054040.000000 186.201500 0.000204266
73 604054120.000000 186.319500 0.000204296
74 604054200.000000 186.435000 0.000204266
75 604054280.000000 186.553000 0.000204266
76 604054360.000000 186.669000 0.000204266
77 604054440.000000 186.787000 0.000204326
78 604054520.000000 186.900000 0.000204385
79 604054600.000000 187.018000 0.000204415
80 604054680.000000 187.135000 0.000204385
81 604054760.000000 187.244000 0.000204296
82 604054840.000000 187.363000 0.000204266
83 604054920.000000 187.475500 0.000204236
84 604055000.000000 187.594000 0.000204206
85 604055080.000000 187.709000 0.000204206
86 604055160.000000 187.826500 0.000204266
87 604055240.000000 187.940000 0.000204296
88 604055320.000000 188.057000 0.000204415
89 604055400.000000 188.174500 0.000204415
90 604055480.000000 188.286500 0.000204475
91 604055560.000000 188.405000 0.000204326
92 604055640.000000 188.516000 0.000204296
93 604055720.000000 188.633500 0.000204236
94 604055800.000000 188.745000 0.000204117
95 604055880.000000 188.861000 0.000204236
96 604055960.000000 188.976000 0.000204266
97 604056040.000000 189.094500 0.000204475
98 604056120.000000 189.209000 0.000204475
99 604056200.000000 189.324500 0.000204445
100 604056280.000000 189.441000 0.000204445
101 604056360.000000 189.557500 0.000204355
102 604056440.000000 189.670500 0.000204266
103 604056520.000000 189.784000 0.000204177
104 604056600.000000 189.899500 0.000204147
105 604056680.000000 190.014000 0.000204296
106 604056760.000000 190.131500 0.000204475
107 604056840.000000 190.243500 0.000204683
108 604056920.000000 190.361000 0.000204683
109 604057000.000000 190.476500 0.000204564
110 604057080.000000 190.591000 0.000204415
111 604057160.000000 190.707000 0.000204236
112 604057240.000000 190.822000 0.000204177
113 604057320.000000 190.937000 0.000204087
114 604057400.000000 191.051000 0.000204266
115 604057480.000000 191.169500 0.000204564
116 604057560.000000 191.281500 0.000204683
117 604057640.000000 191.400000 0.000204832
118 604057720.000000 191.515500 0.000204713
119 604057800.000000 191.632000 0.000204534
120 604057880.000000 191.747500 0.000204266
121 604057960.000000 191.864500 0.000203968
122 604058040.000000 191.979500 0.000204057
123 604058120.000000 192.096500 0.000204177
124 604058200.000000 192.212000 0.000204534
125 604058280.000000 192.325500 0.000204802
126 604058360.000000 192.445500 0.000204743
127 604058440.000000 192.557500 0.000204653
128 604058520.000000 192.674500 0.000204415
129 604058600.000000 192.789500 0.000204236
130 604058680.000000 192.904500 0.000204117
131 604058760.000000 193.021000 0.000203998
132 604058840.000000 193.137500 0.000204266
133 604058920.000000 193.254500 0.000204445
134 604059000.000000 193.367000 0.000204832
135 604059080.000000 193.485000 0.000204802
136 604059160.000000 193.600000 0.000204773
137 604059240.000000 193.714500 0.000204534
138 604059320.000000 193.826000 0.000204177
139 604059400.000000 193.943500 0.000204028
140 604059480.000000 194.059000 0.000204117
141 604059560.000000 194.174000 0.000204206
142 604059640.000000 194.287000 0.000204475
143 604059720.000000 194.403500 0.000204653
144 604059800.000000 194.520000 0.000204743
