# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
37 606145460.000000 182.166500 0.000212491
38 606145540.000000 182.282500 0.000212432
39 606145620.000000 182.396500 0.000212402
40 606145700.000000 182.513000 0.000212372
41 606145780.000000 182.626000 0.000212342
42 606145860.000000 182.744000 0.000212432
43 606145940.000000 182.861000 0.000212402
44 606146020.000000 182.975500 0.000212283
45 606146100.000000 183.092500 0.000212402
46 606146180.000000 183.206500 0.000212342
47 606146260.000000 183.323000 0.000212402
48 606146340.000000 183.437500 0.000212402
49 606146420.000000 183.554500 0.000212313
50 606146500.000000 183.665500 0.000212313
51 606146580.000000 183.783000 0.000212372
52 606146660.000000 183.894500 0.000212462
53 606146740.000000 184.012000 0.000212432
54 606146820.000000 184.128000 0.000212313
55 606146900.000000 184.243000 0.000212402
56 606146980.000000 184.360000 0.000212313
57 606147060.000000 184.475000 0.000212372
58 606147140.000000 184.591000 0.000212372
59 606147220.000000 184.703500 0.000212402
60 606147300.000000 184.821500 0.000212432
61 606147380.000000 184.936000 0.000212432
62 606147460.000000 185.051500 0.000212462
63 606147540.000000 185.166000 0.000212342
64 606147620.000000 185.281500 0.000212372
65 606147700.000000 185.396000 0.000212283
66 606147780.000000 185.514000 0.000212253
67 606147860.000000 185.629000 0.000212283
68 606147940.000000 185.742500 0.000212342
69 606148020.000000 185.859500 0.000212462
70 606148100.000000 185.972500 0.000212551
71 606148180.000000 186.089000 0.000212491
72 606148260.000000 186.203000 0.000212462
73 606148340.000000 186.322000 0.000212372
74 606148420.000000 186.435000 0.000212283
75 606148500.000000 186.552500 0.000212313
76 606148580.000000 186.669000 0.000212313
77 606148660.000000 186.784500 0.000212372
78 606148740.000000 186.900000 0.000212402
79 606148820.000000 187.014000 0.000212581
80 606148900.000000 187.131500 0.000212462
81 606148980.000000 187.245500 0.000212462
82 606149060.000000 187.363000 0.000212372
83 606149140.000000 187.473500 0.000212253
84 606149220.000000 187.593000 0.000212164
85 606149300.000000 187.707500 0.000212134
86 606149380.000000 187.823000 0.000212313
87 606149460.000000 187.939000 0.000212313
88 606149540.000000 188.054000 0.000212402
89 606149620.000000 188.171000 0.000212491
90 606149700.000000 188.286000 0.000212342
91 606149780.000000 188.401000 0.000212372
92 606149860.000000 188.516000 0.000212223
93 606149940.000000 188.632500 0.000212134
94 606150020.000000 188.743000 0.000212074
95 606150100.000000 188.861500 0.000212074
96 606150180.000000 188.974000 0.000212342
97 606150260.000000 189.091500 0.000212462
98 606150340.000000 189.207500 0.000212551
99 606150420.000000 189.324000 0.000212491
100 606150500.000000 189.438000 0.000212342
101 606150580.000000 189.554000 0.000212313
102 606150660.000000 189.668000 0.000212044
103 606150740.000000 189.782000 0.000212104
104 606150820.000000 189.900000 0.000212134
105 606150900.000000 190.013500 0.000212283
106 606150980.000000 190.129000 0.000212462
107 606151060.000000 190.245000 0.000212551
108 606151140.000000 190.360000 0.0002127
109 606151220.000000 190.475500 0.000212491
110 606151300.000000 190.592000 0.000212342
111 606151380.000000 190.705500 0.000212193
112 606151460.000000 190.820500 0.000212044
113 606151540.000000 190.937500 0.000212193
114 606151620.000000 191.049000 0.000212313
115 606151700.000000 191.167000 0.000212491
116 606151780.000000 191.281500 0.0002127
117 606151860.000000 191.397500 0.0002127
118 606151940.000000 191.513500 0.000212581
119 606152020.000000 191.632500 0.000212462
120 606152100.000000 191.748000 0.000212283
121 606152180.000000 191.862000 0.000212074
122 606152260.000000 191.976500 0.000212074
123 606152340.000000 192.094500 0.000212283
124 606152420.000000 192.212500 0.000212491
125 606152500.000000 192.325000 0.00021273
126 606152580.000000 192.442500 0.00021273
127 606152660.000000 192.557000 0.000212641
128 606152740.000000 192.673000 0.000212462
129 606152820.000000 192.786000 0.000212164
130 606152900.000000 192.903500 0.000212074
131 606152980.000000 193.018000 0.000212134
132 606153060.000000 193.134500 0.000212342
133 606153140.000000 193.252500 0.000212551
134 606153220.000000 193.364500 0.00021267
135 606153300.000000 193.483000 0.000212849
136 606153380.000000 193.598000 0.00021276
137 606153460.000000 193.713500 0.000212551
138 606153540.000000 193.827500 0.000212283
139 606153620.000000 193.944500 0.000212134
140 606153700.000000 194.057000 0.000212193
141 606153780.000000 194.173500 0.000212283
142 606153860.000000 194.288500 0.000212581
143 606153940.000000 194.403000 0.00021273
144 606154020.000000 194.519500 0.000212819
