# NO SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
1872 456403440.000000 458.402000 0.000207067
1873 456403520.000000 458.561500 0.000207306
1874 456403600.000000 458.716500 0.000207008
1875 456403680.000000 458.871500 0.00020674
1876 456403760.000000 459.028500 0.000205965
1877 456403840.000000 459.179500 0.000205637
1878 456403920.000000 459.337500 0.000206531
1879 456404000.000000 459.489500 0.000207097
1880 456404080.000000 459.645500 0.000207067
1881 456404160.000000 459.799500 0.000206859
1882 456404240.000000 459.951500 0.000206531
1883 456404320.000000 460.107500 0.000206084
1884 456404400.000000 460.264000 0.000206114
1885 456404480.000000 460.418500 0.000206591
1886 456404560.000000 460.571000 0.00020674
1887 456404640.000000 460.725500 0.00020662
1888 456404720.000000 460.884000 0.000206859
1889 456404800.000000 461.040000 0.000206829
1890 456404880.000000 461.191500 0.000206382
1891 456404960.000000 461.346500 0.000206084
1892 456405040.000000 461.503500 0.000206144
1893 456405120.000000 461.662000 0.000206233
1894 456405200.000000 461.814000 0.000206561
1895 456405280.000000 461.968000 0.000207246
1896 456405360.000000 462.124000 0.000207276
1897 456405440.000000 462.281500 0.000206293
1898 456405520.000000 462.436000 0.000205667
1899 456405600.000000 462.591500 0.000205607
1900 456405680.000000 462.743500 0.000206173
1901 456405760.000000 462.903000 0.000207246
1902 456405840.000000 463.057500 0.000207872
1903 456405920.000000 463.210500 0.000207127
1904 456406000.000000 463.367500 0.000205637
1905 456406080.000000 463.520500 0.00020516
1906 456406160.000000 463.678500 0.000205488
1907 456406240.000000 463.832000 0.00020668
1908 456406320.000000 463.988500 0.000208081
1909 456406400.000000 464.144000 0.000207813
1910 456406480.000000 464.299000 0.000206263
1911 456406560.000000 464.456000 0.000204892
1912 456406640.000000 464.609500 0.000204862
1913 456406720.000000 464.763000 0.000206084
1914 456406800.000000 464.918500 0.000207693
1915 456406880.000000 465.074000 0.000208319
1916 456406960.000000 465.227000 0.000206918
1917 456407040.000000 465.382500 0.00020519
1918 456407120.000000 465.533500 0.000204475
1919 456407200.000000 465.692500 0.000205399
1920 456407280.000000 465.848000 0.000207425
1921 456407360.000000 466.002500 0.000208468
1922 456407440.000000 466.160000 0.000207604
1923 456407520.000000 466.314000 0.000205518
1924 456407600.000000 466.472500 0.000204266
1925 456407680.000000 466.625500 0.000204892
1926 456407760.000000 466.781000 0.000206859
1927 456407840.000000 466.935500 0.000208558
1928 456407920.000000 467.091500 0.00020814
1929 456408000.000000 467.244500 0.000205995
1930 456408080.000000 467.402000 0.000204266
1931 456408160.000000 467.557000 0.000204296
1932 456408240.000000 467.712500 0.000206263
1933 456408320.000000 467.865500 0.000208498
1934 456408400.000000 468.022500 0.000208856
1935 456408480.000000 468.180500 0.000206769
1936 456408560.000000 468.331500 0.000204236
1937 456408640.000000 468.486000 0.0002037
1938 456408720.000000 468.641500 0.000205279
1939 456408800.000000 468.798000 0.000208111
1940 456408880.000000 468.955500 0.000209452
1941 456408960.000000 469.106500 0.000207842
1942 456409040.000000 469.262000 0.000204832
1943 456409120.000000 469.418000 0.000203014
1944 456409200.000000 469.570500 0.000204117
1945 456409280.000000 469.728000 0.000207038
1946 456409360.000000 469.881000 0.000209541
1947 456409440.000000 470.036500 0.000209303
1948 456409520.000000 470.192500 0.000206322
1949 456409600.000000 470.344000 0.000203163
1950 456409680.000000 470.500000 0.000202746
1951 456409760.000000 470.652500 0.00020522
1952 456409840.000000 470.810000 0.000208766
1953 456409920.000000 470.964500 0.000210078
1954 456410000.000000 471.119500 0.000208319
1955 456410080.000000 471.275500 0.000204475
1956 456410160.000000 471.432000 0.000202061
1957 456410240.000000 471.586000 0.000203402
1958 456410320.000000 471.743500 0.000207127
1959 456410400.000000 471.897500 0.000210078
1960 456410480.000000 472.053500 0.000209839
1961 456410560.000000 472.208000 0.000206531
1962 456410640.000000 472.361500 0.000202746
1963 456410720.000000 472.519500 0.000201882
1964 456410800.000000 472.673000 0.000204713
1965 456410880.000000 472.830000 0.000208677
1966 456410960.000000 472.984000 0.000210584
1967 456411040.000000 473.140000 0.000208826
1968 456411120.000000 473.294500 0.000204862
1969 456411200.000000 473.451000 0.000201763
1970 456411280.000000 473.604500 0.000202597
1971 456411360.000000 473.762500 0.000206382
1972 456411440.000000 473.916500 0.000209899
1973 456411520.000000 474.073000 0.000210405
1974 456411600.000000 474.227500 0.000207634
1975 456411680.000000 474.382500 0.000203283
1976 456411760.000000 474.535000 0.000201524
1977 456411840.000000 474.691000 0.00020361
1978 456411920.000000 474.848000 0.000207902
1979 456412000.000000 475.001000 0.000210525
1980 456412080.000000 475.153500 0.00020963
1981 456412160.000000 475.309500 0.000205995
1982 456412240.000000 475.465000 0.000202389
1983 456412320.000000 475.619500 0.000201941
1984 456412400.000000 475.773000 0.000204981
1985 456412480.000000 475.925500 0.000208915
1986 456412560.000000 476.082000 0.000210584
1987 456412640.000000 476.238500 0.000208438
1988 456412720.000000 476.396000 0.000204475
1989 456412800.000000 476.550500 0.000201852
1990 456412880.000000 476.706500 0.000202836
1991 456412960.000000 476.862000 0.000206591
1992 456413040.000000 477.019000 0.00020972
1993 456413120.000000 477.171500 0.000210078
1994 456413200.000000 477.329000 0.000206918
1995 456413280.000000 477.480500 0.000203253
1996 456413360.000000 477.638000 0.000202001
1997 456413440.000000 477.795500 0.000204057
1998 456413520.000000 477.947500 0.000207842
1999 456413600.000000 478.106000 0.000209839
2000 456413680.000000 478.259000 0.000208707
2001 456413760.000000 478.415500 0.000205369
2002 456413840.000000 478.570000 0.000202627
2003 456413920.000000 478.724500 0.000202925
2004 456414000.000000 478.880500 0.000205697
2005 456414080.000000 479.036500 0.000208736
2006 456414160.000000 479.189500 0.000209273
2007 456414240.000000 479.346500 0.000207127
2008 456414320.000000 479.500000 0.000204266
2009 456414400.000000 479.657500 0.000202955
2010 456414480.000000 479.809500 0.000204355
2011 456414560.000000 479.967000 0.000207008
2012 456414640.000000 480.120500 0.000208677
2013 456414720.000000 480.274500 0.000208081
2014 456414800.000000 480.431000 0.000205756
2015 456414880.000000 480.584000 0.000203938
2016 456414960.000000 480.736000 0.000203849
2017 456415040.000000 480.893000 0.000205607
2018 456415120.000000 481.047500 0.000207515
2019 456415200.000000 481.203000 0.000207932
2020 456415280.000000 481.360500 0.000206769
2021 456415360.000000 481.514500 0.000204892
2022 456415440.000000 481.673000 0.000204326
2023 456415520.000000 481.824000 0.000205011
2024 456415600.000000 481.982000 0.000206531
2025 456415680.000000 482.134500 0.000207425
2026 456415760.000000 482.291500 0.000206829
2027 456415840.000000 482.445500 0.000205697
2028 456415920.000000 482.599500 0.000204981
2029 456416000.000000 482.755500 0.000205041
2030 456416080.000000 482.912500 0.000205905
2031 456416160.000000 483.065500 0.00020668
2032 456416240.000000 483.222500 0.00020671
2033 456416320.000000 483.376500 0.000205875
2034 456416400.000000 483.532500 0.00020522
2035 456416480.000000 483.687500 0.00020525
2036 456416560.000000 483.842000 0.000205875
2037 456416640.000000 483.996500 0.000206442
2038 456416720.000000 484.154500 0.000206412
2039 456416800.000000 484.309000 0.000205846
2040 456416880.000000 484.464000 0.000205309
2041 456416960.000000 484.618000 0.000205339
2042 456417040.000000 484.773500 0.000205816
2043 456417120.000000 484.928000 0.000206263
2044 456417200.000000 485.081000 0.000206412
2045 456417280.000000 485.238500 0.000205965
2046 456417360.000000 485.391500 0.000205339
2047 456417440.000000 485.548500 0.000205339
2048 456417520.000000 485.701000 0.000205667
2049 456417600.000000 485.856500 0.000206144
2050 456417680.000000 486.010000 0.000206531
2051 456417760.000000 486.166500 0.000206114
2052 456417840.000000 486.319500 0.000205607
2053 456417920.000000 486.478500 0.000205279
2054 456418001.000000 486.631500 0.000205518
2055 456418080.000000 486.791000 0.000205846
2056 456418160.000000 486.944500 0.000206233
2057 456418240.000000 487.102000 0.000206263
2058 456418320.000000 487.258000 0.000205816
2059 456418400.000000 487.411500 0.000205458
2060 456418480.000000 487.569000 0.000205369
2061 456418560.000000 487.723000 0.000205637
2062 456418640.000000 487.877500 0.000205935
2063 456418720.000000 488.032000 0.000206084
2064 456418800.000000 488.187500 0.000206173
2065 456418880.000000 488.341000 0.000205816
2066 456418960.000000 488.499000 0.000205637
2067 456419040.000000 488.651000 0.000205458
2068 456419120.000000 488.810500 0.000205518
2069 456419200.000000 488.963500 0.000205816
2070 456419280.000000 489.117500 0.000206024
2071 456419360.000000 489.273500 0.000206233
2072 456419440.000000 489.429000 0.000205935
2073 456419520.000000 489.586500 0.000205548
2074 456419600.000000 489.737000 0.000205399
2075 456419680.000000 489.890000 0.000205309
2076 456419760.000000 490.048500 0.000205697
2077 456419840.000000 490.202500 0.000206084
2078 456419920.000000 490.356500 0.000206203
2079 456420000.000000 490.510500 0.000206144
2080 456420080.000000 490.666000 0.000205548
2081 456420160.000000 490.824000 0.000205279
2082 456420240.000000 490.974500 0.000205309
2083 456420320.000000 491.128500 0.000205816
2084 456420400.000000 491.285000 0.000206144
2085 456420480.000000 491.438000 0.000206203
2086 456420560.000000 491.597000 0.000205935
2087 456420640.000000 491.752000 0.000205428
2088 456420720.000000 491.909500 0.00020522
2089 456420800.000000 492.063500 0.000205458
2090 456420880.000000 492.218000 0.000205756
2091 456420960.000000 492.376000 0.000206173
2092 456421040.000000 492.528000 0.000206084
2093 456421120.000000 492.685500 0.000205846
2094 456421200.000000 492.840000 0.000205428
2095 456421280.000000 492.994500 0.000205339
2096 456421360.000000 493.151500 0.000205399
2097 456421440.000000 493.305000 0.000205667
2098 456421520.000000 493.461500 0.000206024
2099 456421600.000000 493.615500 0.000205995
2100 456421680.000000 493.771000 0.000205726
2101 456421760.000000 493.925000 0.000205548
2102 456421840.000000 494.083000 0.000205369
2103 456421920.000000 494.234000 0.000205309
2104 456422000.000000 494.392000 0.000205428
2105 456422080.000000 494.548000 0.000205726
2106 456422160.000000 494.703000 0.000205995
2107 456422240.000000 494.860000 0.000205965
2108 456422320.000000 495.011000 0.000205816
2109 456422400.000000 495.168500 0.000205458
2110 456422480.000000 495.321500 0.000205279
2111 456422560.000000 495.477500 0.000205369
2112 456422640.000000 495.634000 0.000205697
2113 456422720.000000 495.785500 0.000206144
2114 456422800.000000 495.941000 0.000206144
2115 456422880.000000 496.095500 0.000205786
2116 456422960.000000 496.250500 0.00020519
2117 456423040.000000 496.403000 0.000204892
2118 456423120.000000 496.557000 0.000205101
2119 456423200.000000 496.715500 0.000205816
2120 456423280.000000 496.873500 0.000206412
2121 456423360.000000 497.027000 0.000206293
2122 456423440.000000 497.184000 0.000205458
2123 456423520.000000 497.338000 0.000204773
2124 456423600.000000 497.496000 0.000204564
2125 456423680.000000 497.649500 0.00020522
2126 456423760.000000 497.804000 0.000206114
2127 456423840.000000 497.959500 0.000206561
2128 456423920.000000 498.116500 0.000206144
2129 456424000.000000 498.270500 0.000205101
2130 456424080.000000 498.427000 0.000204475
2131 456424160.000000 498.581000 0.000204653
2132 456424240.000000 498.737000 0.000205637
2133 456424320.000000 498.891500 0.000206501
2134 456424400.000000 499.045000 0.000206531
2135 456424480.000000 499.202000 0.000205786
2136 456424560.000000 499.356000 0.000204802
2137 456424640.000000 499.512500 0.000204415
2138 456424720.000000 499.668000 0.000204952
2139 456424800.000000 499.821000 0.000205905
2140 456424880.000000 499.976500 0.000206501
2141 456424960.000000 500.130000 0.000206233
2142 456425040.000000 500.284500 0.000205279
2143 456425120.000000 500.441500 0.000204713
2144 456425200.000000 500.592500 0.000204594
2145 456425280.000000 500.751000 0.00020525
2146 456425360.000000 500.902500 0.000206084
2147 456425440.000000 501.058500 0.000206263
2148 456425520.000000 501.216000 0.000205905
2149 456425600.000000 501.365500 0.000205071
2150 456425680.000000 501.525000 0.000204802
2151 456425760.000000 501.678500 0.000204952
2152 456425840.000000 501.836500 0.000205548
2153 456425920.000000 501.991500 0.000206024
2154 456426000.000000 502.147000 0.000205905
2155 456426080.000000 502.305500 0.000205369
2156 456426160.000000 502.459500 0.000205041
2157 456426240.000000 502.612500 0.000204922
2158 456426320.000000 502.770000 0.000205279
2159 456426400.000000 502.924500 0.000205667
2160 456426480.000000 503.078500 0.000205726
2161 456426560.000000 503.233500 0.000205518
2162 456426640.000000 503.389000 0.000205279
2163 456426720.000000 503.547000 0.00020513
2164 456426800.000000 503.698000 0.00020516
2165 456426880.000000 503.852000 0.000205369
2166 456426960.000000 504.009000 0.000205488
2167 456427040.000000 504.165000 0.000205458
2168 456427120.000000 504.319000 0.000205279
2169 456427200.000000 504.473500 0.000205309
2170 456427280.000000 504.630000 0.000205339
2171 456427360.000000 504.787500 0.000205399
2172 456427440.000000 504.938000 0.000205369
2173 456427520.000000 505.092500 0.000205339
2174 456427600.000000 505.248500 0.00020522
2175 456427680.000000 505.405500 0.00020525
2176 456427760.000000 505.559000 0.000205399
2177 456427840.000000 505.713000 0.000205399
2178 456427920.000000 505.868500 0.000205428
2179 456428000.000000 506.024500 0.000205369
2180 456428080.000000 506.178000 0.000205041
2181 456428160.000000 506.334000 0.00020513
2182 456428240.000000 506.486500 0.00020522
2183 456428320.000000 506.643500 0.000205399
2184 456428400.000000 506.797500 0.000205458
2185 456428480.000000 506.953500 0.000205369
2186 456428560.000000 507.109000 0.00020522
2187 456428640.000000 507.266500 0.000205011
2188 456428720.000000 507.421500 0.000204922
2189 456428800.000000 507.578000 0.00020513
2190 456428880.000000 507.730500 0.000205369
2191 456428960.000000 507.889500 0.000205577
2192 456429040.000000 508.042000 0.000205577
2193 456429120.000000 508.199000 0.00020522
2194 456429200.000000 508.353500 0.000204892
2195 456429280.000000 508.510500 0.000204713
2196 456429360.000000 508.663500 0.000204952
2197 456429440.000000 508.821500 0.000205399
2198 456429520.000000 508.972000 0.000205786
2199 456429601.000000 509.130500 0.000205637
2200 456429680.000000 509.285000 0.000205071
2201 456429760.000000 509.440000 0.000204504
2202 456429840.000000 509.596500 0.000204504
2203 456429920.000000 509.749500 0.000205011
2204 456430000.000000 509.903500 0.000205667
2205 456430080.000000 510.058500 0.000205846
2206 456430160.000000 510.213000 0.000205637
2207 456430240.000000 510.365500 0.000204832
2208 456430320.000000 510.517500 0.000204355
2209 456430400.000000 510.677000 0.000204385
2210 456430480.000000 510.835000 0.000205101
2211 456430560.000000 510.985500 0.000205875
2212 456430640.000000 511.141500 0.000205995
2213 456430720.000000 511.296500 0.000205518
2214 456430800.000000 511.453500 0.000204653
2215 456430880.000000 511.605000 0.000204087
2216 456430960.000000 511.759500 0.000204296
2217 456431040.000000 511.915000 0.00020522
2218 456431120.000000 512.070500 0.000206024
2219 456431200.000000 512.227000 0.000206084
2220 456431280.000000 512.382000 0.000205309
2221 456431360.000000 512.539500 0.000204236
2222 456431440.000000 512.698500 0.000203789
2223 456431520.000000 512.851000 0.000204415
2224 456431600.000000 513.007500 0.000205548
2225 456431680.000000 513.160500 0.000206322
2226 456431760.000000 513.316500 0.000205995
2227 456431840.000000 513.474000 0.000204922
2228 456431920.000000 513.627500 0.000203998
2229 456432000.000000 513.777000 0.00020373
2230 456432080.000000 513.937000 0.000204534
2231 456432160.000000 514.091000 0.000205786
2232 456432240.000000 514.245000 0.000206352
2233 456432320.000000 514.401000 0.000205786
2234 456432400.000000 514.557500 0.000204385
2235 456432480.000000 514.712000 0.000203581
2236 456432560.000000 514.866000 0.0002037
2237 456432640.000000 515.021000 0.000204952
2238 456432720.000000 515.177000 0.000206144
2239 456432800.000000 515.330000 0.000206442
2240 456432880.000000 515.487000 0.000205309
2241 456432960.000000 515.639500 0.000203819
2242 456433040.000000 515.796500 0.000203253
2243 456433120.000000 515.949500 0.000203849
2244 456433200.000000 516.105000 0.000205488
2245 456433280.000000 516.260000 0.00020662
2246 456433360.000000 516.416000 0.000206203
2247 456433440.000000 516.570500 0.000204743
2248 456433520.000000 516.726000 0.000203193
2249 456433600.000000 516.881500 0.000203163
2250 456433680.000000 517.036000 0.000204504
2251 456433760.000000 517.192000 0.000206144
2252 456433840.000000 517.346000 0.000206859
2253 456433920.000000 517.505000 0.000205816
2254 456434000.000000 517.655500 0.00020373
2255 456434080.000000 517.812000 0.000202746
2256 456434160.000000 517.967500 0.000203402
2257 456434240.000000 518.123500 0.000205428
2258 456434320.000000 518.279000 0.000206889
2259 456434400.000000 518.435000 0.000206561
2260 456434480.000000 518.592500 0.000204475
2261 456434560.000000 518.747000 0.000202627
2262 456434640.000000 518.898500 0.000202746
2263 456434720.000000 519.055500 0.000204445
2264 456434800.000000 519.208000 0.000206561
2265 456434880.000000 519.364500 0.000207038
2266 456434960.000000 519.520500 0.000205399
2267 456435040.000000 519.673500 0.000203163
2268 456435120.000000 519.831000 0.00020212
2269 456435200.000000 519.986000 0.000203432
2270 456435280.000000 520.139500 0.000205965
2271 456435360.000000 520.294500 0.000207276
2272 456435440.000000 520.449500 0.000206531
2273 456435520.000000 520.603000 0.000203819
2274 456435600.000000 520.760500 0.000201912
2275 456435680.000000 520.910000 0.000202329
2276 456435760.000000 521.068500 0.000204952
2277 456435840.000000 521.221000 0.000207336
2278 456435920.000000 521.378500 0.000207395
2279 456436000.000000 521.534000 0.000205101
2280 456436080.000000 521.685500 0.00020218
2281 456436160.000000 521.843500 0.000201405
2282 456436240.000000 521.997500 0.000203521
2283 456436320.000000 522.155000 0.000206769
2284 456436400.000000 522.309000 0.000208111
2285 456436480.000000 522.464000 0.000206293
2286 456436560.000000 522.620000 0.000202895
2287 456436640.000000 522.777000 0.00020072
2288 456436720.000000 522.931000 0.000201971
2289 456436800.000000 523.088000 0.000205607
2290 456436880.000000 523.242500 0.000208349
2291 456436960.000000 523.399500 0.000207842
2292 456437040.000000 523.555000 0.000204296
2293 456437120.000000 523.708000 0.000200869
2294 456437200.000000 523.865500 0.000200541
2295 456437280.000000 524.018000 0.00020373
2296 456437360.000000 524.175000 0.000207783
2297 456437440.000000 524.327500 0.000208915
2298 456437520.000000 524.478500 0.000206352
2299 456437600.000000 524.636500 0.000201822
2300 456437680.000000 524.792500 0.000199617
2301 456437760.000000 524.945500 0.000201792
2302 456437840.000000 525.101500 0.000206114
2303 456437920.000000 525.257000 0.000209183
2304 456438000.000000 525.410000 0.000208111
2305 456438080.000000 525.565000 0.000203849
2306 456438160.000000 525.721000 0.000200064
2307 456438240.000000 525.875500 0.000199915
2308 456438320.000000 526.029500 0.00020373
2309 456438400.000000 526.183500 0.0002082
2310 456438480.000000 526.338000 0.000209213
2311 456438560.000000 526.491500 0.000206293
2312 456438640.000000 526.648000 0.000201584
2313 456438720.000000 526.803000 0.000199289
2314 456438800.000000 526.957000 0.000201286
2315 456438880.000000 527.114000 0.000205935
2316 456438960.000000 527.271000 0.000209094
2317 456439040.000000 527.427000 0.000208021
2318 456439120.000000 527.580500 0.000204087
2319 456439200.000000 527.737500 0.000200064
2320 456439280.000000 527.889500 0.000199885
2321 456439360.000000 528.044500 0.000203342
2322 456439440.000000 528.204000 0.000207485
2323 456439520.000000 528.359000 0.000208796
2324 456439600.000000 528.512000 0.000206203
2325 456439680.000000 528.670000 0.00020212
2326 456439760.000000 528.824500 0.000199736
2327 456439840.000000 528.981500 0.000201286
2328 456439920.000000 529.134500 0.00020513
2329 456440000.000000 529.287500 0.000208081
2330 456440080.000000 529.446500 0.000207664
2331 456440160.000000 529.601500 0.000204475
2332 456440240.000000 529.754500 0.000201167
2333 456440320.000000 529.911000 0.000200571
2334 456440400.000000 530.065000 0.000202985
2335 456440480.000000 530.220000 0.000206293
2336 456440560.000000 530.376000 0.000207664
2337 456440640.000000 530.531000 0.000206114
2338 456440720.000000 530.684000 0.000203134
2339 456440800.000000 530.837500 0.000201077
2340 456440880.000000 530.995500 0.000201703
2341 456440960.000000 531.150000 0.000203968
2342 456441040.000000 531.302000 0.000206293
