# SAMPLE - ONE ARM SCANS
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 455704160.000000 177.928000 0.000149817
65 455704240.000000 178.079000 0.000149877
66 455704320.000000 178.237000 0.000149847
67 455704400.000000 178.392000 0.000149787
68 455704480.000000 178.543500 0.000149758
69 455704560.000000 178.701000 0.000149847
70 455704640.000000 178.852000 0.000149817
71 455704720.000000 179.010000 0.000149847
72 455704800.000000 179.166000 0.000149847
73 455704880.000000 179.318500 0.000149847
74 455704960.000000 179.476500 0.000149907
75 455705040.000000 179.626000 0.000149847
76 455705120.000000 179.782500 0.000149877
77 455705200.000000 179.935500 0.000149966
78 455705280.000000 180.090000 0.000149877
79 455705360.000000 180.247000 0.000149817
80 455705440.000000 180.401000 0.000149907
81 455705520.000000 180.558000 0.000149817
82 455705600.000000 180.711000 0.000149817
83 455705680.000000 180.864500 0.000149877
84 455705760.000000 181.020000 0.000149936
85 455705840.000000 181.173500 0.000149907
86 455705920.000000 181.331000 0.000149817
87 455706000.000000 181.489000 0.000149817
88 455706080.000000 181.641500 0.000149847
89 455706160.000000 181.799000 0.000149847
90 455706240.000000 181.953000 0.000149847
91 455706320.000000 182.109000 0.000149907
92 455706400.000000 182.266500 0.000149817
93 455706480.000000 182.420000 0.000149907
94 455706560.000000 182.576000 0.000149877
95 455706640.000000 182.733000 0.000149847
96 455706720.000000 182.888000 0.000149936
97 455706800.000000 183.043500 0.000149817
98 455706880.000000 183.198000 0.000149877
99 455706960.000000 183.356500 0.000149847
100 455707040.000000 183.508000 0.000149966
101 455707120.000000 183.661500 0.000149907
102 455707200.000000 183.818000 0.000149936
103 455707280.000000 183.971500 0.000149877
104 455707360.000000 184.128500 0.000149787
105 455707440.000000 184.281500 0.000149847
106 455707520.000000 184.437500 0.000149847
107 455707600.000000 184.594500 0.000149817
108 455707680.000000 184.746000 0.000149817
109 455707760.000000 184.901500 0.000149817
110 455707840.000000 185.059500 0.000149936
111 455707920.000000 185.211000 0.000149847
112 455708000.000000 185.368500 0.000149847
113 455708080.000000 185.524500 0.000149936
114 455708160.000000 185.678500 0.000149817
115 455708240.000000 185.832000 0.000149936
116 455708320.000000 185.988500 0.000149817
117 455708400.000000 186.143000 0.000149936
118 455708480.000000 186.293500 0.000149877
119 455708560.000000 186.449000 0.000149847
120 455708640.000000 186.607500 0.000149966
121 455708720.000000 186.765000 0.000149907
122 455708800.000000 186.920500 0.000149907
123 455708880.000000 187.075500 0.000149966
