# # NO SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 460585920.000000 177.944000 0.000208766
65 460586000.000000 178.095000 0.000208826
66 460586080.000000 178.253500 0.000208826
67 460586160.000000 178.408500 0.000208885
68 460586240.000000 178.560500 0.000208736
69 460586320.000000 178.716000 0.000208677
70 460586400.000000 178.872000 0.000208558
71 460586480.000000 179.026000 0.000208528
72 460586560.000000 179.183000 0.000208766
73 460586640.000000 179.334500 0.000208885
74 460586720.000000 179.492500 0.000208915
75 460586800.000000 179.646000 0.000208647
76 460586880.000000 179.800500 0.000208528
77 460586960.000000 179.956500 0.000208617
78 460587040.000000 180.110500 0.000208587
79 460587120.000000 180.265500 0.000208885
80 460587200.000000 180.420000 0.000208856
81 460587280.000000 180.573000 0.000208975
82 460587360.000000 180.728500 0.000208677
83 460587440.000000 180.883500 0.000208587
84 460587520.000000 181.040000 0.000208498
85 460587600.000000 181.192500 0.000208647
86 460587680.000000 181.345500 0.000208885
87 460587760.000000 181.504500 0.000208945
88 460587840.000000 181.660500 0.000208885
89 460587920.000000 181.816500 0.000208647
90 460588000.000000 181.971500 0.000208468
91 460588080.000000 182.127500 0.000208498
92 460588160.000000 182.285000 0.000208707
93 460588240.000000 182.437000 0.000208796
94 460588320.000000 182.594000 0.000208915
95 460588400.000000 182.746500 0.000208736
96 460588480.000000 182.903000 0.000208647
97 460588560.000000 183.062000 0.000208498
98 460588640.000000 183.216000 0.000208558
99 460588720.000000 183.371000 0.000208796
100 460588800.000000 183.527000 0.000208915
101 460588880.000000 183.680500 0.000208885
102 460588960.000000 183.833000 0.000208796
103 460589040.000000 183.989000 0.000208647
104 460589120.000000 184.145000 0.000208558
105 460589200.000000 184.299000 0.000208587
106 460589280.000000 184.454500 0.000208826
107 460589360.000000 184.611500 0.000208945
108 460589440.000000 184.763500 0.000208915
109 460589520.000000 184.918500 0.000208796
110 460589600.000000 185.076000 0.000208647
111 460589680.000000 185.227000 0.000208647
112 460589760.000000 185.383000 0.000208647
113 460589840.000000 185.541000 0.000208885
114 460589920.000000 185.691500 0.000208945
115 460590000.000000 185.849000 0.000208885
116 460590080.000000 186.004500 0.000208736
117 460590160.000000 186.156000 0.000208677
118 460590240.000000 186.313500 0.000208677
119 460590320.000000 186.470000 0.000208856
120 460590400.000000 186.627500 0.000208915
121 460590480.000000 186.782500 0.000208945
122 460590560.000000 186.938000 0.000208796
123 460590640.000000 187.093000 0.000208766
124 460590720.000000 187.247500 0.000208856
125 460590800.000000 187.405500 0.000208945
126 460590880.000000 187.559000 0.000208885
127 460590960.000000 187.713000 0.000208856
128 460591040.000000 187.868500 0.000208796
129 460591120.000000 188.023000 0.000208617
130 460591200.000000 188.180000 0.000208856
131 460591280.000000 188.337000 0.000208766
132 460591360.000000 188.487000 0.000208766
133 460591440.000000 188.641000 0.000208885
134 460591520.000000 188.796000 0.000208736
135 460591600.000000 188.952500 0.000208677
136 460591680.000000 189.108000 0.000208796
137 460591760.000000 189.260500 0.000208796
138 460591840.000000 189.419500 0.000209005
139 460591920.000000 189.575500 0.000208915
140 460592000.000000 189.729000 0.000208766
141 460592080.000000 189.884000 0.000208707
142 460592160.000000 190.034500 0.000208736
143 460592240.000000 190.192500 0.000208796
