# # SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 457915780.000000 178.068000 0.000200332
66 457915860.000000 178.226500 0.000200362
67 457915940.000000 178.381000 0.000200451
68 457916020.000000 178.538000 0.000200332
69 457916100.000000 178.689500 0.000200183
70 457916180.000000 178.845500 0.000200213
71 457916260.000000 179.002500 0.000200213
72 457916340.000000 179.156000 0.000200362
73 457916420.000000 179.311500 0.000200451
74 457916500.000000 179.465500 0.000200511
75 457916580.000000 179.619000 0.000200392
76 457916660.000000 179.776500 0.000200243
77 457916740.000000 179.929500 0.000200213
78 457916820.000000 180.084000 0.000200273
79 457916900.000000 180.241500 0.000200362
80 457916980.000000 180.393500 0.000200481
81 457917060.000000 180.549500 0.000200571
82 457917140.000000 180.705500 0.000200332
83 457917220.000000 180.857500 0.000200392
84 457917300.000000 181.013000 0.000200302
85 457917380.000000 181.168000 0.000200362
86 457917460.000000 181.325000 0.000200392
87 457917540.000000 181.480000 0.000200481
88 457917620.000000 181.635500 0.000200511
89 457917700.000000 181.794000 0.000200392
90 457917780.000000 181.947500 0.000200243
91 457917860.000000 182.104500 0.000200243
92 457917940.000000 182.261500 0.000200302
93 457918020.000000 182.413000 0.000200481
94 457918100.000000 182.571000 0.000200511
95 457918180.000000 182.727500 0.000200451
96 457918260.000000 182.881500 0.000200332
97 457918340.000000 183.039000 0.000200183
98 457918420.000000 183.190500 0.000200213
99 457918500.000000 183.348000 0.000200302
100 457918580.000000 183.503500 0.000200541
101 457918660.000000 183.657500 0.000200511
102 457918740.000000 183.810000 0.000200481
103 457918820.000000 183.963000 0.000200332
104 457918900.000000 184.119500 0.000200183
105 457918980.000000 184.277000 0.000200183
106 457919060.000000 184.430000 0.000200302
107 457919140.000000 184.586000 0.000200511
108 457919220.000000 184.737500 0.000200571
109 457919300.000000 184.894000 0.000200481
110 457919380.000000 185.050000 0.000200302
111 457919460.000000 185.204000 0.000200213
112 457919540.000000 185.358500 0.000200362
113 457919620.000000 185.515000 0.000200481
114 457919700.000000 185.669000 0.000200571
115 457919780.000000 185.822500 0.00020066
116 457919860.000000 185.977500 0.000200511
117 457919940.000000 186.134000 0.000200243
118 457920020.000000 186.290000 0.000200332
119 457920100.000000 186.443000 0.000200392
120 457920180.000000 186.601500 0.000200392
121 457920260.000000 186.758500 0.000200451
122 457920340.000000 186.911500 0.000200511
123 457920420.000000 187.069500 0.000200451
124 457920500.000000 187.221500 0.000200362
125 457920580.000000 187.380000 0.000200362
126 457920660.000000 187.534000 0.000200332
127 457920740.000000 187.687500 0.000200422
128 457920820.000000 187.845000 0.000200392
129 457920900.000000 187.997000 0.000200392
130 457920980.000000 188.156000 0.000200362
131 457921060.000000 188.311000 0.000200362
132 457921140.000000 188.464000 0.000200422
133 457921220.000000 188.621500 0.000200392
134 457921300.000000 188.772000 0.000200392
135 457921380.000000 188.928500 0.000200362
136 457921460.000000 189.086000 0.000200392
137 457921540.000000 189.237500 0.000200451
138 457921620.000000 189.394500 0.000200571
139 457921700.000000 189.551000 0.000200511
140 457921780.000000 189.705500 0.000200332
141 457921861.000000 189.860500 0.000200302
142 457921940.000000 190.014500 0.000200362
143 457922020.000000 190.170000 0.000200481
