# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 397694120.000000 177.938500 0.000182659
65 397694200.000000 178.091000 0.000182659
66 397694280.000000 178.247500 0.000182659
67 397694360.000000 178.403500 0.0001826
68 397694440.000000 178.555500 0.00018263
69 397694520.000000 178.711000 0.0001826
70 397694600.000000 178.867000 0.00018263
71 397694680.000000 179.022500 0.000182719
72 397694760.000000 179.178500 0.000182749
73 397694840.000000 179.333500 0.000182898
74 397694920.000000 179.486500 0.000182808
75 397695000.000000 179.640000 0.000182779
76 397695080.000000 179.797000 0.000182689
77 397695160.000000 179.950500 0.00018263
78 397695240.000000 180.105000 0.0001826
79 397695320.000000 180.263500 0.000182659
80 397695400.000000 180.414500 0.000182659
81 397695480.000000 180.571000 0.000182749
82 397695560.000000 180.727500 0.000182779
83 397695640.000000 180.879000 0.000182838
84 397695720.000000 181.032500 0.000182779
85 397695800.000000 181.187500 0.000182779
86 397695880.000000 181.343500 0.000182689
87 397695960.000000 181.501500 0.000182659
88 397696040.000000 181.655000 0.000182749
89 397696120.000000 181.812500 0.000182719
90 397696200.000000 181.966500 0.000182749
91 397696280.000000 182.122000 0.000182838
92 397696360.000000 182.279000 0.000182898
93 397696440.000000 182.430000 0.000182868
94 397696520.000000 182.587500 0.000182838
95 397696600.000000 182.745000 0.000182779
96 397696680.000000 182.899000 0.000182749
97 397696760.000000 183.055000 0.000182659
98 397696840.000000 183.210500 0.000182719
99 397696920.000000 183.368500 0.000182808
100 397697000.000000 183.521500 0.000182808
101 397697080.000000 183.673000 0.000182898
102 397697160.000000 183.830500 0.000182838
103 397697240.000000 183.985000 0.000182838
104 397697320.000000 184.138500 0.000182838
105 397697400.000000 184.297000 0.000182779
106 397697480.000000 184.448500 0.000182779
107 397697560.000000 184.605500 0.000182779
108 397697640.000000 184.761500 0.000182838
109 397697720.000000 184.915000 0.000182957
110 397697800.000000 185.069500 0.000182928
111 397697880.000000 185.224500 0.000182928
112 397697960.000000 185.380500 0.000182928
113 397698040.000000 185.534500 0.000182868
114 397698120.000000 185.688500 0.000182898
115 397698200.000000 185.843500 0.000182838
116 397698280.000000 185.998500 0.000182868
117 397698360.000000 186.153000 0.000182838
118 397698440.000000 186.311500 0.000182868
119 397698520.000000 186.464000 0.000182987
120 397698600.000000 186.623000 0.000183017
121 397698680.000000 186.777500 0.000183077
122 397698760.000000 186.932500 0.000183017
123 397698840.000000 187.089000 0.000182928
124 397698920.000000 187.244000 0.000182928
125 397699000.000000 187.399500 0.000182719
126 397699080.000000 187.554500 0.000182838
127 397699160.000000 187.709500 0.000182868
128 397699240.000000 187.866000 0.000182928
129 397699320.000000 188.021000 0.000183106
130 397699400.000000 188.176000 0.000183136
131 397699480.000000 188.331000 0.000183196
132 397699560.000000 188.482000 0.000183106
133 397699640.000000 188.639500 0.000182928
134 397699720.000000 188.793000 0.000182779
135 397699800.000000 188.947000 0.000182749
136 397699880.000000 189.102000 0.000182808
137 397699960.000000 189.258000 0.000182868
138 397700040.000000 189.416500 0.000182957
139 397700120.000000 189.568500 0.000183077
140 397700200.000000 189.721500 0.000183077
141 397700280.000000 189.878000 0.000183077
142 397700360.000000 190.032500 0.000182987
143 397700440.000000 190.188000 0.000182868
