# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
127 3014299400.000000 149.378000 0.000140906
128 3014299480.000000 149.535500 0.000140877
129 3014299560.000000 149.687500 0.000140877
130 3014299640.000000 149.843000 0.000140847
131 3014299720.000000 149.999500 0.000140847
132 3014299800.000000 150.152500 0.000140817
133 3014299880.000000 150.308500 0.000140817
134 3014299960.000000 150.462500 0.000140817
135 3014300040.000000 150.617500 0.000140847
136 3014300120.000000 150.777000 0.000140817
137 3014300200.000000 150.934000 0.000140817
138 3014300280.000000 151.088000 0.000140817
139 3014300360.000000 151.245500 0.000140817
140 3014300440.000000 151.400000 0.000140787
141 3014300520.000000 151.557000 0.000140757
142 3014300600.000000 151.713000 0.000140757
143 3014300680.000000 151.866500 0.000140787
144 3014300760.000000 152.022500 0.000140787
145 3014300840.000000 152.177500 0.000140787
146 3014300920.000000 152.333500 0.000140787
147 3014301000.000000 152.486500 0.000140787
148 3014301080.000000 152.640500 0.000140847
149 3014301160.000000 152.798000 0.000140787
150 3014301240.000000 152.954000 0.000140787
151 3014301320.000000 153.107000 0.000140787
152 3014301400.000000 153.261500 0.000140727
153 3014301480.000000 153.414500 0.000140787
154 3014301560.000000 153.570000 0.000140757
155 3014301640.000000 153.725500 0.000140847
156 3014301720.000000 153.877500 0.000140787
157 3014301800.000000 154.036000 0.000140757
158 3014301880.000000 154.190000 0.000140757
159 3014301960.000000 154.345000 0.000140727
160 3014302040.000000 154.500000 0.000140787
161 3014302120.000000 154.654500 0.000140787
162 3014302200.000000 154.809500 0.000140817
163 3014302280.000000 154.963500 0.000140817
164 3014302360.000000 155.121000 0.000140847
165 3014302440.000000 155.275000 0.000140847
166 3014302520.000000 155.430000 0.000140787
167 3014302600.000000 155.587500 0.000140757
168 3014302680.000000 155.740000 0.000140698
169 3014302760.000000 155.897000 0.000140727
170 3014302840.000000 156.055000 0.000140787
171 3014302920.000000 156.206500 0.000140757
172 3014303000.000000 156.365000 0.000140757
173 3014303080.000000 156.522000 0.000140727
174 3014303160.000000 156.675500 0.000140698
175 3014303240.000000 156.833000 0.000140668
176 3014303320.000000 156.987500 0.000140727
177 3014303400.000000 157.143500 0.000140698
178 3014303480.000000 157.297500 0.000140698
179 3014303560.000000 157.454000 0.000140698
180 3014303640.000000 157.608500 0.000140698
181 3014303720.000000 157.762500 0.000140668
182 3014303800.000000 157.918500 0.000140668
183 3014303880.000000 158.073000 0.000140668
184 3014303960.000000 158.228000 0.000140668
185 3014304040.000000 158.381000 0.000140668
186 3014304120.000000 158.536000 0.000140668
187 3014304200.000000 158.690500 0.000140668
188 3014304280.000000 158.846500 0.000140698
189 3014304360.000000 159.002500 0.000140698
190 3014304440.000000 159.158500 0.000140727
191 3014304520.000000 159.310000 0.000140668
192 3014304600.000000 159.467000 0.000140608
193 3014304680.000000 159.620000 0.000140638
194 3014304760.000000 159.774500 0.000140638
195 3014304840.000000 159.931500 0.000140668
196 3014304920.000000 160.084000 0.000140638
197 3014305000.000000 160.241000 0.000140668
198 3014305080.000000 160.393000 0.000140638
199 3014305160.000000 160.547500 0.000140698
200 3014305240.000000 160.702500 0.000140638
201 3014305320.000000 160.861500 0.000140608
202 3014305400.000000 161.015500 0.000140608
203 3014305480.000000 161.171000 0.000140638
204 3014305560.000000 161.327000 0.000140638
205 3014305640.000000 161.485500 0.000140578
206 3014305720.000000 161.642000 0.000140608
207 3014305800.000000 161.793500 0.000140578
208 3014305880.000000 161.950000 0.000140549
209 3014305960.000000 162.103000 0.000140638
210 3014306040.000000 162.262000 0.000140578
211 3014306120.000000 162.415500 0.000140608
212 3014306200.000000 162.570500 0.000140578
213 3014306280.000000 162.728000 0.000140549
214 3014306360.000000 162.880000 0.000140549
215 3014306440.000000 163.036000 0.000140519
216 3014306520.000000 163.191500 0.000140519
217 3014306600.000000 163.343000 0.000140519
218 3014306680.000000 163.500500 0.000140549
219 3014306760.000000 163.655000 0.000140549
220 3014306840.000000 163.810000 0.000140549
221 3014306920.000000 163.967000 0.000140638
222 3014307000.000000 164.118500 0.000140638
223 3014307080.000000 164.275000 0.000140519
224 3014307160.000000 164.431500 0.000140519
225 3014307240.000000 164.585000 0.000140489
226 3014307320.000000 164.740000 0.000140519
227 3014307400.000000 164.894500 0.000140519
228 3014307480.000000 165.050500 0.000140549
229 3014307560.000000 165.204000 0.000140519
230 3014307640.000000 165.358500 0.000140429
231 3014307720.000000 165.515500 0.000140489
232 3014307800.000000 165.668000 0.000140489
233 3014307880.000000 165.823000 0.000140429
234 3014307960.000000 165.981500 0.000140519
235 3014308040.000000 166.133500 0.0001404
236 3014308120.000000 166.292500 0.000140429
237 3014308200.000000 166.449500 0.0001404
238 3014308280.000000 166.603000 0.000140489
239 3014308360.000000 166.761500 0.0001404
240 3014308440.000000 166.913500 0.000140429
241 3014308520.000000 167.070500 0.000140429
242 3014308600.000000 167.223000 0.0001404
243 3014308680.000000 167.378000 0.00014037
244 3014308760.000000 167.536500 0.00014034
245 3014308840.000000 167.690000 0.00014034
246 3014308920.000000 167.843500 0.00014028
247 3014309000.000000 168.000000 0.00014037
248 3014309080.000000 168.155000 0.00014034
249 3014309160.000000 168.309500 0.00014034
250 3014309240.000000 168.463000 0.00014028
251 3014309320.000000 168.619000 0.00014034
252 3014309400.000000 168.772500 0.00014034
253 3014309480.000000 168.927500 0.00014034
254 3014309560.000000 169.085000 0.00014034
255 3014309640.000000 169.236500 0.00014028
256 3014309720.000000 169.392000 0.00014028
257 3014309800.000000 169.547500 0.00014028
258 3014309880.000000 169.698000 0.00014034
