# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3013769660.000000 168.008500 0.000140698
1 3013769740.000000 168.163000 0.000140698
2 3013769820.000000 168.319500 0.000140668
3 3013769900.000000 168.471500 0.000140638
4 3013769980.000000 168.628000 0.000140638
5 3013770060.000000 168.783500 0.000140608
6 3013770140.000000 168.934000 0.000140638
7 3013770220.000000 169.089500 0.000140638
8 3013770300.000000 169.243500 0.000140549
9 3013770380.000000 169.396500 0.000140608
10 3013770460.000000 169.552000 0.000140549
11 3013770540.000000 169.705500 0.000140608
12 3013770620.000000 169.861000 0.000140578
13 3013770700.000000 170.014000 0.000140608
14 3013770780.000000 170.169000 0.000140608
15 3013770860.000000 170.326500 0.000140638
16 3013770940.000000 170.478000 0.000140608
17 3013771020.000000 170.634500 0.000140608
18 3013771100.000000 170.790500 0.000140668
19 3013771180.000000 170.945000 0.000140578
20 3013771260.000000 171.100500 0.000140549
21 3013771340.000000 171.257500 0.000140608
22 3013771420.000000 171.416000 0.000140608
23 3013771500.000000 171.571000 0.000140608
24 3013771580.000000 171.725500 0.000140549
