# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 448970700.000000 177.956500 0.000145287
65 448970780.000000 178.110500 0.000145257
66 448970860.000000 178.267500 0.000145198
67 448970940.000000 178.421000 0.000145317
68 448971020.000000 178.574000 0.000145287
69 448971100.000000 178.731000 0.000145257
70 448971180.000000 178.883000 0.000145228
71 448971260.000000 179.041000 0.000145257
72 448971340.000000 179.198000 0.000145257
73 448971420.000000 179.350000 0.000145257
74 448971500.000000 179.505000 0.000145198
75 448971580.000000 179.656000 0.000145287
76 448971660.000000 179.813500 0.000145257
77 448971740.000000 179.971000 0.000145257
78 448971820.000000 180.120500 0.000145287
79 448971900.000000 180.277500 0.000145317
80 448971980.000000 180.430000 0.000145257
81 448972060.000000 180.585500 0.000145317
82 448972140.000000 180.743000 0.000145317
83 448972220.000000 180.893000 0.000145228
84 448972300.000000 181.050500 0.000145377
85 448972380.000000 181.206000 0.000145347
86 448972460.000000 181.361000 0.000145317
87 448972540.000000 181.516500 0.000145317
88 448972620.000000 181.673000 0.000145228
89 448972700.000000 181.830000 0.000145257
90 448972780.000000 181.983500 0.000145287
91 448972860.000000 182.139500 0.000145198
92 448972940.000000 182.297500 0.000145287
93 448973020.000000 182.452000 0.000145257
94 448973100.000000 182.606000 0.000145257
95 448973180.000000 182.763500 0.000145228
96 448973260.000000 182.916500 0.000145257
97 448973340.000000 183.074500 0.000145317
98 448973420.000000 183.230000 0.000145228
99 448973500.000000 183.383500 0.000145317
100 448973580.000000 183.539000 0.000145257
101 448973660.000000 183.692500 0.000145257
102 448973740.000000 183.847000 0.000145287
103 448973820.000000 184.002500 0.000145168
104 448973900.000000 184.159000 0.000145317
105 448973980.000000 184.313000 0.000145257
106 448974060.000000 184.469000 0.000145257
107 448974140.000000 184.636000 0.000145228
108 448974220.000000 184.787000 0.000145257
109 448974300.000000 184.929000 0.000145317
110 448974380.000000 185.086500 0.000145198
111 448974460.000000 185.243000 0.000145287
112 448974540.000000 185.398500 0.000145287
113 448974620.000000 185.554000 0.000145198
114 448974700.000000 185.705500 0.000145317
115 448974780.000000 185.862500 0.000145287
116 448974860.000000 186.018500 0.000145287
117 448974940.000000 186.169000 0.000145287
118 448975020.000000 186.327500 0.000145377
119 448975100.000000 186.484500 0.000145347
120 448975180.000000 186.642500 0.000145377
121 448975260.000000 186.795500 0.000145287
122 448975340.000000 186.946500 0.000145287
123 448975420.000000 187.105000 0.000145406
