# SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 452230420.000000 178.075000 0.000196398
66 452230500.000000 178.234500 0.000196339
67 452230580.000000 178.389000 0.000196458
68 452230660.000000 178.541500 0.000196368
69 452230740.000000 178.693000 0.000196219
70 452230820.000000 178.852000 0.000196309
71 452230900.000000 179.007500 0.000196249
72 452230980.000000 179.161500 0.000196398
73 452231060.000000 179.317000 0.000196398
74 452231140.000000 179.471500 0.000196368
75 452231220.000000 179.624500 0.000196428
76 452231300.000000 179.782000 0.000196368
77 452231380.000000 179.936000 0.000196219
78 452231460.000000 180.091000 0.000196249
79 452231540.000000 180.245000 0.000196428
80 452231620.000000 180.398500 0.000196428
81 452231700.000000 180.555000 0.000196398
82 452231780.000000 180.707500 0.000196398
83 452231860.000000 180.862000 0.000196309
84 452231940.000000 181.018500 0.000196249
85 452232020.000000 181.175000 0.000196249
86 452232100.000000 181.328500 0.000196309
87 452232180.000000 181.486000 0.000196547
88 452232260.000000 181.643000 0.000196458
89 452232340.000000 181.798500 0.000196458
90 452232420.000000 181.955000 0.000196398
91 452232500.000000 182.110500 0.000196279
92 452232580.000000 182.264500 0.000196279
93 452232660.000000 182.420000 0.000196339
94 452232740.000000 182.577500 0.000196517
95 452232820.000000 182.731000 0.000196517
96 452232900.000000 182.887000 0.000196398
97 452232980.000000 183.045000 0.000196249
98 452233060.000000 183.197500 0.00019616
99 452233140.000000 183.355000 0.000196279
100 452233220.000000 183.507500 0.000196428
101 452233300.000000 183.661500 0.000196488
102 452233380.000000 183.818500 0.000196517
103 452233460.000000 183.969500 0.000196279
104 452233540.000000 184.127000 0.000196249
105 452233620.000000 184.284000 0.000196219
106 452233700.000000 184.436500 0.000196368
107 452233780.000000 184.591500 0.000196517
108 452233860.000000 184.744500 0.000196488
109 452233940.000000 184.900500 0.000196517
110 452234020.000000 185.057000 0.000196309
111 452234100.000000 185.209000 0.000196279
112 452234180.000000 185.364000 0.000196368
113 452234260.000000 185.522000 0.000196428
114 452234340.000000 185.676500 0.000196517
115 452234420.000000 185.831500 0.000196488
116 452234500.000000 185.984500 0.000196428
117 452234580.000000 186.140500 0.000196309
118 452234660.000000 186.295000 0.000196219
119 452234740.000000 186.450500 0.000196398
120 452234820.000000 186.605000 0.000196398
121 452234900.000000 186.763000 0.000196488
122 452234980.000000 186.919000 0.000196458
123 452235060.000000 187.072000 0.000196339
124 452235140.000000 187.226500 0.000196368
125 452235220.000000 187.385000 0.000196368
