#NO SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 450633520.000000 178.065500 0.000209005
66 450633600.000000 178.219500 0.000209213
67 450633680.000000 178.374000 0.000209213
68 450633760.000000 178.530500 0.000209183
69 450633840.000000 178.682500 0.000208975
70 450633920.000000 178.838000 0.000208915
71 450634000.000000 178.994000 0.000209034
72 450634080.000000 179.147500 0.000209183
73 450634160.000000 179.304500 0.000209213
74 450634240.000000 179.458500 0.000209303
75 450634320.000000 179.609500 0.000209124
76 450634400.000000 179.768500 0.000208975
77 450634480.000000 179.923500 0.000209005
78 450634560.000000 180.076500 0.000209094
79 450634640.000000 180.232500 0.000209183
80 450634720.000000 180.383000 0.000209273
81 450634800.000000 180.540500 0.000209303
82 450634880.000000 180.696500 0.000209183
83 450634960.000000 180.850000 0.000209064
84 450635040.000000 181.003500 0.000208975
85 450635120.000000 181.159500 0.000209064
86 450635200.000000 181.316500 0.000209273
87 450635280.000000 181.470500 0.000209243
88 450635360.000000 181.625000 0.000209332
89 450635440.000000 181.784000 0.000209243
90 450635520.000000 181.940000 0.000208945
91 450635600.000000 182.095500 0.000209034
92 450635680.000000 182.252000 0.000209034
93 450635760.000000 182.403500 0.000209362
94 450635840.000000 182.561000 0.000209511
95 450635920.000000 182.716500 0.000209332
96 450636000.000000 182.871500 0.000209094
97 450636080.000000 183.028000 0.000208915
98 450636160.000000 183.182500 0.000208945
99 450636240.000000 183.339000 0.000209064
100 450636320.000000 183.494000 0.000209332
101 450636400.000000 183.649000 0.000209362
102 450636480.000000 183.801500 0.000209273
103 450636560.000000 183.957500 0.000209154
104 450636640.000000 184.111000 0.000208885
105 450636720.000000 184.268500 0.000209064
106 450636800.000000 184.424500 0.000209213
107 450636880.000000 184.577500 0.000209273
108 450636960.000000 184.733000 0.000209392
109 450637040.000000 184.890000 0.000209303
110 450637120.000000 185.043000 0.000209064
111 450637200.000000 185.198000 0.000208915
112 450637280.000000 185.355000 0.000209094
113 450637360.000000 185.507500 0.000209362
114 450637440.000000 185.662000 0.000209303
115 450637520.000000 185.815500 0.000209362
116 450637600.000000 185.971000 0.000209213
117 450637680.000000 186.126500 0.000209183
118 450637760.000000 186.281000 0.000209154
119 450637840.000000 186.435500 0.000209154
120 450637920.000000 186.594500 0.000209213
121 450638000.000000 186.750000 0.000209332
122 450638080.000000 186.904000 0.000209332
123 450638160.000000 187.061000 0.000209154
124 450638240.000000 187.215000 0.000209124
