# # NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4055747360.000000 177.459500 0.000215531
62 4055747440.000000 177.615000 0.000215561
63 4055747520.000000 177.768500 0.000215651
64 4055747600.000000 177.927000 0.000215651
65 4055747680.000000 178.079500 0.000215591
66 4055747760.000000 178.234000 0.000215561
67 4055747840.000000 178.390000 0.000215531
68 4055747921.000000 178.546000 0.000215561
69 4055748000.000000 178.700000 0.000215531
70 4055748080.000000 178.852000 0.00021568
71 4055748160.000000 179.010500 0.000215591
72 4055748240.000000 179.162500 0.000215621
73 4055748320.000000 179.317500 0.000215561
74 4055748400.000000 179.475500 0.000215651
75 4055748480.000000 179.625000 0.000215561
76 4055748560.000000 179.782500 0.000215561
77 4055748640.000000 179.938500 0.000215561
78 4055748720.000000 180.090500 0.000215472
79 4055748800.000000 180.247500 0.000215591
80 4055748880.000000 180.402000 0.000215591
81 4055748960.000000 180.555500 0.000215531
82 4055749040.000000 180.712500 0.000215561
83 4055749120.000000 180.865500 0.000215531
84 4055749200.000000 181.022000 0.000215531
85 4055749280.000000 181.175000 0.000215531
86 4055749360.000000 181.331500 0.000215412
87 4055749440.000000 181.489500 0.000215442
88 4055749520.000000 181.641500 0.000215502
89 4055749600.000000 181.801000 0.000215531
90 4055749680.000000 181.959000 0.000215561
91 4055749760.000000 182.110500 0.000215561
92 4055749840.000000 182.267500 0.000215531
93 4055749920.000000 182.423500 0.000215412
94 4055750000.000000 182.578000 0.000215412
95 4055750080.000000 182.733500 0.000215293
96 4055750160.000000 182.889500 0.000215293
97 4055750240.000000 183.045000 0.000215353
98 4055750320.000000 183.199000 0.000215442
99 4055750400.000000 183.358000 0.000215531
100 4055750480.000000 183.509500 0.000215531
101 4055750560.000000 183.664000 0.000215531
102 4055750640.000000 183.817500 0.000215442
103 4055750720.000000 183.974000 0.000215382
104 4055750800.000000 184.127500 0.000215323
105 4055750880.000000 184.284000 0.000215323
106 4055750960.000000 184.440500 0.000215263
107 4055751040.000000 184.597000 0.000215293
108 4055751120.000000 184.747500 0.000215382
109 4055751200.000000 184.900500 0.000215502
110 4055751280.000000 185.058000 0.000215531
111 4055751360.000000 185.213500 0.000215502
112 4055751440.000000 185.369000 0.000215412
113 4055751520.000000 185.522500 0.000215382
114 4055751600.000000 185.677000 0.000215263
115 4055751680.000000 185.833500 0.000215263
116 4055751760.000000 185.987000 0.000215293
117 4055751840.000000 186.140500 0.000215293
118 4055751920.000000 186.297500 0.000215382
119 4055752000.000000 186.452500 0.000215531
120 4055752080.000000 186.607500 0.000215531
121 4055752160.000000 186.765500 0.000215472
122 4055752240.000000 186.921000 0.000215502
123 4055752320.000000 187.075000 0.000215263
124 4055752400.000000 187.230000 0.000215204
125 4055752480.000000 187.385500 0.000215144
126 4055752560.000000 187.540500 0.000215144
127 4055752640.000000 187.697000 0.000215293
128 4055752720.000000 187.852500 0.000215442
129 4055752800.000000 188.006500 0.000215412
130 4055752880.000000 188.164500 0.000215502
131 4055752960.000000 188.318000 0.000215472
132 4055753040.000000 188.472500 0.000215323
133 4055753120.000000 188.629500 0.000215204
134 4055753200.000000 188.780000 0.000215114
135 4055753280.000000 188.937000 0.000215025
