# #  SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4055244780.000000 177.443000 0.000200094
62 4055244860.000000 177.597500 0.000200153
63 4055244940.000000 177.752000 0.000200094
64 4055245020.000000 177.909000 0.000200183
65 4055245100.000000 178.063000 0.000200213
66 4055245180.000000 178.219500 0.000200094
67 4055245260.000000 178.372000 0.000200064
68 4055245340.000000 178.529000 0.000200064
69 4055245420.000000 178.683000 0.000200064
70 4055245500.000000 178.835000 0.000200094
71 4055245580.000000 178.994000 0.000200153
72 4055245660.000000 179.146500 0.000200094
73 4055245740.000000 179.303000 0.000200034
74 4055245820.000000 179.456000 0.000200064
75 4055245900.000000 179.610000 0.000200064
76 4055245980.000000 179.767500 0.000200034
77 4055246060.000000 179.921500 0.000200004
78 4055246140.000000 180.075000 0.000200004
79 4055246220.000000 180.233500 0.000200064
80 4055246300.000000 180.383500 0.000200034
81 4055246380.000000 180.541500 0.000200064
82 4055246460.000000 180.697000 0.000200034
83 4055246540.000000 180.848500 0.000200064
84 4055246620.000000 181.005000 0.000199975
85 4055246700.000000 181.159500 0.000199945
86 4055246780.000000 181.313500 0.000199915
87 4055246860.000000 181.471500 0.000199915
88 4055246940.000000 181.627000 0.000199915
89 4055247020.000000 181.784500 0.000199945
90 4055247100.000000 181.939500 0.000200064
91 4055247180.000000 182.096500 0.000200064
92 4055247261.000000 182.253000 0.000199945
93 4055247340.000000 182.404000 0.000199945
94 4055247420.000000 182.562000 0.000199885
95 4055247500.000000 182.715000 0.000199826
96 4055247580.000000 182.871500 0.000199796
97 4055247660.000000 183.029500 0.000199826
98 4055247740.000000 183.181500 0.000199826
99 4055247820.000000 183.340000 0.000199915
100 4055247900.000000 183.494500 0.000199945
101 4055247980.000000 183.646000 0.000199975
102 4055248060.000000 183.802000 0.000199945
103 4055248140.000000 183.957000 0.000199855
104 4055248220.000000 184.110000 0.000199855
105 4055248300.000000 184.264000 0.000199706
106 4055248380.000000 184.422000 0.000199736
107 4055248460.000000 184.579000 0.000199796
108 4055248540.000000 184.733500 0.000199885
109 4055248620.000000 184.885500 0.000199885
110 4055248700.000000 185.040000 0.000200064
111 4055248780.000000 185.195000 0.000200004
112 4055248860.000000 185.350500 0.000199915
113 4055248940.000000 185.503000 0.000199796
114 4055249020.000000 185.658500 0.000199736
115 4055249100.000000 185.815500 0.000199676
116 4055249180.000000 185.969500 0.000199617
117 4055249260.000000 186.122500 0.000199676
