# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






115 2455474420.000000 225.826500 9.77223e-005
116 2455474500.000000 225.984500 9.77223e-005
117 2455474580.000000 226.137500 9.76627e-005
118 2455474660.000000 226.293000 9.76925e-005
119 2455474740.000000 226.450500 9.76925e-005
120 2455474820.000000 226.601000 9.77223e-005
121 2455474900.000000 226.758000 9.76329e-005
122 2455474980.000000 226.916500 9.76627e-005
123 2455475060.000000 227.069000 9.76329e-005
124 2455475140.000000 227.227000 9.76329e-005
125 2455475220.000000 227.382000 9.76031e-005
126 2455475300.000000 227.539500 9.76627e-005
127 2455475380.000000 227.694500 9.76329e-005
128 2455475460.000000 227.850000 9.76925e-005
129 2455475540.000000 228.007000 9.76627e-005
130 2455475620.000000 228.158000 9.76329e-005
131 2455475700.000000 228.315500 9.76329e-005
132 2455475780.000000 228.471500 9.76329e-005
133 2455475860.000000 228.623000 9.76031e-005
134 2455475940.000000 228.782000 9.76329e-005
135 2455476020.000000 228.932500 9.76031e-005
136 2455476100.000000 229.089500 9.75733e-005
137 2455476180.000000 229.245000 9.76031e-005
138 2455476260.000000 229.396500 9.76031e-005
139 2455476340.000000 229.553500 9.75733e-005
140 2455476420.000000 229.710000 9.75435e-005
141 2455476500.000000 229.862500 9.75435e-005
142 2455476580.000000 230.020500 9.76031e-005
143 2455476660.000000 230.174000 9.75733e-005
144 2455476740.000000 230.330000 9.76031e-005
145 2455476820.000000 230.483000 9.75435e-005
146 2455476900.000000 230.639000 9.75137e-005
147 2455476980.000000 230.792000 9.74541e-005
148 2455477060.000000 230.946500 9.75435e-005
149 2455477140.000000 231.105500 9.75435e-005
150 2455477220.000000 231.263000 9.75435e-005
151 2455477300.000000 231.414500 9.74541e-005
152 2455477380.000000 231.572500 9.75435e-005
153 2455477460.000000 231.726000 9.74839e-005
154 2455477540.000000 231.879000 9.74541e-005
155 2455477620.000000 232.036000 9.74839e-005
156 2455477700.000000 232.191500 9.74839e-005
157 2455477780.000000 232.348000 9.74839e-005
158 2455477860.000000 232.502000 9.74243e-005
159 2455477940.000000 232.658500 9.74541e-005
160 2455478020.000000 232.816000 9.74839e-005
161 2455478100.000000 232.966000 9.74839e-005
162 2455478180.000000 233.121000 9.75137e-005
163 2455478260.000000 233.276500 9.74541e-005
164 2455478340.000000 233.432000 9.74243e-005
165 2455478420.000000 233.588500 9.74243e-005
166 2455478500.000000 233.741500 9.74243e-005
167 2455478580.000000 233.899500 9.73647e-005
168 2455478660.000000 234.054000 9.73647e-005
169 2455478740.000000 234.205500 9.74243e-005
170 2455478820.000000 234.361500 9.74243e-005
171 2455478900.000000 234.516000 9.74541e-005
172 2455478980.000000 234.672500 9.74243e-005
173 2455479060.000000 234.826000 9.73945e-005
174 2455479140.000000 234.982000 9.73945e-005
175 2455479220.000000 235.139000 9.73647e-005
176 2455479300.000000 235.292500 9.73647e-005
177 2455479380.000000 235.449500 9.73349e-005
178 2455479460.000000 235.602000 9.73647e-005
179 2455479540.000000 235.757000 9.73349e-005
180 2455479620.000000 235.915500 9.7305e-005
181 2455479700.000000 236.068000 9.73647e-005
182 2455479780.000000 236.223500 9.73647e-005
183 2455479860.000000 236.381000 9.73945e-005
184 2455479940.000000 236.533000 9.73945e-005
185 2455480020.000000 236.690500 9.74243e-005
186 2455480100.000000 236.847500 9.73945e-005
187 2455480180.000000 236.999500 9.73349e-005
188 2455480260.000000 237.157000 9.73647e-005
189 2455480340.000000 237.314000 9.73647e-005
190 2455480420.000000 237.468000 9.73349e-005
191 2455480500.000000 237.625000 9.73647e-005
192 2455480580.000000 237.780500 9.73349e-005
193 2455480660.000000 237.936000 9.73945e-005
194 2455480740.000000 238.091500 9.73647e-005
195 2455480820.000000 238.247500 9.73647e-005
196 2455480900.000000 238.402000 9.7305e-005
197 2455480980.000000 238.554000 9.7305e-005
198 2455481060.000000 238.713500 9.7305e-005
199 2455481140.000000 238.866000 9.73349e-005
200 2455481220.000000 239.021500 9.73349e-005
201 2455481300.000000 239.178000 9.73349e-005
202 2455481380.000000 239.329500 9.72454e-005
203 2455481460.000000 239.486500 9.7305e-005
204 2455481540.000000 239.638500 9.73349e-005
205 2455481620.000000 239.793500 9.73349e-005
206 2455481700.000000 239.951500 9.73647e-005
207 2455481780.000000 240.103500 9.73647e-005
208 2455481860.000000 240.259000 9.73349e-005
209 2455481940.000000 240.413500 9.73349e-005
210 2455482020.000000 240.569000 9.73349e-005
211 2455482101.000000 240.726000 9.73349e-005
212 2455482180.000000 240.878000 9.73349e-005
213 2455482260.000000 241.033500 9.7305e-005
214 2455482340.000000 241.189500 9.7305e-005
215 2455482420.000000 241.344000 9.7305e-005
216 2455482500.000000 241.500000 9.73349e-005
217 2455482580.000000 241.656500 9.7305e-005
218 2455482660.000000 241.808500 9.73349e-005
219 2455482740.000000 241.965500 9.72752e-005
220 2455482820.000000 242.118500 9.73349e-005
221 2455482900.000000 242.276500 9.72752e-005
222 2455482980.000000 242.431000 9.73349e-005
223 2455483060.000000 242.588000 9.7305e-005
224 2455483140.000000 242.745000 9.72752e-005
225 2455483220.000000 242.897500 9.73349e-005
226 2455483300.000000 243.055000 9.72752e-005
227 2455483380.000000 243.211500 9.73349e-005
228 2455483460.000000 243.363500 9.72752e-005
229 2455483540.000000 243.521000 9.72752e-005
230 2455483620.000000 243.676500 9.72752e-005
231 2455483700.000000 243.830500 9.7305e-005
232 2455483780.000000 243.987000 9.73349e-005
233 2455483860.000000 244.141000 9.72752e-005
234 2455483940.000000 244.295500 9.73349e-005
235 2455484020.000000 244.450500 9.72752e-005
236 2455484100.000000 244.603000 9.7305e-005
237 2455484180.000000 244.759500 9.72752e-005
238 2455484260.000000 244.915000 9.7305e-005
239 2455484340.000000 245.069500 9.73349e-005
240 2455484420.000000 245.225500 9.72752e-005
241 2455484500.000000 245.383500 9.72752e-005
242 2455484580.000000 245.537000 9.7305e-005
243 2455484660.000000 245.691000 9.72752e-005
