# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






523 2455507060.000000 289.140500 9.65302e-005
524 2455507140.000000 289.299000 9.64408e-005
525 2455507220.000000 289.451500 9.65004e-005
526 2455507300.000000 289.608000 9.65004e-005
527 2455507380.000000 289.761500 9.656e-005
528 2455507460.000000 289.917500 9.64706e-005
529 2455507540.000000 290.070500 9.64706e-005
530 2455507620.000000 290.227500 9.65004e-005
531 2455507700.000000 290.381000 9.65004e-005
532 2455507780.000000 290.536500 9.64706e-005
533 2455507860.000000 290.690000 9.65004e-005
534 2455507940.000000 290.845500 9.64408e-005
535 2455508020.000000 290.999500 9.64706e-005
536 2455508100.000000 291.155500 9.64408e-005
537 2455508180.000000 291.311500 9.64706e-005
538 2455508260.000000 291.465000 9.64706e-005
539 2455508340.000000 291.623000 9.65004e-005
540 2455508420.000000 291.779000 9.64408e-005
541 2455508500.000000 291.930000 9.64408e-005
542 2455508580.000000 292.086000 9.64408e-005
543 2455508660.000000 292.242500 9.6411e-005
544 2455508740.000000 292.397000 9.6411e-005
545 2455508820.000000 292.554000 9.63812e-005
546 2455508900.000000 292.704000 9.63812e-005
547 2455508980.000000 292.863000 9.6411e-005
548 2455509060.000000 293.016500 9.6411e-005
549 2455509140.000000 293.172500 9.63812e-005
550 2455509220.000000 293.329000 9.63514e-005
551 2455509300.000000 293.483500 9.63514e-005
552 2455509380.000000 293.641500 9.63514e-005
553 2455509460.000000 293.796000 9.63812e-005
554 2455509540.000000 293.951500 9.63812e-005
555 2455509620.000000 294.106500 9.63216e-005
556 2455509700.000000 294.261000 9.63514e-005
557 2455509780.000000 294.425000 9.63216e-005
558 2455509860.000000 294.570000 9.63216e-005
559 2455509940.000000 294.725000 9.63812e-005
560 2455510020.000000 294.882500 9.63514e-005
561 2455510100.000000 295.033500 9.63812e-005
562 2455510180.000000 295.191000 9.63514e-005
563 2455510260.000000 295.346500 9.63216e-005
564 2455510340.000000 295.497000 9.63514e-005
565 2455510420.000000 295.654000 9.62918e-005
566 2455510500.000000 295.808000 9.63216e-005
567 2455510580.000000 295.965500 9.62918e-005
568 2455510660.000000 296.119500 9.62918e-005
569 2455510740.000000 296.275500 9.6262e-005
570 2455510820.000000 296.430500 9.62918e-005
571 2455510900.000000 296.586500 9.62918e-005
572 2455510980.000000 296.741500 9.62322e-005
573 2455511060.000000 296.897000 9.62322e-005
574 2455511140.000000 297.052000 9.62918e-005
575 2455511220.000000 297.207500 9.62322e-005
576 2455511300.000000 297.361500 9.62024e-005
577 2455511380.000000 297.516500 9.61726e-005
578 2455511460.000000 297.673500 9.61428e-005
579 2455511540.000000 297.826000 9.61726e-005
580 2455511620.000000 297.980500 9.61428e-005
581 2455511700.000000 298.135500 9.62024e-005
582 2455511780.000000 298.292500 9.62024e-005
583 2455511860.000000 298.450000 9.61726e-005
584 2455511940.000000 298.602500 9.61726e-005
585 2455512020.000000 298.757000 9.60832e-005
586 2455512100.000000 298.916000 9.60832e-005
587 2455512180.000000 299.071000 9.60534e-005
588 2455512260.000000 299.226000 9.60534e-005
589 2455512340.000000 299.379000 9.60832e-005
590 2455512420.000000 299.533500 9.60832e-005
591 2455512500.000000 299.691500 9.60832e-005
592 2455512580.000000 299.844000 9.61428e-005
593 2455512660.000000 300.000000 9.60832e-005
594 2455512740.000000 300.152500 9.60832e-005
595 2455512820.000000 300.308000 9.60534e-005
596 2455512900.000000 300.463000 9.60832e-005
597 2455512980.000000 300.618500 9.60534e-005
598 2455513060.000000 300.771000 9.60235e-005
599 2455513140.000000 300.930000 9.60235e-005
600 2455513220.000000 301.081500 9.59937e-005
601 2455513300.000000 301.241000 9.60235e-005
602 2455513380.000000 301.396000 9.60534e-005
603 2455513460.000000 301.550000 9.60534e-005
604 2455513540.000000 301.704000 9.59937e-005
605 2455513620.000000 301.858500 9.59937e-005
606 2455513700.000000 302.017000 9.59043e-005
607 2455513780.000000 302.169500 9.59937e-005
608 2455513860.000000 302.322500 9.59639e-005
609 2455513940.000000 302.481500 9.59639e-005
610 2455514020.000000 302.636000 9.59043e-005
611 2455514100.000000 302.792500 9.59341e-005
612 2455514180.000000 302.947000 9.59043e-005
613 2455514260.000000 303.099000 9.59043e-005
614 2455514340.000000 303.257500 9.59043e-005
615 2455514420.000000 303.410000 9.59341e-005
616 2455514500.000000 303.567500 9.59043e-005
617 2455514580.000000 303.722000 9.59043e-005
618 2455514660.000000 303.879000 9.58745e-005
619 2455514740.000000 304.033000 9.58149e-005
620 2455514820.000000 304.189000 9.58149e-005
621 2455514900.000000 304.343500 9.58745e-005
622 2455514980.000000 304.501000 9.58149e-005
623 2455515060.000000 304.650000 9.58447e-005
624 2455515140.000000 304.810500 9.58745e-005
625 2455515220.000000 304.962500 9.58149e-005
626 2455515300.000000 305.119500 9.58745e-005
627 2455515380.000000 305.271000 9.57553e-005
628 2455515460.000000 305.424000 9.57851e-005
629 2455515540.000000 305.579500 9.57851e-005
630 2455515620.000000 305.736000 9.57851e-005
631 2455515700.000000 305.888500 9.57553e-005
632 2455515780.000000 306.044000 9.57553e-005
633 2455515860.000000 306.198000 9.58149e-005
634 2455515940.000000 306.357000 9.57255e-005
635 2455516020.000000 306.511500 9.57255e-005
636 2455516100.000000 306.665500 9.57255e-005
637 2455516180.000000 306.820000 9.57255e-005
638 2455516260.000000 306.977000 9.56659e-005
639 2455516340.000000 307.132000 9.56361e-005
640 2455516420.000000 307.287000 9.56957e-005
641 2455516500.000000 307.439000 9.56659e-005
642 2455516580.000000 307.597500 9.56063e-005
643 2455516660.000000 307.750000 9.56063e-005
644 2455516740.000000 307.908000 9.56063e-005
645 2455516820.000000 308.061000 9.56361e-005
646 2455516900.000000 308.216500 9.56063e-005
647 2455516980.000000 308.371500 9.55765e-005
648 2455517060.000000 308.527500 9.56063e-005
649 2455517140.000000 308.685000 9.55765e-005
650 2455517220.000000 308.839000 9.56063e-005
651 2455517300.000000 308.995000 9.55765e-005
652 2455517380.000000 309.149500 9.56063e-005
653 2455517460.000000 309.306000 9.55765e-005
654 2455517540.000000 309.459000 9.55169e-005
655 2455517620.000000 309.617500 9.55169e-005
656 2455517700.000000 309.769000 9.55169e-005
657 2455517780.000000 309.926500 9.55467e-005
658 2455517860.000000 310.080000 9.54573e-005
659 2455517940.000000 310.235500 9.55467e-005
660 2455518020.000000 310.390000 9.54573e-005
661 2455518100.000000 310.546000 9.54275e-005
662 2455518180.000000 310.699000 9.54573e-005
663 2455518260.000000 310.855000 9.54871e-005
664 2455518340.000000 311.009000 9.54573e-005
665 2455518420.000000 311.165000 9.53977e-005
666 2455518500.000000 311.317500 9.53977e-005
667 2455518580.000000 311.474500 9.54573e-005
668 2455518660.000000 311.632000 9.53977e-005
669 2455518740.000000 311.784500 9.53977e-005
670 2455518820.000000 311.939500 9.53679e-005
671 2455518900.000000 312.095500 9.53381e-005
672 2455518980.000000 312.250500 9.53679e-005
673 2455519060.000000 312.406500 9.53381e-005
674 2455519140.000000 312.559000 9.53381e-005
675 2455519220.000000 312.714500 9.53381e-005
676 2455519300.000000 312.869500 9.52785e-005
677 2455519380.000000 313.024000 9.53083e-005
678 2455519460.000000 313.180500 9.52785e-005
679 2455519540.000000 313.334000 9.53083e-005
680 2455519620.000000 313.489500 9.52487e-005
681 2455519700.000000 313.645000 9.52487e-005
682 2455519780.000000 313.800000 9.52487e-005
683 2455519860.000000 313.956000 9.51593e-005
684 2455519940.000000 314.112500 9.52189e-005
685 2455520020.000000 314.267000 9.51593e-005
686 2455520100.000000 314.423500 9.52189e-005
687 2455520180.000000 314.575500 9.52189e-005
688 2455520260.000000 314.734000 9.51593e-005
689 2455520340.000000 314.886000 9.51891e-005
690 2455520420.000000 315.042000 9.51593e-005
691 2455520500.000000 315.195500 9.51295e-005
692 2455520580.000000 315.351500 9.51891e-005
693 2455520660.000000 315.507500 9.51593e-005
694 2455520740.000000 315.661000 9.51593e-005
695 2455520820.000000 315.814000 9.50997e-005
696 2455520900.000000 315.968000 9.50997e-005
697 2455520980.000000 316.124000 9.50699e-005
698 2455521060.000000 316.278500 9.50997e-005
699 2455521140.000000 316.436000 9.50997e-005
700 2455521220.000000 316.589000 9.50699e-005
701 2455521300.000000 316.746500 9.50699e-005
702 2455521380.000000 316.900000 9.50401e-005
703 2455521460.000000 317.056500 9.50699e-005
704 2455521540.000000 317.210500 9.50103e-005
705 2455521620.000000 317.364000 9.49507e-005
706 2455521700.000000 317.521000 9.49805e-005
707 2455521780.000000 317.677500 9.49507e-005
708 2455521860.000000 317.830500 9.50103e-005
709 2455521940.000000 317.986000 9.50103e-005
710 2455522020.000000 318.140000 9.49507e-005
711 2455522100.000000 318.298000 9.49507e-005
712 2455522180.000000 318.453000 9.49209e-005
713 2455522260.000000 318.606000 9.49209e-005
714 2455522340.000000 318.764000 9.49209e-005
715 2455522420.000000 318.920000 9.49209e-005
716 2455522500.000000 319.076000 9.49209e-005
717 2455522580.000000 319.228500 9.48911e-005
718 2455522660.000000 319.383000 9.49209e-005
719 2455522740.000000 319.541000 9.49209e-005
720 2455522820.000000 319.694000 9.48911e-005
721 2455522900.000000 319.849000 9.48315e-005
722 2455522980.000000 320.004000 9.48017e-005
723 2455523060.000000 320.156000 9.48613e-005
724 2455523140.000000 320.315500 9.47719e-005
725 2455523220.000000 320.468500 9.47122e-005
726 2455523300.000000 320.622500 9.4742e-005
727 2455523380.000000 320.776500 9.47719e-005
728 2455523460.000000 320.931500 9.47719e-005
729 2455523540.000000 321.087000 9.48017e-005
730 2455523620.000000 321.241500 9.4742e-005
731 2455523700.000000 321.397500 9.48315e-005
732 2455523780.000000 321.553000 9.46824e-005
733 2455523860.000000 321.708000 9.4742e-005
734 2455523940.000000 321.863000 9.47122e-005
735 2455524020.000000 322.020000 9.46824e-005
736 2455524100.000000 322.172500 9.46824e-005
737 2455524180.000000 322.330000 9.4593e-005
738 2455524260.000000 322.483000 9.46526e-005
739 2455524340.000000 322.639500 9.46526e-005
740 2455524420.000000 322.794000 9.46824e-005
741 2455524500.000000 322.948500 9.46526e-005
742 2455524580.000000 323.103000 9.46526e-005
743 2455524660.000000 323.260500 9.4593e-005
744 2455524740.000000 323.412500 9.45334e-005
745 2455524820.000000 323.571000 9.4593e-005
746 2455524900.000000 323.723000 9.4593e-005
747 2455524980.000000 323.882000 9.45632e-005
748 2455525060.000000 324.037500 9.45632e-005
749 2455525140.000000 324.191000 9.45334e-005
750 2455525220.000000 324.349500 9.45334e-005
751 2455525300.000000 324.501500 9.45334e-005
752 2455525380.000000 324.658500 9.45036e-005
753 2455525460.000000 324.812000 9.45334e-005
754 2455525540.000000 324.967500 9.44738e-005
755 2455525620.000000 325.122500 9.44738e-005
756 2455525700.000000 325.277000 9.44738e-005
757 2455525780.000000 325.431000 9.44738e-005
758 2455525860.000000 325.588000 9.44738e-005
759 2455525940.000000 325.739500 9.4444e-005
760 2455526020.000000 325.894500 9.44142e-005
761 2455526100.000000 326.049500 9.4444e-005
762 2455526180.000000 326.205500 9.4444e-005
763 2455526260.000000 326.358500 9.4444e-005
764 2455526340.000000 326.512000 9.44142e-005
765 2455526420.000000 326.669000 9.44142e-005
766 2455526500.000000 326.822500 9.4444e-005
767 2455526580.000000 326.979500 9.44142e-005
768 2455526660.000000 327.134000 9.4444e-005
769 2455526740.000000 327.288000 9.44142e-005
770 2455526820.000000 327.443000 9.43546e-005
771 2455526900.000000 327.600500 9.43546e-005
772 2455526980.000000 327.755500 9.44142e-005
773 2455527060.000000 327.910500 9.43844e-005
774 2455527140.000000 328.066000 9.43844e-005
775 2455527220.000000 328.219000 9.43844e-005
776 2455527300.000000 328.375500 9.43248e-005
777 2455527380.000000 328.530000 9.43546e-005
778 2455527460.000000 328.685000 9.43248e-005
779 2455527540.000000 328.843000 9.43546e-005
780 2455527620.000000 329.000000 9.43546e-005
781 2455527700.000000 329.155000 9.43248e-005
782 2455527780.000000 329.310500 9.4295e-005
783 2455527860.000000 329.465500 9.42652e-005
784 2455527940.000000 329.620500 9.43248e-005
785 2455528020.000000 329.773500 9.43248e-005
786 2455528100.000000 329.930000 9.42652e-005
787 2455528180.000000 330.084500 9.4295e-005
788 2455528260.000000 330.241500 9.42354e-005
789 2455528340.000000 330.397500 9.42652e-005
790 2455528420.000000 330.549500 9.42056e-005
791 2455528500.000000 330.707000 9.42354e-005
792 2455528580.000000 330.859500 9.42056e-005
793 2455528660.000000 331.016000 9.41758e-005
794 2455528740.000000 331.172000 9.42354e-005
795 2455528820.000000 331.323000 9.42056e-005
796 2455528900.000000 331.481000 9.42056e-005
797 2455528980.000000 331.634500 9.41758e-005
798 2455529060.000000 331.792500 9.42056e-005
799 2455529140.000000 331.946000 9.42056e-005
800 2455529220.000000 332.100000 9.41162e-005
801 2455529300.000000 332.256000 9.4146e-005
802 2455529380.000000 332.412000 9.4146e-005
803 2455529460.000000 332.566000 9.41162e-005
804 2455529540.000000 332.722500 9.41162e-005
805 2455529620.000000 332.876500 9.40864e-005
806 2455529700.000000 333.031000 9.4146e-005
807 2455529780.000000 333.184500 9.41162e-005
808 2455529860.000000 333.338500 9.41162e-005
809 2455529940.000000 333.497500 9.40864e-005
810 2455530020.000000 333.649500 9.41162e-005
811 2455530100.000000 333.805000 9.40864e-005
812 2455530180.000000 333.961500 9.40268e-005
813 2455530260.000000 334.118500 9.40864e-005
814 2455530340.000000 334.277000 9.40268e-005
815 2455530420.000000 334.428500 9.40566e-005
816 2455530500.000000 334.583000 9.40864e-005
817 2455530580.000000 334.741000 9.40268e-005
818 2455530660.000000 334.895500 9.40566e-005
819 2455530740.000000 335.050000 9.40268e-005
820 2455530820.000000 335.203500 9.40268e-005
821 2455530900.000000 335.358000 9.39672e-005
822 2455530980.000000 335.516000 9.39672e-005
823 2455531060.000000 335.667500 9.40268e-005
824 2455531140.000000 335.824000 9.39374e-005
825 2455531220.000000 335.977000 9.39672e-005
826 2455531300.000000 336.132000 9.39672e-005
827 2455531380.000000 336.286500 9.39374e-005
828 2455531460.000000 336.442000 9.39672e-005
829 2455531540.000000 336.598500 9.39374e-005
830 2455531620.000000 336.751500 9.39672e-005
831 2455531700.000000 336.907500 9.39374e-005
832 2455531780.000000 337.062500 9.39076e-005
833 2455531860.000000 337.218000 9.3997e-005
834 2455531940.000000 337.372500 9.38778e-005
835 2455532020.000000 337.529000 9.39374e-005
836 2455532100.000000 337.683000 9.39076e-005
837 2455532180.000000 337.839500 9.38182e-005
838 2455532261.000000 337.995500 9.39076e-005
839 2455532340.000000 338.148500 9.3848e-005
840 2455532420.000000 338.305500 9.39076e-005
841 2455532500.000000 338.458500 9.3848e-005
842 2455532580.000000 338.615000 9.38182e-005
843 2455532660.000000 338.769000 9.38778e-005
844 2455532740.000000 338.926000 9.3848e-005
845 2455532820.000000 339.083000 9.38182e-005
846 2455532900.000000 339.237500 9.38182e-005
847 2455532980.000000 339.395500 9.38182e-005
848 2455533060.000000 339.549500 9.3848e-005
849 2455533140.000000 339.705500 9.37884e-005
850 2455533220.000000 339.858500 9.38182e-005
851 2455533300.000000 340.014000 9.37884e-005
852 2455533380.000000 340.168000 9.37884e-005
853 2455533460.000000 340.324000 9.37586e-005
854 2455533540.000000 340.475000 9.37586e-005
855 2455533620.000000 340.635000 9.37586e-005
856 2455533700.000000 340.786000 9.37586e-005
857 2455533780.000000 340.943500 9.37586e-005
858 2455533860.000000 341.098000 9.37884e-005
859 2455533940.000000 341.250500 9.3699e-005
860 2455534020.000000 341.405500 9.37586e-005
861 2455534100.000000 341.562500 9.3699e-005
862 2455534180.000000 341.717000 9.37586e-005
863 2455534260.000000 341.872000 9.36692e-005
864 2455534340.000000 342.027000 9.3699e-005
865 2455534420.000000 342.182500 9.36692e-005
866 2455534500.000000 342.339000 9.36692e-005
867 2455534580.000000 342.490500 9.37288e-005
868 2455534660.000000 342.649500 9.3699e-005
869 2455534740.000000 342.801000 9.36394e-005
870 2455534820.000000 342.958000 9.36394e-005
871 2455534900.000000 343.115000 9.36692e-005
872 2455534980.000000 343.265500 9.3699e-005
873 2455535060.000000 343.423500 9.36692e-005
874 2455535140.000000 343.576500 9.36692e-005
875 2455535220.000000 343.733000 9.36692e-005
876 2455535300.000000 343.887500 9.36394e-005
877 2455535380.000000 344.044000 9.36692e-005
878 2455535460.000000 344.199500 9.36394e-005
879 2455535540.000000 344.357000 9.36394e-005
880 2455535620.000000 344.510000 9.36394e-005
881 2455535700.000000 344.668500 9.36394e-005
882 2455535780.000000 344.821500 9.36394e-005
883 2455535860.000000 344.977500 9.35798e-005
884 2455535940.000000 345.133000 9.36394e-005
885 2455536020.000000 345.285500 9.36394e-005
886 2455536100.000000 345.443500 9.35798e-005
887 2455536180.000000 345.596000 9.36096e-005
888 2455536260.000000 345.753500 9.355e-005
889 2455536340.000000 345.905500 9.36394e-005
890 2455536420.000000 346.061000 9.36394e-005
891 2455536500.000000 346.216000 9.35202e-005
892 2455536580.000000 346.371000 9.35798e-005
893 2455536660.000000 346.525000 9.34904e-005
894 2455536740.000000 346.681000 9.35798e-005
895 2455536820.000000 346.837000 9.35202e-005
896 2455536900.000000 346.991500 9.355e-005
897 2455536980.000000 347.144500 9.35202e-005
898 2455537060.000000 347.301500 9.34904e-005
899 2455537140.000000 347.458000 9.35202e-005
900 2455537220.000000 347.610000 9.35202e-005
901 2455537300.000000 347.765000 9.355e-005
902 2455537380.000000 347.921000 9.35202e-005
903 2455537460.000000 348.077000 9.34904e-005
904 2455537540.000000 348.232500 9.34904e-005
905 2455537620.000000 348.385000 9.34904e-005
906 2455537700.000000 348.541000 9.34605e-005
907 2455537780.000000 348.694500 9.34904e-005
908 2455537860.000000 348.849500 9.34904e-005
909 2455537940.000000 349.006000 9.34307e-005
910 2455538020.000000 349.159500 9.34009e-005
911 2455538100.000000 349.318500 9.34605e-005
912 2455538180.000000 349.472500 9.33711e-005
913 2455538260.000000 349.628500 9.34009e-005
914 2455538340.000000 349.787000 9.34605e-005
915 2455538420.000000 349.939500 9.33711e-005
916 2455538500.000000 350.098000 9.34009e-005
917 2455538580.000000 350.251000 9.33711e-005
918 2455538660.000000 350.404000 9.33115e-005
919 2455538740.000000 350.559500 9.33413e-005
920 2455538820.000000 350.716000 9.33711e-005
921 2455538900.000000 350.868000 9.33413e-005
922 2455538980.000000 351.026000 9.33413e-005
923 2455539060.000000 351.180000 9.33115e-005
924 2455539140.000000 351.335500 9.33413e-005
925 2455539220.000000 351.491000 9.32817e-005
926 2455539300.000000 351.643500 9.33115e-005
927 2455539380.000000 351.802500 9.32817e-005
928 2455539460.000000 351.956500 9.33711e-005
929 2455539540.000000 352.113500 9.33413e-005
930 2455539620.000000 352.268000 9.32817e-005
931 2455539700.000000 352.422500 9.32519e-005
932 2455539780.000000 352.576500 9.32221e-005
933 2455539860.000000 352.734000 9.32519e-005
934 2455539940.000000 352.886500 9.32817e-005
935 2455540020.000000 353.044500 9.32221e-005
936 2455540100.000000 353.197000 9.32519e-005
937 2455540180.000000 353.353500 9.31923e-005
938 2455540260.000000 353.509000 9.32519e-005
939 2455540340.000000 353.661500 9.32221e-005
940 2455540420.000000 353.817500 9.32519e-005
941 2455540500.000000 353.971000 9.32221e-005
942 2455540580.000000 354.128500 9.31923e-005
943 2455540660.000000 354.283500 9.32519e-005
944 2455540740.000000 354.437500 9.31923e-005
945 2455540820.000000 354.595500 9.32221e-005
946 2455540900.000000 354.752500 9.32221e-005
947 2455540980.000000 354.907000 9.31923e-005
948 2455541060.000000 355.061000 9.31923e-005
949 2455541140.000000 355.214500 9.32221e-005
950 2455541220.000000 355.373000 9.32519e-005
951 2455541300.000000 355.525500 9.31327e-005
952 2455541380.000000 355.681000 9.31327e-005
953 2455541460.000000 355.836000 9.31625e-005
954 2455541540.000000 355.986500 9.31327e-005
955 2455541620.000000 356.145500 9.31327e-005
956 2455541700.000000 356.300000 9.31029e-005
957 2455541780.000000 356.454000 9.31029e-005
958 2455541860.000000 356.610000 9.31029e-005
959 2455541940.000000 356.762500 9.31029e-005
960 2455542020.000000 356.921000 9.31029e-005
961 2455542100.000000 357.074500 9.31029e-005
962 2455542180.000000 357.231000 9.30731e-005
963 2455542260.000000 357.385000 9.30731e-005
964 2455542340.000000 357.539000 9.30135e-005
965 2455542420.000000 357.696500 9.30433e-005
966 2455542500.000000 357.850500 9.30731e-005
967 2455542580.000000 358.005000 9.30433e-005
968 2455542660.000000 358.161000 9.30433e-005
969 2455542740.000000 358.316000 9.30433e-005
970 2455542820.000000 358.469500 9.29837e-005
971 2455542900.000000 358.628000 9.30433e-005
972 2455542980.000000 358.779500 9.30433e-005
973 2455543060.000000 358.938000 9.29837e-005
974 2455543140.000000 359.092000 9.29837e-005
975 2455543220.000000 359.248500 9.29837e-005
976 2455543300.000000 359.402000 9.29539e-005
977 2455543380.000000 359.558500 9.29837e-005
978 2455543460.000000 359.716500 9.29539e-005
979 2455543540.000000 359.870000 9.29539e-005
980 2455543620.000000 360.027000 9.29539e-005
981 2455543700.000000 360.182000 9.28943e-005
982 2455543780.000000 360.338000 9.29539e-005
983 2455543861.000000 360.494000 9.29241e-005
984 2455543940.000000 360.648000 9.29539e-005
985 2455544020.000000 360.800500 9.28943e-005
986 2455544100.000000 360.958500 9.28943e-005
987 2455544180.000000 361.110000 9.28943e-005
988 2455544260.000000 361.266500 9.28645e-005
989 2455544340.000000 361.421000 9.28943e-005
990 2455544420.000000 361.576000 9.28347e-005
991 2455544500.000000 361.730000 9.28645e-005
992 2455544580.000000 361.887000 9.28943e-005
993 2455544660.000000 362.042500 9.28049e-005
994 2455544740.000000 362.197500 9.28049e-005
995 2455544820.000000 362.351000 9.28049e-005
996 2455544900.000000 362.508000 9.28049e-005
997 2455544980.000000 362.660500 9.28347e-005
998 2455545060.000000 362.817500 9.27751e-005
999 2455545140.000000 362.973000 9.28049e-005
1000 2455545220.000000 363.126000 9.28049e-005
1001 2455545300.000000 363.285000 9.27751e-005
1002 2455545380.000000 363.442000 9.27751e-005
1003 2455545460.000000 363.592500 9.27751e-005
1004 2455545540.000000 363.747500 9.28049e-005
1005 2455545620.000000 363.903500 9.28049e-005
1006 2455545700.000000 364.056500 9.27751e-005
1007 2455545780.000000 364.213500 9.27751e-005
1008 2455545860.000000 364.367500 9.27751e-005
1009 2455545940.000000 364.524000 9.28347e-005
1010 2455546020.000000 364.681000 9.27453e-005
1011 2455546100.000000 364.835500 9.28049e-005
1012 2455546180.000000 364.993500 9.27155e-005
1013 2455546260.000000 365.145000 9.27453e-005
1014 2455546340.000000 365.304000 9.27751e-005
1015 2455546420.000000 365.457000 9.27751e-005
1016 2455546500.000000 365.613000 9.27751e-005
1017 2455546580.000000 365.766500 9.27155e-005
1018 2455546660.000000 365.921500 9.27453e-005
1019 2455546740.000000 366.076500 9.26857e-005
1020 2455546820.000000 366.233500 9.26857e-005
1021 2455546900.000000 366.387000 9.26857e-005
1022 2455546980.000000 366.542500 9.26857e-005
1023 2455547060.000000 366.697000 9.26559e-005
1024 2455547140.000000 366.851500 9.26261e-005
1025 2455547220.000000 367.009500 9.26559e-005
1026 2455547300.000000 367.161500 9.26857e-005
1027 2455547380.000000 367.319500 9.26261e-005
1028 2455547460.000000 367.473500 9.25665e-005
1029 2455547540.000000 367.630500 9.25963e-005
1030 2455547620.000000 367.783500 9.25665e-005
1031 2455547700.000000 367.938500 9.25665e-005
1032 2455547780.000000 368.094500 9.25665e-005
1033 2455547860.000000 368.250500 9.26559e-005
1034 2455547940.000000 368.403000 9.26559e-005
1035 2455548020.000000 368.560000 9.25665e-005
1036 2455548100.000000 368.711500 9.25963e-005
1037 2455548180.000000 368.870000 9.25963e-005
1038 2455548260.000000 369.022000 9.25665e-005
1039 2455548340.000000 369.178000 9.25367e-005
1040 2455548420.000000 369.336000 9.25665e-005
1041 2455548500.000000 369.490500 9.25367e-005
1042 2455548580.000000 369.645500 9.25069e-005
1043 2455548660.000000 369.801000 9.26261e-005
1044 2455548740.000000 369.954500 9.25367e-005
1045 2455548820.000000 370.113000 9.25367e-005
1046 2455548900.000000 370.267000 9.25367e-005
1047 2455548980.000000 370.422500 9.25069e-005
1048 2455549060.000000 370.580000 9.25367e-005
1049 2455549140.000000 370.736500 9.24771e-005
1050 2455549220.000000 370.891500 9.25069e-005
1051 2455549300.000000 371.042500 9.25069e-005
1052 2455549380.000000 371.198500 9.24473e-005
1053 2455549460.000000 371.352500 9.24771e-005
1054 2455549540.000000 371.506500 9.25069e-005
1055 2455549620.000000 371.663000 9.25665e-005
1056 2455549700.000000 371.817500 9.24175e-005
1057 2455549780.000000 371.973500 9.24771e-005
1058 2455549860.000000 372.128500 9.24175e-005
1059 2455549940.000000 372.285500 9.23877e-005
1060 2455550020.000000 372.440500 9.24771e-005
1061 2455550100.000000 372.597000 9.24771e-005
1062 2455550180.000000 372.749500 9.24473e-005
1063 2455550260.000000 372.907500 9.24175e-005
1064 2455550340.000000 373.059000 9.23877e-005
1065 2455550420.000000 373.217000 9.25069e-005
1066 2455550500.000000 373.373000 9.24175e-005
1067 2455550580.000000 373.524500 9.24175e-005
1068 2455550660.000000 373.683500 9.24473e-005
1069 2455550740.000000 373.836500 9.23877e-005
1070 2455550820.000000 373.993500 9.24175e-005
1071 2455550900.000000 374.148000 9.24175e-005
1072 2455550980.000000 374.302000 9.24473e-005
1073 2455551060.000000 374.456500 9.24175e-005
1074 2455551140.000000 374.614500 9.23579e-005
1075 2455551220.000000 374.767000 9.24175e-005
1076 2455551300.000000 374.925500 9.23877e-005
1077 2455551380.000000 375.077500 9.24175e-005
1078 2455551460.000000 375.236500 9.23877e-005
1079 2455551540.000000 375.391000 9.23579e-005
1080 2455551620.000000 375.545500 9.23579e-005
1081 2455551700.000000 375.701000 9.22983e-005
1082 2455551780.000000 375.856000 9.23281e-005
1083 2455551860.000000 376.010000 9.23579e-005
1084 2455551940.000000 376.166500 9.23579e-005
1085 2455552020.000000 376.316500 9.22983e-005
1086 2455552100.000000 376.476500 9.22983e-005
1087 2455552180.000000 376.628500 9.23579e-005
1088 2455552260.000000 376.785500 9.22983e-005
1089 2455552340.000000 376.939000 9.23579e-005
1090 2455552420.000000 377.093000 9.23579e-005
1091 2455552500.000000 377.249000 9.22983e-005
1092 2455552580.000000 377.406500 9.22983e-005
1093 2455552660.000000 377.560500 9.22685e-005
1094 2455552740.000000 377.716500 9.22387e-005
1095 2455552820.000000 377.868000 9.22387e-005
1096 2455552900.000000 378.028000 9.22089e-005
1097 2455552980.000000 378.181000 9.22387e-005
1098 2455553060.000000 378.336000 9.22387e-005
1099 2455553140.000000 378.490500 9.22685e-005
1100 2455553220.000000 378.647000 9.22387e-005
1101 2455553300.000000 378.802000 9.22387e-005
1102 2455553380.000000 378.956500 9.22089e-005
1103 2455553460.000000 379.108000 9.2179e-005
1104 2455553540.000000 379.265500 9.22089e-005
1105 2455553620.000000 379.418500 9.22387e-005
1106 2455553700.000000 379.576000 9.2179e-005
1107 2455553780.000000 379.733500 9.21194e-005
1108 2455553860.000000 379.888000 9.2179e-005
1109 2455553940.000000 380.045500 9.22387e-005
1110 2455554020.000000 380.198500 9.22387e-005
