# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2455021921.000000 208.007000 9.8825e-005
1 2455022000.000000 208.160500 9.87952e-005
2 2455022080.000000 208.307000 9.87654e-005
3 2455022160.000000 208.462500 9.87654e-005
4 2455022240.000000 208.614500 9.87654e-005
5 2455022320.000000 208.761500 9.87654e-005
6 2455022400.000000 208.913500 9.87356e-005
7 2455022480.000000 209.067500 9.87356e-005
8 2455022560.000000 209.221000 9.8676e-005
9 2455022640.000000 209.374000 9.87058e-005
10 2455022720.000000 209.531000 9.8676e-005
11 2455022800.000000 209.683500 9.8676e-005
12 2455022880.000000 209.838500 9.8676e-005
13 2455022960.000000 209.996000 9.86164e-005
14 2455023040.000000 210.147500 9.86164e-005
15 2455023120.000000 210.305000 9.86462e-005
16 2455023200.000000 210.460500 9.86164e-005
17 2455023280.000000 210.610000 9.8676e-005
18 2455023360.000000 210.768000 9.85865e-005
19 2455023440.000000 210.922500 9.85567e-005
20 2455023520.000000 211.076500 9.85567e-005
21 2455023600.000000 211.232000 9.85567e-005
22 2455023680.000000 211.385000 9.85269e-005
23 2455023760.000000 211.543500 9.85269e-005
24 2455023840.000000 211.697500 9.85567e-005
25 2455023920.000000 211.853000 9.85269e-005
26 2455024000.000000 212.010500 9.85865e-005
27 2455024080.000000 212.163500 9.84673e-005
28 2455024160.000000 212.321000 9.84375e-005
29 2455024240.000000 212.476000 9.84673e-005
30 2455024320.000000 212.628500 9.84673e-005
31 2455024400.000000 212.786000 9.84673e-005
32 2455024480.000000 212.940500 9.84077e-005
33 2455024560.000000 213.096000 9.84375e-005
34 2455024640.000000 213.252000 9.84077e-005
35 2455024720.000000 213.406500 9.84077e-005
36 2455024800.000000 213.562000 9.84375e-005
37 2455024880.000000 213.716500 9.83779e-005
38 2455024960.000000 213.875000 9.83779e-005
39 2455025040.000000 214.027000 9.83779e-005
40 2455025120.000000 214.181000 9.83779e-005
41 2455025200.000000 214.339000 9.83779e-005
42 2455025280.000000 214.490500 9.82885e-005
43 2455025360.000000 214.646500 9.83183e-005
44 2455025440.000000 214.803500 9.83183e-005
45 2455025520.000000 214.956500 9.82885e-005
46 2455025600.000000 215.112000 9.83481e-005
47 2455025680.000000 215.266000 9.82885e-005
48 2455025760.000000 215.420500 9.82587e-005
49 2455025840.000000 215.575500 9.82587e-005
50 2455025920.000000 215.729500 9.82289e-005
51 2455026000.000000 215.887000 9.82587e-005
52 2455026080.000000 216.041500 9.81693e-005
53 2455026160.000000 216.195500 9.82587e-005
54 2455026240.000000 216.355000 9.82289e-005
55 2455026320.000000 216.507000 9.81693e-005
56 2455026400.000000 216.663500 9.81991e-005
57 2455026480.000000 216.817000 9.81693e-005
58 2455026560.000000 216.972500 9.81991e-005
59 2455026640.000000 217.130000 9.81693e-005
60 2455026720.000000 217.283500 9.81693e-005
61 2455026800.000000 217.439000 9.81693e-005
62 2455026880.000000 217.596500 9.81097e-005
63 2455026960.000000 217.749000 9.81693e-005
64 2455027040.000000 217.906000 9.81395e-005
65 2455027120.000000 218.061000 9.81693e-005
66 2455027200.000000 218.215000 9.81097e-005
67 2455027280.000000 218.369500 9.80799e-005
68 2455027360.000000 218.524500 9.81097e-005
69 2455027440.000000 218.681500 9.80501e-005
70 2455027520.000000 218.833500 9.80501e-005
71 2455027600.000000 218.986500 9.80203e-005
72 2455027680.000000 219.141500 9.80501e-005
73 2455027760.000000 219.297000 9.80203e-005
74 2455027840.000000 219.452000 9.79905e-005
75 2455027920.000000 219.608500 9.80799e-005
76 2455028000.000000 219.760000 9.79607e-005
77 2455028080.000000 219.918500 9.80203e-005
78 2455028160.000000 220.070000 9.79607e-005
79 2455028240.000000 220.225500 9.79607e-005
80 2455028320.000000 220.382000 9.79309e-005
81 2455028400.000000 220.533500 9.79309e-005
82 2455028480.000000 220.692500 9.79309e-005
83 2455028560.000000 220.848000 9.79011e-005
84 2455028640.000000 220.999000 9.79011e-005
85 2455028720.000000 221.157000 9.79011e-005
86 2455028800.000000 221.312000 9.79011e-005
87 2455028880.000000 221.466000 9.79011e-005
88 2455028960.000000 221.622000 9.79011e-005
89 2455029040.000000 221.777000 9.78117e-005
90 2455029120.000000 221.932000 9.78713e-005
91 2455029200.000000 222.087500 9.78415e-005
92 2455029280.000000 222.245500 9.78713e-005
93 2455029360.000000 222.399000 9.78415e-005
94 2455029440.000000 222.554000 9.77819e-005
95 2455029520.000000 222.708000 9.78415e-005
96 2455029600.000000 222.863500 9.77819e-005
97 2455029680.000000 223.019500 9.78415e-005
98 2455029760.000000 223.176500 9.78117e-005
99 2455029840.000000 223.329000 9.78117e-005
100 2455029920.000000 223.487000 9.77819e-005
101 2455030000.000000 223.644500 9.77521e-005
102 2455030080.000000 223.796000 9.77223e-005
103 2455030160.000000 223.952500 9.77521e-005
104 2455030240.000000 224.104500 9.77521e-005
105 2455030320.000000 224.260500 9.77223e-005
106 2455030400.000000 224.415500 9.77223e-005
107 2455030480.000000 224.567500 9.77521e-005
108 2455030560.000000 224.724000 9.76925e-005
109 2455030640.000000 224.881000 9.76925e-005
110 2455030720.000000 225.034000 9.76627e-005
111 2455030800.000000 225.186000 9.76329e-005
112 2455030880.000000 225.341000 9.76627e-005
113 2455030960.000000 225.498500 9.76627e-005
114 2455031040.000000 225.652500 9.77223e-005
115 2455031120.000000 225.804500 9.76329e-005
116 2455031200.000000 225.961500 9.76329e-005
117 2455031280.000000 226.116500 9.76329e-005
118 2455031360.000000 226.273000 9.76031e-005
119 2455031440.000000 226.426000 9.76925e-005
120 2455031520.000000 226.582000 9.76329e-005
121 2455031600.000000 226.739000 9.76329e-005
122 2455031680.000000 226.894000 9.76031e-005
123 2455031760.000000 227.048000 9.76031e-005
124 2455031840.000000 227.206500 9.76329e-005
125 2455031920.000000 227.358500 9.76031e-005
126 2455032000.000000 227.517000 9.76329e-005
127 2455032080.000000 227.674000 9.76031e-005
128 2455032160.000000 227.828000 9.75733e-005
129 2455032240.000000 227.985000 9.76031e-005
130 2455032320.000000 228.138000 9.75733e-005
131 2455032400.000000 228.294000 9.76329e-005
132 2455032480.000000 228.449000 9.76031e-005
133 2455032560.000000 228.601000 9.76031e-005
134 2455032640.000000 228.759000 9.75435e-005
135 2455032720.000000 228.912500 9.75435e-005
136 2455032800.000000 229.068000 9.75733e-005
137 2455032880.000000 229.223000 9.75137e-005
138 2455032960.000000 229.377000 9.75435e-005
139 2455033040.000000 229.532000 9.75435e-005
140 2455033120.000000 229.687500 9.75137e-005
141 2455033200.000000 229.844000 9.75435e-005
142 2455033280.000000 229.998000 9.75435e-005
143 2455033360.000000 230.152500 9.75733e-005
144 2455033440.000000 230.309000 9.75137e-005
145 2455033520.000000 230.461000 9.74839e-005
146 2455033600.000000 230.617500 9.74541e-005
147 2455033680.000000 230.774000 9.74541e-005
148 2455033760.000000 230.925500 9.74243e-005
149 2455033840.000000 231.084500 9.74839e-005
150 2455033920.000000 231.240500 9.74243e-005
151 2455034000.000000 231.394000 9.74243e-005
152 2455034080.000000 231.551000 9.74541e-005
153 2455034160.000000 231.704000 9.74839e-005
154 2455034240.000000 231.859000 9.74243e-005
155 2455034320.000000 232.015500 9.73945e-005
156 2455034400.000000 232.170500 9.73945e-005
157 2455034480.000000 232.324500 9.73349e-005
158 2455034560.000000 232.480000 9.73945e-005
159 2455034640.000000 232.637500 9.73647e-005
160 2455034720.000000 232.795000 9.73945e-005
161 2455034800.000000 232.945500 9.73945e-005
162 2455034880.000000 233.099500 9.74243e-005
163 2455034960.000000 233.254500 9.74243e-005
164 2455035040.000000 233.412500 9.73647e-005
165 2455035120.000000 233.567500 9.74243e-005
166 2455035200.000000 233.719500 9.74243e-005
