# Frequency Ratio Error
9.000000000000000000e+01 1.019913319837358667e+00 5.245800659451607152e-03
9.005000000000001137e+01 1.020460246926570447e+00 5.026799274300580711e-03
9.010000000000000853e+01 1.021143343940563941e+00 4.790906059639009167e-03
9.015000000000000568e+01 1.021961106006239239e+00 4.548984765621724713e-03
9.020000000000000284e+01 1.022909610613807807e+00 4.314755568036813746e-03
9.025000000000000000e+01 1.023981264595089868e+00 4.103056207467299307e-03
9.030000000000001137e+01 1.025163279260324911e+00 3.927164370466724487e-03
9.035000000000000853e+01 1.026435965585251076e+00 3.795740379470812550e-03
9.040000000000000568e+01 1.027771011910429744e+00 3.710701104488314545e-03
9.045000000000000284e+01 1.029129991716306813e+00 3.667489140520527411e-03
9.050000000000000000e+01 1.030463432402975776e+00 3.658102308129591168e-03
9.055000000000001137e+01 1.031710830590408579e+00 3.675481841840645778e-03
9.060000000000000853e+01 1.032801990773960288e+00 3.716844124659387811e-03
9.065000000000000568e+01 1.033659960133733069e+00 3.783937089788523642e-03
9.070000000000000284e+01 1.034205618848617503e+00 3.879698537151396280e-03
9.075000000000000000e+01 1.034363682315663668e+00 4.002881581396169723e-03
9.080000000000001137e+01 1.034069539743899258e+00 4.143889438580143983e-03
9.085000000000000853e+01 1.033276082358830061e+00 4.284765921355935397e-03
9.090000000000000568e+01 1.031959552660180357e+00 4.403829694935820424e-03
9.095000000000000284e+01 1.030123524798943535e+00 4.482907327512598156e-03
9.100000000000000000e+01 1.027800394397759387e+00 4.514313327640194322e-03
9.105000000000001137e+01 1.025050144769439120e+00 4.505243460601436253e-03
9.110000000000000853e+01 1.021956566732070470e+00 4.477861405877747725e-03
9.115000000000000568e+01 1.018621450640966097e+00 4.463826449100578506e-03
9.120000000000000284e+01 1.015157486572222822e+00 4.493452037623150465e-03
9.125000000000000000e+01 1.011680687807176238e+00 4.583206458093648343e-03
9.130000000000001137e+01 1.008303110739533270e+00 4.728582366339722717e-03
9.135000000000000853e+01 1.005126512988020471e+00 4.907094720385536679e-03
9.140000000000000568e+01 1.002237405910274104e+00 5.088837934891230104e-03
9.145000000000000284e+01 9.997037505466027651e-01 5.247844225087536923e-03
9.150000000000000000e+01 9.975733459437110540e-01 5.369565235805757487e-03
9.155000000000001137e+01 9.958737893920319717e-01 5.453404182953334144e-03
9.160000000000000853e+01 9.946137658042374374e-01 5.510904872345841893e-03
9.165000000000000568e+01 9.937853554092291875e-01 5.560484159387176287e-03
9.170000000000000284e+01 9.933670322095585759e-01 5.619942064157049631e-03
9.175000000000000000e+01 9.933270487897450929e-01 5.698911661330241518e-03
9.180000000000001137e+01 9.936269495617275904e-01 5.794117194339647343e-03
9.185000000000000853e+01 9.942250071445863924e-01 5.889484376898830240e-03
9.190000000000000568e+01 9.950794212244044035e-01 5.960840701871125691e-03
9.195000000000000284e+01 9.961511477703269835e-01 5.982985765571146100e-03
9.200000000000000000e+01 9.974062379410205681e-01 5.936679947697999331e-03
9.205000000000001137e+01 9.988175664329361769e-01 5.814061971561298135e-03
9.210000000000000853e+01 1.000365829678714347e+00 5.621916501667111737e-03
9.215000000000000568e+01 1.002039708508681848e+00 5.382469995386630728e-03
9.220000000000000284e+01 1.003835128628127960e+00 5.131068055670142888e-03
9.225000000000000000e+01 1.005753619743658289e+00 4.909668718447851403e-03
9.230000000000001137e+01 1.007799864904508125e+00 4.755753785438926289e-03
9.235000000000000853e+01 1.009978630752513817e+00 4.689519083535446421e-03
9.240000000000000568e+01 1.012291356897868866e+00 4.706508845646123311e-03
9.245000000000000284e+01 1.014732740310981818e+00 4.781650623934870052e-03
9.250000000000000000e+01 1.017287668573084281e+00 4.882143528445495942e-03
9.255000000000001137e+01 1.019928835641904952e+00 4.980685482939659937e-03
9.260000000000000853e+01 1.022615326317409146e+00 5.063026180499881519e-03
9.265000000000000568e+01 1.025292394451514211e+00 5.128898835518628900e-03
9.270000000000000284e+01 1.027892593805216581e+00 5.187838620143324884e-03
9.275000000000000000e+01 1.030338347869060867e+00 5.251987800289631067e-03
9.280000000000001137e+01 1.032545954383931708e+00 5.328521645488396366e-03
9.285000000000000853e+01 1.034430896001797384e+00 5.414729952724074181e-03
9.290000000000000568e+01 1.035914161012440493e+00 5.497876861987587710e-03
9.295000000000000284e+01 1.036929075645531606e+00 5.559636553998261073e-03
9.300000000000000000e+01 1.037427946046592053e+00 5.582812879348685378e-03
9.305000000000001137e+01 1.037387661530136729e+00 5.557596658463691275e-03
9.310000000000000853e+01 1.036813388357123555e+00 5.485436791425703403e-03
9.315000000000000568e+01 1.035739635552300308e+00 5.379590394354285404e-03
9.320000000000000284e+01 1.034228306901985306e+00 5.262104103816431233e-03
9.325000000000000000e+01 1.032363811953235455e+00 5.157680094092806887e-03
9.330000000000001137e+01 1.030245788774078131e+00 5.086063696769880550e-03
9.335000000000000853e+01 1.027980371696139761e+00 5.055962444719428600e-03
9.340000000000000568e+01 1.025671126418679746e+00 5.063575326281084463e-03
9.345000000000000284e+01 1.023410742723857458e+00 5.096461410931528435e-03
9.350000000000000000e+01 1.021274358578620589e+00 5.140281994526624265e-03
9.355000000000001137e+01 1.019315069692144915e+00 5.184746725072015075e-03
9.360000000000000853e+01 1.017561844852275854e+00 5.226338765398512443e-03
9.365000000000000568e+01 1.016019785909336504e+00 5.267342340415312636e-03
9.370000000000000284e+01 1.014672471507671370e+00 5.312118227741186374e-03
9.375000000000000000e+01 1.013486001752477605e+00 5.362404363411049819e-03
9.380000000000001137e+01 1.012414294442456120e+00 5.413713858267101171e-03
9.385000000000000853e+01 1.011405147600790144e+00 5.454410226008330788e-03
9.390000000000000568e+01 1.010406562640200567e+00 5.467797712942252912e-03
9.395000000000000284e+01 1.009372816130819306e+00 5.436291253456892840e-03
9.400000000000000000e+01 1.008269785015962761e+00 5.346193315735530555e-03
9.405000000000001137e+01 1.007079082606010312e+00 5.191860887994641759e-03
9.410000000000000853e+01 1.005800657907548024e+00 4.978583895793337044e-03
9.415000000000000568e+01 1.004453645091969438e+00 4.723831176067689458e-03
9.420000000000000284e+01 1.003075408073857977e+00 4.456442399480708624e-03
9.425000000000000000e+01 1.001718885450165741e+00 4.212915009344767384e-03
9.430000000000001137e+01 1.000448482563650598e+00 4.029765992763827999e-03
9.435000000000000853e+01 9.993348671868220734e-01 3.932588356238210688e-03
9.440000000000000568e+01 9.984491011046633391e-01 3.926606551080989022e-03
9.445000000000000284e+01 9.978565879114578152e-01 3.995812007075988728e-03
9.450000000000000000e+01 9.976113453753514548e-01 4.112157594216691442e-03
9.455000000000001137e+01 9.977511200000710456e-01 4.248129369516140570e-03
9.460000000000000853e+01 9.982938415088273842e-01 4.385414853004561755e-03
9.465000000000000568e+01 9.992358451367452377e-01 4.517333682274062012e-03
9.470000000000000284e+01 1.000552147860095831e+00 4.646171478123039579e-03
9.475000000000000000e+01 1.002198842339435458e+00 4.777521297619071600e-03
9.480000000000001137e+01 1.004117387681324081e+00 4.914050157389268821e-03
9.485000000000000853e+01 1.006240278764811702e+00 5.051210471684115799e-03
9.490000000000000568e+01 1.008497336280491874e+00 5.176601484736389341e-03
9.495000000000000284e+01 1.010821745163534402e+00 5.272940121650608256e-03
9.500000000000000000e+01 1.013155017059390817e+00 5.323073150690703186e-03
9.505000000000001137e+01 1.015450253848100726e+00 5.315104375584345925e-03
9.510000000000000853e+01 1.017673392384883524e+00 5.246290633335553080e-03
9.515000000000000568e+01 1.019802442456642755e+00 5.125067418048629211e-03
9.520000000000000284e+01 1.021825023423929002e+00 4.970896247170271051e-03
9.525000000000000000e+01 1.023734718458850113e+00 4.811586919420880216e-03
9.530000000000001137e+01 1.025526886486524347e+00 4.677757048421445941e-03
9.535000000000000853e+01 1.027194608335325166e+00 4.594900879425428165e-03
9.540000000000000568e+01 1.028725406998695746e+00 4.575538904377656618e-03
9.545000000000000284e+01 1.030099277269280300e+00 4.615571776927341642e-03
9.550000000000000000e+01 1.031288384783269896e+00 4.697365013697671690e-03
9.555000000000001137e+01 1.032258549154761340e+00 4.797655673765640130e-03
9.560000000000000853e+01 1.032972329585593707e+00 4.895696878037249407e-03
9.565000000000000568e+01 1.033393232409098639e+00 4.978264614306005843e-03
9.570000000000000284e+01 1.033490330325388840e+00 5.040732717979813649e-03
9.575000000000000000e+01 1.033242493740643697e+00 5.085037006965406267e-03
9.580000000000001137e+01 1.032641522847051574e+00 5.115926708215407133e-03
9.585000000000000853e+01 1.031693715148324086e+00 5.137041829095271780e-03
9.590000000000000568e+01 1.030419733520989478e+00 5.148206953859567510e-03
9.595000000000000284e+01 1.028852957054564810e+00 5.144769811886796065e-03
9.600000000000000000e+01 1.027036719214271532e+00 5.118948629167415117e-03
9.605000000000001137e+01 1.025020928011425081e+00 5.062425890859752024e-03
9.610000000000000853e+01 1.022858532450132918e+00 4.969203723958143595e-03
9.615000000000000568e+01 1.020602193021691084e+00 4.837974634479489874e-03
9.620000000000000284e+01 1.018301384926730613e+00 4.673637239892626180e-03
9.625000000000000000e+01 1.016000054059490454e+00 4.487820861408802799e-03
9.630000000000001137e+01 1.013734880568925245e+00 4.298290490527001580e-03
9.635000000000000853e+01 1.011534185015746878e+00 4.126978735181029666e-03
9.640000000000000568e+01 1.009417522726299143e+00 3.996406269968664701e-03
9.645000000000000284e+01 1.007396026793706989e+00 3.924822963766862877e-03
9.650000000000000000e+01 1.005473549683137291e+00 3.921621808472850433e-03
9.655000000000001137e+01 1.003648594298798269e+00 3.985398304063092652e-03
9.660000000000000853e+01 1.001916912144411365e+00 4.105871172825337895e-03
9.665000000000000568e+01 1.000274499691442776e+00 4.268272980222869925e-03
9.670000000000000284e+01 9.987205902724418660e-01 4.457474119784611381e-03
9.675000000000000000e+01 9.972601732834642796e-01 4.660104928869578458e-03
9.680000000000001137e+01 9.959056142102273856e-01 4.864697565666094986e-03
9.685000000000000853e+01 9.946770978399633867e-01 5.060849914906020812e-03
9.690000000000000568e+01 9.936018300438683726e-01 5.238450353589258097e-03
9.695000000000000284e+01 9.927121447515994124e-01 5.387555030202578754e-03
9.700000000000000000e+01 9.920428146789116441e-01 5.499001543053575955e-03
9.705000000000001137e+01 9.916279317281656569e-01 5.565509968395374041e-03
9.710000000000000853e+01 9.914977163784619574e-01 5.582919662544244717e-03
9.715000000000000568e+01 9.916755669822234776e-01 5.551266545057301389e-03
9.720000000000000284e+01 9.921756028586589116e-01 5.475508144572108216e-03
9.725000000000000000e+01 9.930009084647892781e-01 5.365768978255179913e-03
9.730000000000001137e+01 9.941426499483857482e-01 5.236977094998577012e-03
9.735000000000000853e+01 9.955801958872507740e-01 5.107719258425462601e-03
9.740000000000000568e+01 9.972823119861229380e-01 4.998145456440643807e-03
9.745000000000000284e+01 9.992094015843620003e-01 4.926950712229386832e-03
9.750000000000000000e+01 1.001316630578338529e+00 4.907953484450635478e-03
9.755000000000001137e+01 1.003557624680228244e+00 4.947371791070727907e-03
9.760000000000000853e+01 1.005888291120127009e+00 5.042978187672084514e-03
9.765000000000000568e+01 1.008270233668134175e+00 5.185496016186066752e-03
9.770000000000000284e+01 1.010673230228396502e+00 5.361416916431696947e-03
9.775000000000000000e+01 1.013076340074418269e+00 5.555886443664433648e-03
9.780000000000001137e+01 1.015467395103921699e+00 5.754706215878310077e-03
9.785000000000000853e+01 1.017840879074546123e+00 5.945264657731128694e-03
9.790000000000000568e+01 1.020194471239518785e+00 6.116750423482213497e-03
9.795000000000000284e+01 1.022524781801932292e+00 6.260171214389584349e-03
9.800000000000000000e+01 1.024822991502858160e+00 6.368601759411924614e-03
9.805000000000001137e+01 1.027071184694881678e+00 6.437850829884901420e-03
9.810000000000000853e+01 1.029240101593697165e+00 6.467462605823281509e-03
9.815000000000000568e+01 1.031288819069584139e+00 6.461720606954809987e-03
9.820000000000000284e+01 1.033166524099022654e+00 6.430157502670534250e-03
9.825000000000000000e+01 1.034816137178726336e+00 6.387043039621877194e-03
9.830000000000001137e+01 1.036179174974760864e+00 6.349488889323834546e-03
9.835000000000000853e+01 1.037201014019813794e+00 6.334238318536436659e-03
9.840000000000000568e+01 1.037835693050618957e+00 6.353864297105847603e-03
9.845000000000000284e+01 1.038049566613938435e+00 6.413680967847124222e-03
9.850000000000000000e+01 1.037823428531264858e+00 6.510664961363302541e-03
