# frequency transmission sigma
1.47550000e+02 9.80616319e-01 4.03310777e-03
1.47600000e+02 9.86664137e-01 3.90478949e-03
1.47650000e+02 9.92409665e-01 3.83999164e-03
1.47700000e+02 9.97712841e-01 3.81971268e-03
1.47750000e+02 1.00245051e+00 3.82956216e-03
1.47800000e+02 1.00651688e+00 3.86261651e-03
1.47850000e+02 1.00982344e+00 3.91585096e-03
1.47900000e+02 1.01229876e+00 3.98351437e-03
1.47950000e+02 1.01388916e+00 4.05215758e-03
1.48000000e+02 1.01456062e+00 4.10063240e-03
1.48050000e+02 1.01430227e+00 4.10510191e-03
1.48100000e+02 1.01313098e+00 4.04640215e-03
1.48150000e+02 1.01109578e+00 3.91656193e-03
1.48200000e+02 1.00828035e+00 3.72225285e-03
1.48250000e+02 1.00480196e+00 3.48414213e-03
1.48300000e+02 1.00080580e+00 3.23212603e-03
1.48350000e+02 9.96455075e-01 2.99748960e-03
1.48400000e+02 9.91918455e-01 2.80452973e-03
1.48450000e+02 9.87357347e-01 2.66558954e-03
1.48500000e+02 9.82915218e-01 2.58257133e-03
1.48550000e+02 9.78710453e-01 2.55347302e-03
1.48600000e+02 9.74833075e-01 2.57815235e-03
1.48650000e+02 9.71344731e-01 2.65850767e-03
1.48700000e+02 9.68280842e-01 2.79358375e-03
1.48750000e+02 9.65653772e-01 2.97445052e-03
1.48800000e+02 9.63456141e-01 3.18328421e-03
1.48850000e+02 9.61663819e-01 3.39711984e-03
1.48900000e+02 9.60238591e-01 3.59391438e-03
1.48950000e+02 9.59130878e-01 3.75867797e-03
1.49000000e+02 9.58283155e-01 3.88838460e-03
1.49050000e+02 9.57634707e-01 3.99437574e-03
1.49100000e+02 9.57127946e-01 4.10033639e-03
1.49150000e+02 9.56715708e-01 4.23443049e-03
1.49200000e+02 9.56367939e-01 4.41763721e-03
1.49250000e+02 9.56075633e-01 4.65501441e-03
1.49300000e+02 9.55850285e-01 4.93612980e-03
1.49350000e+02 9.55718635e-01 5.24342373e-03
1.49400000e+02 9.55714217e-01 5.56129837e-03
1.49450000e+02 9.55868271e-01 5.88032653e-03
1.49500000e+02 9.56202312e-01 6.19608671e-03
1.49550000e+02 9.56723561e-01 6.50534729e-03
1.49600000e+02 9.57423209e-01 6.80258464e-03
1.49650000e+02 9.58276762e-01 7.07845959e-03
1.49700000e+02 9.59245592e-01 7.32035400e-03
1.49750000e+02 9.60279035e-01 7.51420777e-03
1.49800000e+02 9.61316764e-01 7.64678835e-03
1.49850000e+02 9.62291460e-01 7.70780989e-03
1.49900000e+02 9.63131987e-01 7.69162459e-03
1.49950000e+02 9.63767316e-01 7.59836488e-03
1.50000000e+02 9.64131302e-01 7.43443620e-03
1.50050000e+02 9.64168167e-01 7.21224320e-03
1.50100000e+02 9.63838143e-01 6.94908542e-03
1.50150000e+02 9.63122375e-01 6.66534838e-03
1.50200000e+02 9.62025972e-01 6.38240666e-03
1.50250000e+02 9.60578218e-01 6.12085118e-03
1.50300000e+02 9.58829555e-01 5.89946315e-03
1.50350000e+02 9.56845798e-01 5.73468842e-03
1.50400000e+02 9.54700966e-01 5.63966091e-03
1.50450000e+02 9.52470585e-01 5.62194458e-03
1.50500000e+02 9.50227168e-01 5.68048493e-03
1.50550000e+02 9.48038891e-01 5.80373651e-03
1.50600000e+02 9.45971378e-01 5.97081528e-03
1.50650000e+02 9.44091679e-01 6.15565001e-03
1.50700000e+02 9.42472904e-01 6.33235343e-03
1.50750000e+02 9.41197899e-01 6.47982816e-03
1.50800000e+02 9.40360608e-01 6.58450279e-03
1.50850000e+02 9.40064191e-01 6.64099541e-03
1.50900000e+02 9.40415555e-01 6.65101276e-03
1.50950000e+02 9.41516415e-01 6.62104576e-03
1.51000000e+02 9.43451530e-01 6.55960506e-03
1.51050000e+02 9.46275138e-01 6.47486300e-03
1.51100000e+02 9.49997084e-01 6.37348524e-03
1.51150000e+02 9.54570552e-01 6.26099985e-03
1.51200000e+02 9.59883709e-01 6.14331431e-03
