# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
58 642346320.000000 176.987000 9.56063e-005
59 642346400.000000 177.142500 9.56659e-005
60 642346480.000000 177.297000 9.56659e-005
61 642346560.000000 177.452000 9.56957e-005
62 642346640.000000 177.607000 9.56659e-005
63 642346720.000000 177.763500 9.56957e-005
64 642346800.000000 177.918500 9.56659e-005
65 642346880.000000 178.073500 9.56659e-005
66 642346960.000000 178.228000 9.57255e-005
67 642347040.000000 178.382000 9.56659e-005
68 642347120.000000 178.539000 9.56063e-005
69 642347200.000000 178.692000 9.56659e-005
70 642347280.000000 178.846000 9.55765e-005
71 642347360.000000 179.002000 9.56957e-005
72 642347440.000000 179.157000 9.56361e-005
73 642347520.000000 179.313000 9.56361e-005
74 642347600.000000 179.470000 9.55467e-005
75 642347680.000000 179.619000 9.55169e-005
76 642347760.000000 179.773000 9.55765e-005
77 642347840.000000 179.929000 9.55169e-005
78 642347920.000000 180.084500 9.53977e-005
79 642348000.000000 180.242500 9.54275e-005
80 642348080.000000 180.394500 9.54275e-005
81 642348160.000000 180.550000 9.53977e-005
82 642348240.000000 180.706000 9.52487e-005
83 642348320.000000 180.859500 9.53381e-005
84 642348400.000000 181.012500 9.53381e-005
85 642348480.000000 181.167500 9.53381e-005
86 642348560.000000 181.326500 9.54275e-005
87 642348640.000000 181.482000 9.53679e-005
88 642348720.000000 181.635000 9.53083e-005
89 642348800.000000 181.793500 9.52189e-005
90 642348880.000000 181.946500 9.51891e-005
91 642348960.000000 182.103000 9.51295e-005
92 642349040.000000 182.259500 9.50997e-005
93 642349120.000000 182.411500 9.53083e-005
94 642349200.000000 182.570000 9.53679e-005
95 642349280.000000 182.726500 9.53679e-005
96 642349360.000000 182.880000 9.53679e-005
97 642349440.000000 183.038000 9.53679e-005
98 642349520.000000 183.192500 9.53679e-005
99 642349600.000000 183.348500 9.53381e-005
100 642349680.000000 183.503000 9.52785e-005
101 642349760.000000 183.657000 9.53381e-005
102 642349840.000000 183.811000 9.52189e-005
103 642349920.000000 183.965000 9.53083e-005
104 642350000.000000 184.122000 9.52487e-005
105 642350080.000000 184.277000 9.52189e-005
106 642350160.000000 184.432500 9.52487e-005
107 642350240.000000 184.586500 9.52189e-005
108 642350320.000000 184.740500 9.52189e-005
109 642350400.000000 184.898000 9.51593e-005
110 642350480.000000 185.051000 9.51891e-005
111 642350560.000000 185.205500 9.50699e-005
112 642350640.000000 185.363000 9.51891e-005
113 642350720.000000 185.516000 9.50699e-005
114 642350800.000000 185.670000 9.51593e-005
115 642350880.000000 185.827000 9.50699e-005
116 642350960.000000 185.979000 9.50401e-005
117 642351040.000000 186.136000 9.50401e-005
118 642351120.000000 186.290000 9.50997e-005
119 642351200.000000 186.445000 9.50699e-005
120 642351280.000000 186.604000 9.50699e-005
121 642351360.000000 186.757500 9.50103e-005
122 642351440.000000 186.913000 9.50997e-005
123 642351520.000000 187.067000 9.50699e-005
124 642351600.000000 187.221500 9.49507e-005
125 642351680.000000 187.381000 9.50401e-005
126 642351760.000000 187.534000 9.49507e-005
127 642351840.000000 187.688500 9.49507e-005
128 642351920.000000 187.846000 9.50103e-005
129 642352000.000000 188.001000 9.50103e-005
130 642352080.000000 188.155000 9.49507e-005
