# SAMPLE - ONE-ARM
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
60 4045489480.000000 177.290000 0.000155062
61 4045489560.000000 177.446000 0.000155003
62 4045489640.000000 177.600000 0.000155062
63 4045489720.000000 177.756000 0.000154973
64 4045489800.000000 177.912000 0.000155003
65 4045489880.000000 178.065500 0.000155033
66 4045489960.000000 178.222500 0.000154973
67 4045490040.000000 178.375000 0.000154973
68 4045490120.000000 178.532500 0.000154973
69 4045490201.000000 178.684500 0.000154943
70 4045490280.000000 178.839500 0.000154973
71 4045490360.000000 178.994500 0.000155033
72 4045490440.000000 179.149500 0.000154973
73 4045490520.000000 179.304000 0.000155003
74 4045490600.000000 179.458000 0.000155003
75 4045490680.000000 179.613000 0.000155033
76 4045490760.000000 179.770500 0.000154943
77 4045490840.000000 179.924000 0.000154973
78 4045490920.000000 180.078500 0.000154913
79 4045491000.000000 180.232000 0.000154973
80 4045491080.000000 180.386000 0.000154913
81 4045491160.000000 180.542500 0.000154973
82 4045491240.000000 180.698000 0.000154973
83 4045491320.000000 180.849500 0.000154943
84 4045491400.000000 181.005500 0.000154943
85 4045491480.000000 181.161000 0.000154943
86 4045491560.000000 181.316500 0.000154884
87 4045491640.000000 181.472000 0.000154973
88 4045491720.000000 181.627500 0.000155003
89 4045491800.000000 181.786500 0.000154913
90 4045491880.000000 181.941000 0.000154913
91 4045491960.000000 182.097500 0.000155003
92 4045492040.000000 182.253500 0.000154973
93 4045492120.000000 182.405500 0.000154973
94 4045492200.000000 182.563500 0.000154973
95 4045492280.000000 182.716000 0.000154884
96 4045492360.000000 182.873000 0.000154884
97 4045492440.000000 183.032000 0.000154854
98 4045492520.000000 183.182500 0.000154884
99 4045492600.000000 183.341500 0.000154913
100 4045492680.000000 183.495500 0.000154824
101 4045492760.000000 183.647500 0.000154854
102 4045492840.000000 183.804500 0.000154794
103 4045492920.000000 183.956500 0.000154854
104 4045493000.000000 184.113500 0.000154854
105 4045493080.000000 184.270000 0.000154884
106 4045493160.000000 184.423000 0.000154794
107 4045493240.000000 184.580000 0.000154764
108 4045493320.000000 184.735500 0.000154854
109 4045493400.000000 184.888000 0.000154854
110 4045493480.000000 185.045000 0.000154824
111 4045493560.000000 185.199500 0.000154794
112 4045493640.000000 185.354000 0.000154794
113 4045493720.000000 185.509500 0.000154824
114 4045493800.000000 185.661000 0.000154764
115 4045493880.000000 185.818000 0.000154824
116 4045493960.000000 185.973000 0.000154794
