# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4048927660.000000 177.457000 0.000202776
62 4048927740.000000 177.610000 0.000202836
63 4048927820.000000 177.765500 0.000202865
64 4048927900.000000 177.923000 0.000202806
65 4048927980.000000 178.074000 0.000202836
66 4048928060.000000 178.231500 0.000202746
67 4048928140.000000 178.386000 0.000202776
68 4048928220.000000 178.539500 0.000202657
69 4048928300.000000 178.694500 0.000202746
70 4048928380.000000 178.849500 0.000202776
71 4048928460.000000 179.005000 0.000202776
72 4048928540.000000 179.161000 0.000202836
73 4048928620.000000 179.314000 0.000202746
74 4048928700.000000 179.471000 0.000202776
75 4048928780.000000 179.624000 0.000202716
76 4048928860.000000 179.778500 0.000202627
77 4048928940.000000 179.934500 0.000202657
78 4048929020.000000 180.089500 0.000202716
79 4048929100.000000 180.244000 0.000202746
80 4048929180.000000 180.398000 0.000202746
81 4048929260.000000 180.554500 0.000202746
82 4048929340.000000 180.708000 0.000202716
83 4048929420.000000 180.862500 0.000202716
84 4048929500.000000 181.018500 0.000202687
85 4048929580.000000 181.172500 0.000202627
86 4048929660.000000 181.328500 0.000202627
87 4048929740.000000 181.486500 0.000202567
88 4048929820.000000 181.639000 0.000202567
89 4048929900.000000 181.797500 0.000202687
90 4048929980.000000 181.953000 0.000202746
91 4048930060.000000 182.106500 0.000202776
92 4048930140.000000 182.264000 0.000202627
93 4048930220.000000 182.419500 0.000202627
94 4048930300.000000 182.574500 0.000202687
95 4048930380.000000 182.731000 0.000202597
96 4048930460.000000 182.885000 0.000202567
97 4048930540.000000 183.042500 0.000202538
98 4048930620.000000 183.196500 0.000202538
99 4048930700.000000 183.353000 0.000202627
100 4048930780.000000 183.508000 0.000202627
101 4048930860.000000 183.662000 0.000202746
102 4048930940.000000 183.815500 0.000202657
103 4048931020.000000 183.971000 0.000202567
104 4048931100.000000 184.125000 0.000202418
105 4048931180.000000 184.280500 0.000202448
106 4048931260.000000 184.434500 0.000202478
107 4048931340.000000 184.590000 0.000202478
108 4048931420.000000 184.746000 0.000202508
109 4048931500.000000 184.900000 0.000202567
110 4048931580.000000 185.055000 0.000202567
111 4048931660.000000 185.208500 0.000202657
112 4048931740.000000 185.363500 0.000202597
113 4048931820.000000 185.519500 0.000202508
114 4048931900.000000 185.671000 0.000202418
115 4048931980.000000 185.828000 0.000202359
116 4048932060.000000 185.984000 0.000202359
117 4048932140.000000 186.136000 0.000202448
