# #NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4051634780.000000 177.477500 0.000215978
62 4051634860.000000 177.631000 0.000216098
63 4051634940.000000 177.786000 0.000216127
64 4051635020.000000 177.943000 0.000216068
65 4051635100.000000 178.093500 0.000216038
66 4051635180.000000 178.252000 0.000216038
67 4051635260.000000 178.406000 0.000215949
68 4051635340.000000 178.559500 0.000215919
69 4051635420.000000 178.715500 0.000216038
70 4051635500.000000 178.871000 0.000216038
71 4051635580.000000 179.025000 0.000216068
72 4051635660.000000 179.182500 0.000216068
73 4051635741.000000 179.335000 0.000216068
74 4051635820.000000 179.490500 0.000216008
75 4051635900.000000 179.645500 0.000215978
76 4051635980.000000 179.800000 0.000215978
77 4051636060.000000 179.956500 0.000215919
78 4051636140.000000 180.111500 0.000215949
79 4051636220.000000 180.265500 0.000215949
80 4051636300.000000 180.419000 0.000216008
81 4051636380.000000 180.575500 0.000216068
82 4051636460.000000 180.728500 0.000216038
83 4051636540.000000 180.882500 0.000215978
84 4051636620.000000 181.039500 0.000216008
85 4051636700.000000 181.193000 0.000215949
86 4051636780.000000 181.349000 0.000215919
87 4051636860.000000 181.508000 0.000215829
88 4051636940.000000 181.661000 0.000215859
89 4051637020.000000 181.818000 0.000215919
90 4051637100.000000 181.972000 0.000215978
91 4051637180.000000 182.137500 0.000215978
92 4051637260.000000 182.290000 0.000215859
93 4051637340.000000 182.432000 0.000215829
94 4051637420.000000 182.590000 0.0002158
95 4051637500.000000 182.747000 0.0002158
96 4051637580.000000 182.902500 0.00021574
97 4051637660.000000 183.060500 0.00021577
98 4051637740.000000 183.213000 0.0002158
99 4051637820.000000 183.370000 0.000215859
100 4051637900.000000 183.526000 0.000215949
101 4051637980.000000 183.677500 0.000215949
102 4051638060.000000 183.831500 0.000215889
103 4051638140.000000 183.987500 0.00021577
104 4051638220.000000 184.144000 0.00021568
105 4051638300.000000 184.299000 0.000215651
106 4051638380.000000 184.452500 0.000215651
107 4051638460.000000 184.610000 0.00021568
108 4051638540.000000 184.762000 0.00021577
109 4051638620.000000 184.917000 0.000215949
110 4051638700.000000 185.074500 0.000215949
111 4051638780.000000 185.226500 0.000215978
112 4051638860.000000 185.384000 0.000215859
113 4051638940.000000 185.539000 0.00021571
114 4051639020.000000 185.693000 0.00021577
115 4051639100.000000 185.847500 0.00021571
116 4051639180.000000 186.004500 0.00021577
117 4051639260.000000 186.155000 0.00021577
118 4051639340.000000 186.312500 0.000215829
119 4051639420.000000 186.469000 0.000215949
120 4051639500.000000 186.624500 0.000215949
121 4051639580.000000 186.781500 0.000215949
122 4051639660.000000 186.937000 0.000215829
123 4051639740.000000 187.091500 0.00021571
124 4051639820.000000 187.246500 0.000215472
125 4051639900.000000 187.405000 0.000215591
126 4051639980.000000 187.558000 0.000215591
127 4051640060.000000 187.712500 0.00021577
128 4051640140.000000 187.870000 0.00021577
129 4051640220.000000 188.022500 0.0002158
130 4051640300.000000 188.180500 0.000215859
131 4051640380.000000 188.334500 0.0002158
132 4051640460.000000 188.487000 0.00021571
133 4051640540.000000 188.644500 0.00021568
134 4051640620.000000 188.796000 0.000215561
135 4051640700.000000 188.953000 0.000215472
