# # NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4046544501.000000 177.473500 0.000215054
62 4046544580.000000 177.628000 0.000215114
63 4046544660.000000 177.785000 0.000215114
64 4046544740.000000 177.940000 0.000215204
65 4046544820.000000 178.093500 0.000215114
66 4046544900.000000 178.252000 0.000215054
67 4046544980.000000 178.404000 0.000215084
68 4046545060.000000 178.559000 0.000215025
69 4046545140.000000 178.712000 0.000215114
70 4046545220.000000 178.867000 0.000215114
71 4046545300.000000 179.025500 0.000215144
72 4046545380.000000 179.181000 0.000215144
73 4046545460.000000 179.332000 0.000215144
74 4046545540.000000 179.487000 0.000215054
75 4046545620.000000 179.640500 0.000215054
76 4046545700.000000 179.798000 0.000215025
77 4046545780.000000 179.955000 0.000215084
78 4046545860.000000 180.106500 0.000215084
79 4046545940.000000 180.264000 0.000215025
80 4046546020.000000 180.419500 0.000215084
81 4046546100.000000 180.571500 0.000215084
82 4046546180.000000 180.726500 0.000215025
83 4046546260.000000 180.877000 0.000215025
84 4046546340.000000 181.034000 0.000215084
85 4046546420.000000 181.189500 0.000215025
86 4046546500.000000 181.345000 0.000214935
87 4046546580.000000 181.500500 0.000214995
88 4046546660.000000 181.657500 0.000214995
89 4046546740.000000 181.814500 0.000215114
90 4046546820.000000 181.969500 0.000215174
91 4046546900.000000 182.125000 0.000215144
92 4046546980.000000 182.279000 0.000215084
93 4046547060.000000 182.433500 0.000215025
94 4046547140.000000 182.593000 0.000214995
95 4046547220.000000 182.745000 0.000214935
96 4046547300.000000 182.901000 0.000214876
97 4046547380.000000 183.060000 0.000214995
98 4046547460.000000 183.214500 0.000214965
99 4046547540.000000 183.368000 0.000214995
100 4046547620.000000 183.524000 0.000215114
101 4046547700.000000 183.674500 0.000215084
102 4046547780.000000 183.832000 0.000214935
103 4046547860.000000 183.987500 0.000214905
104 4046547940.000000 184.142000 0.000214876
105 4046548020.000000 184.296500 0.000214786
106 4046548100.000000 184.453000 0.000214846
107 4046548180.000000 184.606000 0.000214786
108 4046548260.000000 184.762000 0.000214965
109 4046548340.000000 184.916500 0.000215054
110 4046548420.000000 185.074000 0.000214995
111 4046548500.000000 185.225500 0.000214995
112 4046548580.000000 185.382000 0.000214965
113 4046548660.000000 185.534500 0.000214905
114 4046548740.000000 185.688500 0.000214786
115 4046548820.000000 185.846000 0.000214727
116 4046548900.000000 185.999000 0.000214727
117 4046548980.000000 186.152000 0.000214816
