# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 388308600.000000 177.917000 0.00018108
65 388308680.000000 178.067500 0.000180961
66 388308760.000000 178.225500 0.00018105
67 388308840.000000 178.381500 0.000180961
68 388308920.000000 178.536000 0.000180901
69 388309000.000000 178.688500 0.000180931
70 388309080.000000 178.844000 0.000180901
71 388309160.000000 178.999500 0.00018102
72 388309240.000000 179.155000 0.00018105
73 388309320.000000 179.310500 0.00018111
74 388309400.000000 179.464000 0.00018108
75 388309480.000000 179.617500 0.00018105
76 388309560.000000 179.775500 0.00018102
77 388309640.000000 179.929000 0.00018105
78 388309720.000000 180.085000 0.000180961
79 388309800.000000 180.239500 0.000180961
80 388309880.000000 180.392500 0.000180961
81 388309960.000000 180.550000 0.00018108
82 388310040.000000 180.703000 0.00018111
83 388310120.000000 180.857500 0.00018111
84 388310200.000000 181.013000 0.000181169
85 388310280.000000 181.165500 0.000181199
86 388310360.000000 181.322000 0.00018099
87 388310440.000000 181.480000 0.00018102
88 388310520.000000 181.633000 0.00018105
89 388310600.000000 181.791500 0.00018105
90 388310680.000000 181.948000 0.00018108
91 388310760.000000 182.102000 0.000181139
92 388310840.000000 182.260500 0.000181169
93 388310920.000000 182.414500 0.000181199
94 388311000.000000 182.568500 0.000181139
95 388311080.000000 182.724500 0.00018111
96 388311160.000000 182.878000 0.00018099
97 388311240.000000 183.036500 0.00018105
98 388311320.000000 183.191000 0.00018102
99 388311400.000000 183.346000 0.00018108
100 388311480.000000 183.500500 0.000181199
101 388311560.000000 183.655500 0.000181139
102 388311640.000000 183.809000 0.000181229
103 388311720.000000 183.962500 0.000181169
104 388311800.000000 184.117500 0.00018105
105 388311880.000000 184.275500 0.00018108
106 388311960.000000 184.433000 0.00018102
107 388312040.000000 184.585000 0.00018105
108 388312120.000000 184.737000 0.000181199
109 388312200.000000 184.893000 0.000181199
110 388312280.000000 185.049000 0.000181229
111 388312360.000000 185.202500 0.000181318
112 388312440.000000 185.357000 0.000181229
113 388312520.000000 185.513000 0.000181199
114 388312600.000000 185.667000 0.00018108
115 388312680.000000 185.824000 0.000181139
116 388312760.000000 185.976000 0.00018111
117 388312840.000000 186.131500 0.00018108
118 388312920.000000 186.290000 0.000181169
119 388313000.000000 186.443500 0.000181229
120 388313080.000000 186.600000 0.000181288
121 388313160.000000 186.757000 0.000181229
122 388313240.000000 186.909500 0.000181288
123 388313320.000000 187.066500 0.000181169
