# # NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 389403860.000000 177.946500 0.000181199
65 389403940.000000 178.097000 0.000181139
66 389404020.000000 178.256000 0.000181169
67 389404100.000000 178.412000 0.00018105
68 389404180.000000 178.566000 0.00018102
69 389404260.000000 178.718000 0.00018099
70 389404340.000000 178.871000 0.00018105
71 389404420.000000 179.029500 0.00018108
72 389404500.000000 179.182000 0.000181169
73 389404580.000000 179.337000 0.000181259
74 389404660.000000 179.494500 0.000181229
75 389404740.000000 179.645500 0.000181229
76 389404820.000000 179.802500 0.000181139
77 389404900.000000 179.959000 0.00018111
78 389404980.000000 180.110500 0.00018111
79 389405060.000000 180.268000 0.00018111
80 389405140.000000 180.422500 0.000181229
81 389405220.000000 180.575000 0.000181199
82 389405300.000000 180.732500 0.000181288
83 389405380.000000 180.883500 0.000181259
84 389405460.000000 181.039500 0.000181259
85 389405540.000000 181.195500 0.000181259
86 389405620.000000 181.351000 0.000181169
87 389405700.000000 181.506500 0.00018111
88 389405780.000000 181.663500 0.000181169
89 389405860.000000 181.818500 0.000181169
90 389405940.000000 181.976000 0.000181229
91 389406020.000000 182.131500 0.000181229
92 389406100.000000 182.286000 0.000181318
93 389406180.000000 182.440000 0.000181288
94 389406260.000000 182.599000 0.000181259
95 389406340.000000 182.752500 0.000181199
96 389406420.000000 182.908000 0.000181199
97 389406500.000000 183.066000 0.000181288
98 389406580.000000 183.218500 0.000181199
99 389406660.000000 183.375500 0.000181288
100 389406740.000000 183.531000 0.000181318
101 389406820.000000 183.681000 0.000181288
102 389406900.000000 183.839500 0.000181288
103 389406980.000000 183.994500 0.000181229
104 389407060.000000 184.148500 0.000181288
105 389407140.000000 184.306000 0.000181199
106 389407220.000000 184.458000 0.000181199
107 389407300.000000 184.614500 0.000181199
108 389407380.000000 184.766500 0.000181229
109 389407460.000000 184.921500 0.000181318
110 389407540.000000 185.079500 0.000181437
111 389407620.000000 185.235000 0.000181437
112 389407700.000000 185.386500 0.000181437
113 389407780.000000 185.541000 0.000181378
114 389407860.000000 185.695500 0.000181348
115 389407940.000000 185.852500 0.000181288
116 389408020.000000 186.008500 0.000181229
117 389408100.000000 186.159500 0.000181229
118 389408180.000000 186.317500 0.000181229
119 389408260.000000 186.475000 0.000181378
120 389408340.000000 186.628500 0.000181378
121 389408420.000000 186.784500 0.000181378
122 389408500.000000 186.936500 0.000181348
123 389408580.000000 187.095500 0.000181199
