# #NO  SAMPLE - One Arm Scans
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 381897660.000000 177.925500 0.000116796
65 381897740.000000 178.078500 0.000116706
66 381897820.000000 178.235000 0.000116736
67 381897900.000000 178.389500 0.000116736
68 381897980.000000 178.544000 0.000116736
69 381898060.000000 178.698000 0.000116826
70 381898140.000000 178.853500 0.000116796
71 381898220.000000 179.008500 0.000116855
72 381898300.000000 179.164500 0.000116826
73 381898380.000000 179.319500 0.000116826
74 381898460.000000 179.474500 0.000116855
75 381898540.000000 179.626500 0.000116826
76 381898620.000000 179.783500 0.000116766
77 381898700.000000 179.936500 0.000116736
78 381898780.000000 180.090500 0.000116766
79 381898860.000000 180.248000 0.000116796
80 381898940.000000 180.399000 0.000116855
81 381899020.000000 180.556000 0.000116826
82 381899100.000000 180.712000 0.000116855
83 381899180.000000 180.862000 0.000116766
84 381899260.000000 181.020000 0.000116855
85 381899340.000000 181.176000 0.000116826
86 381899420.000000 181.329500 0.000116826
87 381899500.000000 181.487000 0.000116826
88 381899580.000000 181.643000 0.000116796
89 381899660.000000 181.801500 0.000116766
90 381899740.000000 181.954000 0.000116766
91 381899820.000000 182.109500 0.000116885
92 381899900.000000 182.264500 0.000116855
93 381899980.000000 182.419500 0.000116855
94 381900060.000000 182.577000 0.000116796
95 381900140.000000 182.730500 0.000116766
96 381900220.000000 182.886500 0.000116766
97 381900300.000000 183.045000 0.000116826
98 381900380.000000 183.197000 0.000116766
99 381900460.000000 183.354000 0.000116826
100 381900540.000000 183.508500 0.000116826
101 381900620.000000 183.660000 0.000116855
102 381900700.000000 183.817500 0.000116915
103 381900780.000000 183.970000 0.000116855
104 381900860.000000 184.126500 0.000116885
105 381900940.000000 184.283500 0.000116855
106 381901020.000000 184.436000 0.000116885
107 381901100.000000 184.593000 0.000116915
108 381901180.000000 184.748000 0.000116885
109 381901260.000000 184.901500 0.000116915
110 381901340.000000 185.058500 0.000116885
111 381901420.000000 185.213500 0.000116915
112 381901500.000000 185.367000 0.000116885
113 381901580.000000 185.523000 0.000116975
114 381901660.000000 185.676500 0.000116975
115 381901740.000000 185.831000 0.000116915
116 381901820.000000 185.987500 0.000116975
117 381901900.000000 186.140500 0.000116915
118 381901980.000000 186.296000 0.000116915
119 381902060.000000 186.452500 0.000116915
120 381902140.000000 186.610500 0.000116975
121 381902220.000000 186.765000 0.000116945
122 381902300.000000 186.920500 0.000116915
123 381902380.000000 187.075500 0.000116975
124 381902460.000000 187.229500 0.000116915
125 381902540.000000 187.386500 0.000116915
126 381902620.000000 187.540000 0.000116885
127 381902700.000000 187.696000 0.000116945
128 381902780.000000 187.851000 0.000116975
129 381902860.000000 188.006000 0.000117004
130 381902940.000000 188.160000 0.000117094
131 381903020.000000 188.317000 0.000117004
132 381903100.000000 188.470500 0.000116975
133 381903180.000000 188.625500 0.000116945
134 381903260.000000 188.779500 0.000116915
135 381903340.000000 188.936000 0.000116975
136 381903420.000000 189.093000 0.000116975
137 381903500.000000 189.243500 0.000116915
138 381903580.000000 189.399000 0.000116975
139 381903660.000000 189.555000 0.000116915
140 381903740.000000 189.712000 0.000116915
141 381903820.000000 189.866000 0.000116975
142 381903900.000000 190.018000 0.000117004
