# # SAMPLE - One Arm Scans
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 384798100.000000 177.944000 0.00012073
65 384798180.000000 178.094500 0.00012073
66 384798260.000000 178.254500 0.0001207
67 384798340.000000 178.408500 0.00012073
68 384798420.000000 178.561000 0.00012067
69 384798500.000000 178.717000 0.00012067
70 384798580.000000 178.873000 0.00012067
71 384798660.000000 179.027000 0.0001207
72 384798740.000000 179.183500 0.00012073
73 384798820.000000 179.339000 0.000120759
74 384798900.000000 179.493000 0.0001207
75 384798980.000000 179.645500 0.000120759
76 384799060.000000 179.802000 0.0001207
77 384799140.000000 179.958000 0.00012073
78 384799220.000000 180.113000 0.000120789
79 384799300.000000 180.266000 0.000120759
80 384799380.000000 180.420500 0.00012073
81 384799460.000000 180.576000 0.00012073
82 384799540.000000 180.733000 0.000120789
83 384799620.000000 180.885000 0.000120789
84 384799700.000000 181.041500 0.000120819
85 384799780.000000 181.197000 0.000120819
86 384799860.000000 181.350500 0.000120789
87 384799940.000000 181.507500 0.00012073
88 384800020.000000 181.663000 0.00012073
89 384800100.000000 181.819000 0.000120789
90 384800180.000000 181.976000 0.000120819
91 384800260.000000 182.127000 0.000120819
92 384800340.000000 182.285500 0.000120789
93 384800420.000000 182.440500 0.000120819
94 384800500.000000 182.598000 0.00012073
95 384800580.000000 182.752500 0.000120819
96 384800660.000000 182.909000 0.000120759
97 384800740.000000 183.067000 0.000120759
98 384800820.000000 183.217500 0.00012073
99 384800900.000000 183.372500 0.000120789
100 384800980.000000 183.528000 0.000120789
101 384801060.000000 183.682000 0.000120789
102 384801140.000000 183.836500 0.000120789
103 384801220.000000 183.991000 0.00012073
104 384801300.000000 184.143500 0.000120849
105 384801380.000000 184.301500 0.000120789
106 384801460.000000 184.455500 0.000120819
107 384801540.000000 184.613500 0.000120819
108 384801620.000000 184.766500 0.000120789
109 384801700.000000 184.921000 0.000120789
110 384801780.000000 185.077000 0.000120759
111 384801860.000000 185.229000 0.000120849
112 384801940.000000 185.384000 0.000120819
113 384802020.000000 185.542000 0.000120849
114 384802100.000000 185.694500 0.000120819
115 384802180.000000 185.850000 0.000120789
116 384802260.000000 186.005500 0.000120819
117 384802340.000000 186.157000 0.000120849
118 384802420.000000 186.315000 0.000120849
119 384802500.000000 186.471500 0.000120819
120 384802580.000000 186.627000 0.000120849
121 384802660.000000 186.784000 0.000120849
122 384802740.000000 186.938500 0.000120819
123 384802820.000000 187.094000 0.000120849
