        k           c(k)                    s(k)
         221  -2.1536412412839670E-006   1.8741590692516156E-009
         222   2.1345305396961632E-006  -1.8826394469811442E-009
         223  -2.1156767909269469E-006   1.8911198570266738E-009
         224   2.0970754061845148E-006  -1.8996002821307552E-009
         225  -2.0787219002094538E-006   1.9080805045618751E-009
         226   2.0606118859361290E-006  -1.9165609088035349E-009
         227  -2.0427410725561634E-006   1.9250412408322479E-009
         228   2.0251052651344269E-006  -1.9335218938085208E-009
         229  -2.0077003579170154E-006   1.9420020065505681E-009
         230   1.9905223371032032E-006  -1.9504823086586892E-009
         231  -1.9735672742254401E-006   1.9589627832294947E-009
         232   1.9568313257321910E-006  -1.9674430442006137E-009
         233  -1.9403107314147725E-006   1.9759234369006026E-009
         234   1.9240018098769051E-006  -1.9844037665643996E-009
         235  -1.9079009593846467E-006   1.9928840398784827E-009
         236   1.8920046537123129E-006  -2.0013645723050266E-009
         237  -1.8763094407955449E-006   2.0098449583354780E-009
         238   1.8608119425571194E-006  -2.0183252737843681E-009
         239  -1.8455088493005118E-006   2.0268055691416366E-009
         240   1.8303969228507624E-006  -2.0352859302456025E-009
         241  -1.8154729906541122E-006   2.0437662609173687E-009
         242   1.8007339474232395E-006  -2.0522489965901108E-009
         243  -1.7861767472176777E-006   2.0607269475905743E-009
         244   1.7717984128817955E-006  -2.0692073129686684E-009
         245  -1.7575960242958939E-006   2.0776878361811879E-009
         246   1.7435667207337094E-006  -2.0861683477080409E-009
         247  -1.7297076996246476E-006   2.0946484574092399E-009
         248   1.7160162159258276E-006  -2.1031288695198358E-009
         249  -1.7024895780522030E-006   2.1116090812512355E-009
         250   1.6891251498870935E-006  -2.1200895214646906E-009
         251  -1.6759203472692207E-006   2.1285698566884118E-009
         252   1.6628726367622467E-006  -2.1370502555819056E-009
         253  -1.6499795365987352E-006   2.1455305601684451E-009
         254   1.6372386115518476E-006  -2.1540109041928387E-009
         255  -1.6246474760405258E-006   2.1624913557362064E-009
         256   1.6122037900599657E-006  -2.1709715574489005E-009
         257  -1.5999052587405507E-006   2.1794520105575851E-009
         258   1.5877496332702637E-006  -2.1879324016566817E-009
         259  -1.5757347062556298E-006   2.1964126070556631E-009
         260   1.5638583147970832E-006  -2.2048930853856008E-009
         261  -1.5521183360792318E-006   2.2133735606628317E-009
         262   1.5405126881922089E-006  -2.2218537107302329E-009
         263  -1.5290393293949977E-006   2.2303341056138727E-009
         264   1.5176962555251235E-006  -2.2388145306620499E-009
         265  -1.5064815007727203E-006   2.2472949894424671E-009
         266   1.4953931368271275E-006  -2.2557760823320775E-009
         267  -1.4844292691165516E-006   2.2642556419090942E-009
         268   1.4735880414121314E-006  -2.2727360027589502E-009
         269  -1.4628676306493267E-006   2.2812162628559312E-009
         270   1.4522662476569229E-006  -2.2896973386388642E-009
         271  -1.4417821357410357E-006   2.2981770847155952E-009
         272   1.4314135712752558E-006  -2.3066573954685346E-009
         273  -1.4211588624267522E-006   2.3151377878178519E-009
         274   1.4110163479132479E-006  -2.3236181616849102E-009
         275  -1.4009843959333999E-006   2.3320985046488185E-009
         276   1.3910614044344486E-006  -2.3405788286358007E-009
         277  -1.3812458007266481E-006   2.3490590877671641E-009
         278   1.3715360407249482E-006  -2.3575394874077410E-009
         279  -1.3619306066964287E-006   2.3660198693012835E-009
         280   1.3524280096587039E-006  -2.3745002408271428E-009
         281  -1.3430267862442607E-006   2.3829807810514720E-009
         282   1.3337254984953817E-006  -2.3914609553982256E-009
         283  -1.3245227359010904E-006   2.3999412366032676E-009
         284   1.3154171103533472E-006  -2.4084216671097251E-009
         285  -1.3064072596423280E-006   2.4169023018697075E-009
         286   1.2974918445154580E-006  -2.4253824345492163E-009
         287  -1.2886695486927663E-006   2.4338627272603539E-009
         288   1.2799390779561973E-006  -2.4423414824203450E-009
         289  -1.2712991684404905E-006   2.4508234643760656E-009
         290   1.2627485646257746E-006  -2.4593038147057724E-009
         291  -1.2542860424409797E-006   2.4677846930825948E-009
         292   1.2459103946446730E-006  -2.4762645251162293E-009
         293  -1.2376204373936426E-006   2.4847448576853493E-009
         294   1.2294150038507946E-006  -2.4932254422230541E-009
         295  -1.2212929496081555E-006   2.5017054501108929E-009
         296   1.2132531479221295E-006  -2.5101857750804333E-009
         297  -1.2052944910976855E-006   2.5186662519466980E-009
         298   1.1974158912503346E-006  -2.5271467200105964E-009
         299  -1.1896162768328610E-006   2.5356270287848668E-009
         300   1.1818945956034886E-006  -2.5441074567129560E-009
         301  -1.1742498130297993E-006   2.5525879993733519E-009
         302   1.1666809099012798E-006  -2.5610680891828292E-009
         303  -1.1591868868676556E-006   2.5695485943128893E-009
         304   1.1517667573477487E-006  -2.5780288363036941E-009
         305  -1.1444195534726669E-006   2.5865094513345850E-009
         306   1.1371443228775686E-006  -2.5949894830308259E-009
         307  -1.1299401268368889E-006   2.6034698389916077E-009
         308   1.1228060443470116E-006  -2.6119503346010175E-009
         309  -1.1157411674781858E-006   2.6204304870468872E-009
         310   1.1087446042808656E-006  -2.6289110205322222E-009
         311  -1.1018154762023816E-006   2.6373911089898349E-009
         312   1.0949529192354359E-006  -2.6458716959195609E-009
         313  -1.0881560834625885E-006   2.6543520519989273E-009
         314   1.0814241318645834E-006  -2.6628324023726798E-009
         315  -1.0747562408731291E-006   2.6713128076782131E-009
         316   1.0681516000843306E-006  -2.6797931708929851E-009
         317  -1.0616094111374477E-006   2.6882734204189949E-009
         318   1.0551288897819270E-006  -2.6967539093470088E-009
         319  -1.0487092617838742E-006   2.7052340897449657E-009
         320   1.0423497673239850E-006  -2.7137143976654269E-009
         321  -1.0360496577854468E-006   2.7221949615219754E-009
         322   1.0298081949593137E-006  -2.7306752835540055E-009
         323  -1.0236246536238637E-006   2.7391556240953996E-009
         324   1.0174983193254948E-006  -2.7476350066831879E-009
         325  -1.0114284877941500E-006   2.7561165557000403E-009
         326   1.0054144660055916E-006  -2.7645967603739615E-009
         327  -9.9945557156646875E-007   2.7730772124933117E-009
         328   9.9355113288308720E-007  -2.7815574606505163E-009
         329  -9.8770048764681940E-007   2.7900377948391632E-009
         330   9.8190298448785169E-007  -2.7985181532461762E-009
         331  -9.7615798142725529E-007   2.8069984193638674E-009
         332   9.7046484661398626E-007  -2.8154787776861771E-009
         333  -9.6482295722191312E-007   2.8239592285417541E-009
         334   9.5923169968519710E-007  -2.8324396256344559E-009
         335  -9.5369047035560330E-007   2.8409200105773171E-009
         336   9.4819867286134350E-007  -2.8494005241065559E-009
         337  -9.4275572166044037E-007   2.8578807148789724E-009
         338   9.3736103870023285E-007  -2.8663610517239146E-009
         339  -9.3201405417454224E-007   2.8748413313433110E-009
         340   9.2671420777435363E-007  -2.8833216693165012E-009
         341  -9.2146094672770039E-007   2.8918021654578477E-009
         342   9.1625372623143405E-007  -2.9002822083654166E-009
         343  -9.1109201075028831E-007   2.9087639629741060E-009
         344   9.0597527086389712E-007  -2.9172431753794227E-009
         345  -9.0090298413837125E-007   2.9257234922411637E-009
         346   8.9587463891931183E-007  -2.9342038005241550E-009
         347  -8.9088972750486035E-007   2.9426842350624893E-009
         348   8.8594775154761396E-007  -2.9511647091166047E-009
         349  -8.8104821829686208E-007   2.9596448410947702E-009
         350   8.7619064426137374E-007  -2.9681251516274810E-009
         351  -8.7137455075205264E-007   2.9766056292967330E-009
         352   8.6659946599813723E-007  -2.9850858520395610E-009
         353  -8.6186492790404218E-007   2.9935663476354183E-009
         354   8.5717047631723509E-007  -3.0020466897251886E-009
         355  -8.5251566095565173E-007   3.0105270320046943E-009
         356   8.4790003616082158E-007  -3.0190074702869142E-009
         357  -8.4332316288965564E-007   3.0274874308188350E-009
         358   8.3878460874556304E-007  -3.0359684589375299E-009
         359  -8.3428394701899990E-007   3.0444486028927413E-009
         360   8.2982075646055933E-007  -3.0529288136009252E-009
         361  -8.2539462265521126E-007   3.0614091433341789E-009
         362   8.2100513452843383E-007  -3.0698895659937232E-009
         363  -8.1665189257784220E-007   3.0783700038625910E-009
         364   8.1233449493644725E-007  -3.0868504498392582E-009
         365  -8.0805255126796679E-007   3.0953307461892494E-009
         366   8.0380567242207320E-007  -3.1038110556038767E-009
         367  -7.9959347714075304E-007   3.1122913013385670E-009
         368   7.9541558954089803E-007  -3.1207717537628491E-009
         369  -7.9127163647148095E-007   3.1292522102799943E-009
         370   7.8716125205884285E-007  -3.1377324095227402E-009
         371  -7.8308407416751834E-007   3.1462128922674136E-009
         372   7.7903974640019559E-007  -3.1546931739332416E-009
         373  -7.7502791693767419E-007   3.1631733392980578E-009
         374   7.7104823735375089E-007  -3.1716539195734928E-009
         375  -7.6710036593058786E-007   3.1801341696009462E-009
         376   7.6318396417694647E-007  -3.1886144894984533E-009
         377  -7.5929869771841217E-007   3.1970949822143985E-009
         378   7.5544423783178451E-007  -3.2055758437251009E-009
         379  -7.5162025944556436E-007   3.2140557222235747E-009
         380   7.4782644175399183E-007  -3.2225359948634196E-009
         381  -7.4406246818891123E-007   3.2310163308748815E-009
         382   7.4032802671052697E-007  -3.2394968203890422E-009
         383  -7.3662280924130096E-007   3.2479770430912127E-009
         384   7.3294651107278560E-007  -3.2564574829116444E-009
         385  -7.2929883193444383E-007   3.2649377320886767E-009
         386   7.2567947668656274E-007  -3.2734181311668237E-009
         387  -7.2208815051749546E-007   3.2818985157437666E-009
         388   7.1852456641010069E-007  -3.2903791255569346E-009
         389  -7.1498843749392971E-007   3.2988592838541079E-009
         390   7.1147948353233320E-007  -3.3073396489120236E-009
         391  -7.0799742662128217E-007   3.3158200311952013E-009
         392   7.0454199194906839E-007  -3.3243003653262500E-009
         393  -7.0111290987656314E-007   3.3327804970672463E-009
         394   6.9770991188867072E-007  -3.3412611603586865E-009
         395  -6.9433273440830780E-007   3.3497416154155469E-009
         396   6.9098111685035536E-007  -3.3582218329846977E-009
         397  -6.8765480111755890E-007   3.3667021213996842E-009
         398   6.8435353385623815E-007  -3.3751824411311728E-009
         399  -6.8107706379499087E-007   3.3836627372168897E-009
         400   6.7782514212149378E-007  -3.3921431808218647E-009
         401  -6.7459752536680559E-007   3.4006235296811223E-009
         402   6.7139397168979259E-007  -3.4091037999492749E-009
         403  -6.6821424214941281E-007   3.4175842759718948E-009
         404   6.6505810101387625E-007  -3.4260646868780099E-009
         405  -6.6192531589129126E-007   3.4345450085441218E-009
         406   6.5881565589692920E-007  -3.4430254504109851E-009
         407  -6.5572889435604556E-007   3.4515056675227382E-009
         408   6.5266480669353463E-007  -3.4599859672676374E-009
         409  -6.4962317150498577E-007   3.4684661643826365E-009
         410   6.4660376944578274E-007  -3.4769466102474954E-009
         411  -6.4360638445730921E-007   3.4854271604634252E-009
         412   6.4063080302151918E-007  -3.4939075916780023E-009
         413  -6.3767681440023388E-007   3.5023878919480619E-009
         414   6.3474420994617201E-007  -3.5108679903091838E-009
         415  -6.3183278240292102E-007   3.5193466436253215E-009
         416   6.2894233027527475E-007  -3.5278289353579315E-009
         417  -6.2607265132921103E-007   3.5363094062746368E-009
         418   6.2322354719611883E-007  -3.5447896509217369E-009
         419  -6.2039482033605638E-007   3.5532696447894863E-009
         420   6.1758627824620390E-007  -3.5617506042883481E-009
         421  -6.1479772827810616E-007   3.5702309236776354E-009
         422   6.1202898243075407E-007  -3.5787111301947003E-009
         423  -6.0927985217670421E-007   3.5871915175092538E-009
         424   6.0655015327505549E-007  -3.5956718549911648E-009
         425  -6.0383970286422884E-007   3.6041521445648924E-009
         426   6.0114832013447072E-007  -3.6126325066785216E-009
         427  -5.9847582530390541E-007   3.6211133675929127E-009
         428   5.9582204506631220E-007  -3.6295930942996943E-009
         429  -5.9318680213409026E-007   3.6380735340320347E-009
         430   5.9056992511848463E-007  -3.6465539109890692E-009
         431  -5.8797124340445410E-007   3.6550342708733077E-009
         432   5.8539058887708704E-007  -3.6635145575806757E-009
         433  -5.8282779547176589E-007   3.6719951077932174E-009
         434   5.8028269813874050E-007  -3.6804758224148542E-009
         435  -5.7775513442342064E-007   3.6889558847804640E-009
         436   5.7524494360829766E-007  -3.6974360243209397E-009
         437  -5.7275196670582946E-007   3.7059164492606966E-009
         438   5.7027604630798033E-007  -3.7143969097588967E-009
         439  -5.6781702712124761E-007   3.7228769186970563E-009
         440   5.6537475548195553E-007  -3.7313573336621533E-009
         441  -5.6294907994416390E-007   3.7398382891664077E-009
         442   5.6053985025924407E-007  -3.7483183464498198E-009
         443  -5.5814691805682569E-007   3.7567988050371136E-009
         444   5.5577013658320582E-007  -3.7652788159810472E-009
         445  -5.5340936080300644E-007   3.7737591536052598E-009
         446   5.5106444711325677E-007  -3.7822397883042558E-009
         447  -5.4873525364739005E-007   3.7907199663610137E-009
         448   5.4642164008286535E-007  -3.7992004704847987E-009
         449  -5.4412346752517155E-007   3.8076807654219389E-009
         450   5.4184059868974288E-007  -3.8161610399320325E-009
         451  -5.3957289824204605E-007   3.8246414245089754E-009
         452   5.3732023194801297E-007  -3.8331218209714847E-009
         453  -5.3508246753785173E-007   3.8416022700415162E-009
         454   5.3285947311432940E-007  -3.8500826490924162E-009
         455  -5.3065111940531044E-007   3.8585628787571975E-009
         456   5.2845727809294697E-007  -3.8670434488309677E-009
         457  -5.2627782115292530E-007   3.8755234092815733E-009
         458   5.2411262429184757E-007  -3.8840040338466672E-009
         459  -5.2196156225083393E-007   3.8924843020717763E-009
         460   5.1982451283693850E-007  -3.9009647417024727E-009
         461  -5.1770135467184427E-007   3.9094453101025058E-009
         462   5.1559196662631613E-007  -3.9179253078530543E-009
         463  -5.1349623075154472E-007   3.9264057693575295E-009
         464   5.1141402921117956E-007  -3.9348856832247111E-009
         465  -5.0934524330908428E-007   3.9433701210711471E-009
         466   5.0728976481515648E-007  -3.9518468902234800E-009
         467  -5.0524747258971206E-007   3.9603276702021789E-009
         468   5.0321825664565833E-007  -3.9688076946173246E-009
         469  -5.0120200516164939E-007   3.9772878300479964E-009
         470   4.9919860789596768E-007  -3.9857683252914880E-009
         471  -4.9720795599241115E-007   3.9942485842297279E-009
         472   4.9522994250522331E-007  -4.0027282484830762E-009
         473  -4.9326445780288912E-007   4.0112094778059775E-009
         474   4.9131139811597142E-007  -4.0196896665760081E-009
         475  -4.8937065939160906E-007   4.0281699434035838E-009
         476   4.8744213723457693E-007  -4.0366503343976484E-009
         477  -4.8552572946086671E-007   4.0451308899092282E-009
         478   4.8362133426686240E-007  -4.0536110655265312E-009
         479  -4.8172885281124584E-007   4.0620916992429690E-009
         480   4.7984818329803111E-007  -4.0705716995989908E-009
         481  -4.7797922983530943E-007   4.0790522724408647E-009
         482   4.7612189390118216E-007  -4.0875330241862615E-009
         483  -4.7427608062316161E-007   4.0960127649944476E-009
         484   4.7244169465409638E-007  -4.1044925266260916E-009
         485  -4.7061863986555899E-007   4.1129731190615317E-009
         486   4.6880682565605936E-007  -4.1214538000762893E-009
         487  -4.6700615788730442E-007   4.1299342205504885E-009
         488   4.6521654601040146E-007  -4.1384145410476949E-009
         489  -4.6343789860374277E-007   4.1468951426277027E-009
         490   4.6167012765919568E-007  -4.1553756448981796E-009
         491  -4.5991314431370698E-007   4.1638558122721579E-009
         492   4.5816686014389456E-007  -4.1723361502487362E-009
         493  -4.5643118893931426E-007   4.1808163703183283E-009
         494   4.5470604530676640E-007  -4.1892969250065921E-009
         495  -4.5299134271305338E-007   4.1977771062244769E-009
         496   4.5128699841255658E-007  -4.2062575818642379E-009
         497  -4.4959292822330634E-007   4.2147382177694088E-009
