# frequency transmission sigma
1.450000000000000000e+02 9.489178803758249181e-01 2.196652864975101854e-03
1.450500000000000114e+02 9.425864125023610818e-01 2.278364833596670594e-03
1.450999999999999943e+02 9.368774473259537938e-01 2.297752452924350496e-03
1.451500000000000057e+02 9.319556492228782130e-01 2.257741032339336679e-03
1.452000000000000171e+02 9.279384525024434449e-01 2.176719724070116501e-03
1.452500000000000000e+02 9.249003036712873937e-01 2.085555327408715812e-03
1.453000000000000114e+02 9.228809539676242624e-01 2.019244129719567887e-03
1.453499999999999943e+02 9.218955400461320560e-01 2.002593306135842365e-03
1.454000000000000057e+02 9.219442011956986427e-01 2.036748186707449965e-03
1.454500000000000171e+02 9.230193190486537524e-01 2.098451660644097896e-03
1.455000000000000000e+02 9.251089804827239416e-01 2.152935286824143347e-03
1.455500000000000114e+02 9.281958488146646591e-01 2.168850338671470153e-03
1.455999999999999943e+02 9.322512545388176308e-01 2.127577875257908105e-03
1.456500000000000057e+02 9.372250329536595537e-01 2.027489044353484801e-03
1.457000000000000171e+02 9.430325173015036144e-01 1.885468327852454773e-03
1.457500000000000000e+02 9.495411517151418623e-01 1.735573105671404156e-03
1.458000000000000114e+02 9.565602441678429102e-01 1.620699530457811325e-03
1.458499999999999943e+02 9.638379990052408086e-01 1.572056402864085902e-03
1.459000000000000057e+02 9.710695216977114352e-01 1.585879548132948210e-03
1.459500000000000171e+02 9.779174680034761202e-01 1.624263836569695167e-03
1.460000000000000000e+02 9.840435289122521079e-01 1.641360659325200684e-03
1.460500000000000114e+02 9.891450745287295732e-01 1.606936793406150673e-03
1.460999999999999943e+02 9.929887811772409867e-01 1.515524709166988452e-03
1.461500000000000057e+02 9.954333960516066337e-01 1.386403442643738314e-03
1.462000000000000171e+02 9.964370541885704258e-01 1.258269504284833954e-03
1.462500000000000000e+02 9.960492839719101710e-01 1.175710733063849807e-03
1.463000000000000114e+02 9.943918959901523191e-01 1.164211674112159171e-03
1.463499999999999943e+02 9.916348696576039456e-01 1.211890368575756259e-03
1.464000000000000057e+02 9.879729682549713843e-01 1.283941647461941948e-03
1.464500000000000171e+02 9.836069786976847640e-01 1.351007972469981050e-03
1.465000000000000000e+02 9.787312914507206862e-01 1.402792530770760821e-03
1.465500000000000114e+02 9.735277702830200663e-01 1.447290470015472454e-03
1.465999999999999943e+02 9.681647688717920364e-01 1.502658911513376962e-03
1.466500000000000057e+02 9.627996348178817776e-01 1.585067950217749870e-03
1.467000000000000171e+02 9.575828819259929459e-01 1.698221401457434762e-03
1.467500000000000000e+02 9.526622385202908605e-01 1.831986352564659616e-03
1.468000000000000114e+02 9.481849462412054175e-01 1.970378194907830820e-03
1.468499999999999943e+02 9.442970517999895730e-01 2.101596987083972131e-03
1.469000000000000057e+02 9.411390885286096131e-01 2.223624815915980178e-03
1.469500000000000171e+02 9.388384715124327151e-01 2.342914388571475971e-03
1.470000000000000000e+02 9.374999276855769947e-01 2.466925081027987292e-03
1.470500000000000114e+02 9.371959919384054150e-01 2.594823582206017779e-03
1.470999999999999943e+02 9.379596883974447019e-01 2.712777654537068192e-03
1.471500000000000057e+02 9.397809027927653824e-01 2.797141563726211495e-03
1.472000000000000171e+02 9.426069022810515952e-01 2.822898831194436964e-03
1.472500000000000000e+02 9.463464382857432744e-01 2.772334225483542858e-03
1.473000000000000114e+02 9.508762635518411832e-01 2.640783265059489827e-03
1.473499999999999943e+02 9.560488205167065878e-01 2.438845340795066027e-03
1.474000000000000057e+02 9.617001605910601159e-01 2.191645533434496973e-03
1.474500000000000171e+02 9.676575665501471191e-01 1.935592041897592685e-03
1.475000000000000000e+02 9.737466572952017119e-01 1.711859177078501205e-03
1.475500000000000114e+02 9.797978701920169176e-01 1.554688105963091850e-03
