 k,c(k),s(k)
           0  0.95368388915034363        0.0000000000000000     
           1   2.2316203006048807E-002  -4.2393113375721488E-016
           2   5.2219915043820702E-004   1.5859652919430999E-016
           3   1.2219460041592643E-005  -1.4620522066027997E-016
           4   2.8593537562216029E-007   4.1636836611457509E-017
           5   6.6908723305217875E-009  -5.7787371068421911E-017
           6   1.5658368177106415E-010  -7.7632170931643405E-017
           7   3.6669033830422429E-012  -9.5421717967310364E-018
           8   1.0980781984647886E-013   4.4465410233416151E-017
           9  -3.2546339755190612E-014  -1.1991283769570817E-016
