# SAMPLE - ONE-ARM
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
60 4046018540.000000 177.338000 0.000155599
61 4046018620.000000 177.497000 0.000155658
62 4046018700.000000 177.653000 0.000155688
63 4046018780.000000 177.804500 0.000155599
64 4046018860.000000 177.964000 0.000155569
65 4046018940.000000 178.114500 0.000155629
66 4046019020.000000 178.272000 0.000155658
67 4046019100.000000 178.425500 0.000155629
68 4046019180.000000 178.577500 0.000155569
69 4046019260.000000 178.735000 0.000155569
70 4046019340.000000 178.891500 0.000155599
71 4046019420.000000 179.045500 0.000155629
72 4046019500.000000 179.201000 0.000155599
73 4046019580.000000 179.355500 0.000155629
74 4046019660.000000 179.512500 0.000155599
75 4046019740.000000 179.663500 0.000155569
76 4046019820.000000 179.818500 0.000155599
77 4046019900.000000 179.973500 0.000155599
78 4046019980.000000 180.127500 0.000155599
79 4046020060.000000 180.285500 0.000155509
80 4046020140.000000 180.439500 0.000155569
81 4046020220.000000 180.591000 0.00015548
82 4046020300.000000 180.749000 0.000155569
83 4046020380.000000 180.902500 0.000155569
84 4046020460.000000 181.055500 0.000155539
85 4046020540.000000 181.211500 0.000155599
86 4046020620.000000 181.368000 0.000155539
87 4046020700.000000 181.524000 0.000155539
88 4046020780.000000 181.679000 0.000155509
89 4046020860.000000 181.837000 0.000155509
90 4046020940.000000 181.991500 0.000155539
91 4046021020.000000 182.145500 0.000155539
92 4046021100.000000 182.304000 0.00015545
93 4046021180.000000 182.456000 0.00015548
94 4046021260.000000 182.612000 0.000155599
95 4046021340.000000 182.769500 0.000155569
96 4046021420.000000 182.922000 0.000155599
97 4046021500.000000 183.081000 0.000155509
98 4046021580.000000 183.236500 0.00015545
99 4046021660.000000 183.389000 0.000155539
100 4046021740.000000 183.545000 0.00015548
101 4046021820.000000 183.700000 0.00015548
102 4046021900.000000 183.853000 0.00015545
103 4046021980.000000 184.009000 0.000155539
104 4046022060.000000 184.165000 0.000155539
105 4046022140.000000 184.320000 0.00015548
106 4046022220.000000 184.475500 0.000155509
107 4046022300.000000 184.631000 0.00015548
108 4046022380.000000 184.784500 0.00015548
109 4046022460.000000 184.938500 0.00015542
110 4046022540.000000 185.096000 0.00015548
111 4046022620.000000 185.249000 0.00015548
112 4046022700.000000 185.404000 0.00015542
113 4046022780.000000 185.561500 0.00015542
114 4046022860.000000 185.713000 0.00015545
115 4046022940.000000 185.869000 0.00015542
116 4046023020.000000 186.023000 0.00015548
