#  SAMPLE
FTS 150 GHz source and diode detecyot

For the B3#18 15/40 6" etalon. Third sample scan. Width of etalon 2 inches.


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1727174420.000000 172.911500 0.000206501
1 1727174500.000000 173.025500 0.000206531
2 1727174580.000000 173.143000 0.000206293
3 1727174660.000000 173.257500 0.000206173
4 1727174740.000000 173.373500 0.000206114
5 1727174820.000000 173.487000 0.000206144
6 1727174900.000000 173.601500 0.000206233
7 1727174980.000000 173.717000 0.000206382
8 1727175060.000000 173.834000 0.000206382
9 1727175140.000000 173.949500 0.000206412
10 1727175220.000000 174.062500 0.000206293
11 1727175300.000000 174.178500 0.000206203
12 1727175380.000000 174.292500 0.000206203
13 1727175460.000000 174.409000 0.000206114
14 1727175540.000000 174.523000 0.000206144
15 1727175620.000000 174.641500 0.000206203
16 1727175700.000000 174.753000 0.000206203
17 1727175780.000000 174.869000 0.000206412
18 1727175860.000000 174.980500 0.000206471
19 1727175940.000000 175.099000 0.000206412
20 1727176020.000000 175.213500 0.000206382
21 1727176100.000000 175.328000 0.000206233
22 1727176180.000000 175.444000 0.000206084
23 1727176260.000000 175.559500 0.000206114
24 1727176340.000000 175.675500 0.000206173
25 1727176420.000000 175.789000 0.000206263
26 1727176500.000000 175.907000 0.000206352
27 1727176580.000000 176.019500 0.000206382
28 1727176660.000000 176.138000 0.000206471
29 1727176740.000000 176.253500 0.000206531
30 1727176820.000000 176.369500 0.000206412
31 1727176900.000000 176.485000 0.000206382
32 1727176980.000000 176.603500 0.000206233
33 1727177060.000000 176.719500 0.000206263
34 1727177140.000000 176.833500 0.000206233
35 1727177220.000000 176.951500 0.000206144
36 1727177300.000000 177.064000 0.000206293
37 1727177380.000000 177.180500 0.000206263
38 1727177460.000000 177.295000 0.000206203
39 1727177540.000000 177.413000 0.000206233
40 1727177620.000000 177.525000 0.000206114
41 1727177700.000000 177.644000 0.000206084
42 1727177780.000000 177.759000 0.000205995
43 1727177860.000000 177.874000 0.000205995
44 1727177940.000000 177.991000 0.000206054
45 1727178020.000000 178.103000 0.000206233
46 1727178100.000000 178.220000 0.000206293
47 1727178180.000000 178.334000 0.000206233
48 1727178260.000000 178.449500 0.000206203
49 1727178340.000000 178.562500 0.000206054
50 1727178420.000000 178.679500 0.000206024
51 1727178500.000000 178.794500 0.000206024
52 1727178580.000000 178.909500 0.000206114
53 1727178660.000000 179.026000 0.000206114
54 1727178740.000000 179.139000 0.000206203
55 1727178820.000000 179.254500 0.000206173
56 1727178900.000000 179.370500 0.000206203
57 1727178980.000000 179.484500 0.000206322
58 1727179060.000000 179.598500 0.000206203
59 1727179140.000000 179.713500 0.000206084
60 1727179220.000000 179.827500 0.000205995
61 1727179300.000000 179.945000 0.000205995
62 1727179380.000000 180.060000 0.000205965
63 1727179460.000000 180.175500 0.000206173
64 1727179540.000000 180.290000 0.000206233
65 1727179620.000000 180.403500 0.000206203
66 1727179700.000000 180.519000 0.000206322
67 1727179780.000000 180.635500 0.000206293
68 1727179860.000000 180.749500 0.000206233
69 1727179940.000000 180.864000 0.000206144
70 1727180020.000000 180.981000 0.000206084
71 1727180100.000000 181.096000 0.000206054
72 1727180180.000000 181.212000 0.000206144
73 1727180260.000000 181.329000 0.000206263
74 1727180340.000000 181.447000 0.000206412
75 1727180420.000000 181.559500 0.000206412
76 1727180500.000000 181.677500 0.000206412
77 1727180580.000000 181.794500 0.000206233
78 1727180660.000000 181.908500 0.000206233
79 1727180740.000000 182.027500 0.000206054
80 1727180820.000000 182.141000 0.000205995
81 1727180900.000000 182.257500 0.000205995
82 1727180980.000000 182.372500 0.000206144
83 1727181060.000000 182.489000 0.000206203
84 1727181140.000000 182.603500 0.000206322
85 1727181220.000000 182.721500 0.000206442
86 1727181300.000000 182.836000 0.000206233
87 1727181380.000000 182.952500 0.000206024
88 1727181460.000000 183.069500 0.000205905
89 1727181540.000000 183.184000 0.000205816
90 1727181620.000000 183.299000 0.000205965
91 1727181700.000000 183.414000 0.000206114
92 1727181780.000000 183.530500 0.000206352
93 1727181860.000000 183.644500 0.000206412
94 1727181940.000000 183.759000 0.000206412
95 1727182020.000000 183.874500 0.000206293
96 1727182100.000000 183.988500 0.000206233
97 1727182180.000000 184.105000 0.000205995
98 1727182260.000000 184.221000 0.000205965
99 1727182340.000000 184.336000 0.000205846
100 1727182420.000000 184.451000 0.000206024
101 1727182500.000000 184.567500 0.000206352
102 1727182580.000000 184.679500 0.000206382
103 1727182660.000000 184.796500 0.000206382
104 1727182740.000000 184.912000 0.000206352
105 1727182820.000000 185.029000 0.000206203
106 1727182900.000000 185.140500 0.000206203
107 1727182980.000000 185.255500 0.000206203
108 1727183060.000000 185.370000 0.000206233
109 1727183140.000000 185.486500 0.000206442
110 1727183220.000000 185.602500 0.000206501
111 1727183300.000000 185.716000 0.00020662
112 1727183380.000000 185.833500 0.000206591
113 1727183461.000000 185.948000 0.000206501
114 1727183540.000000 186.065000 0.000206442
115 1727183620.000000 186.179000 0.000206233
116 1727183700.000000 186.297500 0.000206084
117 1727183780.000000 186.410000 0.000206144
118 1727183860.000000 186.527500 0.000206203
119 1727183940.000000 186.641000 0.000206293
120 1727184020.000000 186.759500 0.000206412
121 1727184100.000000 186.876000 0.000206352
122 1727184180.000000 186.989500 0.000206531
123 1727184260.000000 187.107000 0.000206471
124 1727184340.000000 187.222000 0.000206352
125 1727184420.000000 187.339000 0.000206173
126 1727184500.000000 187.451500 0.000206114
127 1727184580.000000 187.571000 0.000206144
128 1727184660.000000 187.683500 0.000206233
129 1727184740.000000 187.800500 0.000206412
130 1727184820.000000 187.917500 0.000206382
131 1727184900.000000 188.032500 0.000206382
132 1727184980.000000 188.148000 0.000206322
133 1727185060.000000 188.263000 0.000206263
134 1727185140.000000 188.381000 0.000206233
135 1727185220.000000 188.492000 0.000206263
136 1727185300.000000 188.610500 0.000206233
137 1727185380.000000 188.720000 0.000206263
138 1727185460.000000 188.837500 0.000206293
139 1727185540.000000 188.952000 0.000206352
140 1727185620.000000 189.068500 0.000206471
141 1727185700.000000 189.182500 0.000206412
142 1727185780.000000 189.299500 0.000206382
143 1727185860.000000 189.414000 0.000206352
144 1727185940.000000 189.529000 0.000206322
145 1727186020.000000 189.646000 0.000206293
146 1727186100.000000 189.760000 0.000206322
147 1727186180.000000 189.875500 0.000206233
148 1727186260.000000 189.990500 0.000206382
149 1727186340.000000 190.104500 0.000206412
150 1727186420.000000 190.219500 0.000206561
151 1727186500.000000 190.337000 0.000206531
152 1727186580.000000 190.448500 0.000206531
153 1727186660.000000 190.565000 0.000206382
154 1727186740.000000 190.682000 0.000206293
155 1727186820.000000 190.794500 0.000206382
156 1727186900.000000 190.911500 0.000206352
