# SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

X  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1110172100.000000 173.020000 0.000177206
1 1110172180.000000 173.164500 0.000177116
2 1110172260.000000 173.328500 0.000177116
3 1110172340.000000 173.471000 0.000177116
4 1110172420.000000 173.622000 0.000177146
5 1110172500.000000 173.767500 0.000177176
6 1110172580.000000 173.925000 0.000177235
7 1110172660.000000 174.079500 0.000177086
8 1110172740.000000 174.233500 0.000177027
9 1110172820.000000 174.389500 0.000176878
10 1110172900.000000 174.543000 0.000176878
11 1110172980.000000 174.699500 0.000176997
12 1110173060.000000 174.855000 0.000177116
13 1110173140.000000 175.009500 0.000177086
14 1110173220.000000 175.164500 0.000176997
15 1110173300.000000 175.318500 0.000176848
16 1110173380.000000 175.471500 0.000176818
17 1110173460.000000 175.628000 0.000176848
18 1110173540.000000 175.782500 0.000176937
19 1110173620.000000 175.937000 0.000177027
20 1110173700.000000 176.093000 0.000177086
21 1110173780.000000 176.249500 0.000176908
22 1110173860.000000 176.407500 0.000176818
23 1110173940.000000 176.558500 0.000176788
24 1110174020.000000 176.716500 0.000176818
25 1110174100.000000 176.872500 0.000176878
26 1110174180.000000 177.026000 0.000176878
27 1110174260.000000 177.183500 0.000176908
28 1110174340.000000 177.344000 0.000176848
29 1110174420.000000 177.488000 0.000176699
30 1110174500.000000 177.644000 0.000176639
31 1110174580.000000 177.801500 0.000176699
32 1110174660.000000 177.959000 0.000176759
33 1110174740.000000 178.113500 0.000176848
34 1110174820.000000 178.267000 0.000176818
35 1110174900.000000 178.423000 0.000176669
36 1110174980.000000 178.574500 0.00017655
37 1110175060.000000 178.729000 0.00017646
38 1110175140.000000 178.885000 0.00017658
39 1110175220.000000 179.042000 0.000176609
40 1110175300.000000 179.195000 0.000176818
41 1110175380.000000 179.349000 0.000176729
42 1110175460.000000 179.507500 0.000176699
43 1110175540.000000 179.662500 0.00017655
44 1110175620.000000 179.814500 0.00017649
45 1110175700.000000 179.969500 0.000176639
46 1110175780.000000 180.122000 0.000176729
47 1110175860.000000 180.279500 0.000176788
48 1110175940.000000 180.433500 0.000176759
49 1110176020.000000 180.586000 0.000176639
50 1110176100.000000 180.743000 0.00017655
51 1110176180.000000 180.898500 0.000176371
52 1110176260.000000 181.053000 0.000176431
53 1110176340.000000 181.206000 0.00017658
54 1110176420.000000 181.364000 0.000176639
55 1110176500.000000 181.519000 0.000176639
56 1110176580.000000 181.675000 0.00017658
57 1110176660.000000 181.833500 0.00017646
58 1110176740.000000 181.987500 0.00017646
59 1110176820.000000 182.143500 0.00017658
60 1110176900.000000 182.302000 0.000176699
61 1110176980.000000 182.454000 0.000176848
62 1110177060.000000 182.611000 0.000176818
63 1110177140.000000 182.764000 0.000176609
64 1110177220.000000 182.920000 0.000176401
65 1110177300.000000 183.079000 0.000176401
66 1110177380.000000 183.230500 0.000176341
67 1110177460.000000 183.387000 0.00017655
68 1110177540.000000 183.543500 0.000176669
69 1110177620.000000 183.695500 0.00017658
70 1110177700.000000 183.851500 0.000176431
71 1110177780.000000 184.007500 0.000176371
72 1110177860.000000 184.161000 0.000176341
73 1110177940.000000 184.318000 0.000176401
74 1110178020.000000 184.473000 0.00017646
75 1110178101.000000 184.627500 0.00017658
76 1110178180.000000 184.782000 0.000176431
77 1110178260.000000 184.937500 0.000176431
78 1110178340.000000 185.092000 0.000176371
79 1110178420.000000 185.248500 0.000176431
80 1110178500.000000 185.404000 0.00017655
