# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
200 593943060.000000 201.005000 0.000211866
201 593943140.000000 201.120000 0.000211627
202 593943220.000000 201.232000 0.000211627
203 593943300.000000 201.348500 0.000211389
204 593943380.000000 201.463500 0.000211419
205 593943460.000000 201.578500 0.000211448
206 593943540.000000 201.693500 0.000211508
207 593943620.000000 201.812500 0.000211687
208 593943700.000000 201.925500 0.000211746
209 593943780.000000 202.044000 0.000211776
210 593943860.000000 202.160000 0.000211687
211 593943940.000000 202.273500 0.000211568
212 593944020.000000 202.391000 0.000211538
213 593944100.000000 202.507000 0.000211419
214 593944180.000000 202.625000 0.000211448
215 593944260.000000 202.738000 0.000211508
216 593944340.000000 202.856500 0.000211538
217 593944420.000000 202.970500 0.000211627
218 593944500.000000 203.087000 0.000211568
219 593944580.000000 203.201500 0.000211597
220 593944660.000000 203.317000 0.000211627
221 593944740.000000 203.431000 0.000211597
222 593944820.000000 203.547000 0.000211508
223 593944900.000000 203.662000 0.000211389
224 593944980.000000 203.777500 0.000211419
225 593945060.000000 203.894000 0.000211329
226 593945140.000000 204.007000 0.000211389
227 593945220.000000 204.122500 0.000211448
228 593945300.000000 204.238500 0.000211508
229 593945380.000000 204.353000 0.000211597
230 593945460.000000 204.467500 0.000211538
231 593945540.000000 204.583000 0.000211538
232 593945620.000000 204.698500 0.000211419
233 593945700.000000 204.814500 0.00021127
234 593945780.000000 204.928000 0.00021121
235 593945860.000000 205.042500 0.00021124
236 593945940.000000 205.161500 0.000211359
237 593946020.000000 205.275000 0.000211508
238 593946100.000000 205.391000 0.000211597
239 593946180.000000 205.505000 0.000211597
240 593946260.000000 205.623000 0.000211478
241 593946340.000000 205.736000 0.000211389
242 593946420.000000 205.852500 0.00021121
243 593946500.000000 205.967000 0.000211091
244 593946580.000000 206.082000 0.000211121
245 593946660.000000 206.197500 0.00021118
246 593946740.000000 206.314000 0.000211419
247 593946820.000000 206.428000 0.000211627
248 593946900.000000 206.543000 0.000211657
249 593946980.000000 206.662500 0.000211568
250 593947060.000000 206.777500 0.000211329
251 593947140.000000 206.893500 0.000211061
252 593947220.000000 207.007000 0.000210852
253 593947300.000000 207.125500 0.000210972
254 593947380.000000 207.239000 0.000211031
255 593947460.000000 207.355500 0.000211359
256 593947540.000000 207.473000 0.000211508
257 593947620.000000 207.585500 0.000211508
258 593947700.000000 207.702500 0.000211448
259 593947780.000000 207.816000 0.00021127
260 593947860.000000 207.935000 0.000210912
261 593947940.000000 208.045000 0.000210763
262 593948020.000000 208.164000 0.000210733
263 593948100.000000 208.278500 0.000211031
264 593948180.000000 208.393500 0.00021127
265 593948260.000000 208.509000 0.000211448
266 593948340.000000 208.626000 0.000211448
267 593948420.000000 208.742000 0.000211329
268 593948500.000000 208.854500 0.00021118
269 593948580.000000 208.969000 0.000210912
270 593948660.000000 209.081500 0.000210793
271 593948740.000000 209.199000 0.000210763
272 593948820.000000 209.313000 0.000210942
273 593948900.000000 209.430500 0.000211091
274 593948980.000000 209.543000 0.000211299
275 593949060.000000 209.660500 0.000211359
276 593949140.000000 209.774500 0.000211299
277 593949220.000000 209.890500 0.000211091
278 593949300.000000 210.004500 0.000210912
279 593949380.000000 210.119000 0.000210703
280 593949460.000000 210.236000 0.000210733
281 593949540.000000 210.350000 0.000210793
