# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
201 598090380.000000 201.098500 0.000205071
202 598090460.000000 201.211000 0.000204892
203 598090540.000000 201.327500 0.000204832
204 598090620.000000 201.442000 0.000204683
205 598090700.000000 201.558000 0.000204713
206 598090780.000000 201.674000 0.000204802
207 598090860.000000 201.791500 0.000204952
208 598090940.000000 201.905500 0.000205041
209 598091020.000000 202.023500 0.000205011
210 598091100.000000 202.140000 0.000204952
211 598091180.000000 202.253500 0.000204892
212 598091260.000000 202.370500 0.000204713
213 598091340.000000 202.486000 0.000204653
214 598091420.000000 202.603500 0.000204713
215 598091500.000000 202.716000 0.000204743
216 598091580.000000 202.835000 0.000204832
217 598091660.000000 202.946500 0.000204802
218 598091740.000000 203.063500 0.000204892
219 598091820.000000 203.178000 0.000204832
220 598091900.000000 203.296500 0.000204952
221 598091980.000000 203.411000 0.000204862
222 598092060.000000 203.525500 0.000204773
223 598092140.000000 203.641000 0.000204594
224 598092220.000000 203.757000 0.000204564
225 598092300.000000 203.874000 0.000204564
226 598092380.000000 203.984500 0.000204683
227 598092460.000000 204.100500 0.000204743
228 598092540.000000 204.216500 0.000204773
229 598092620.000000 204.332500 0.000204832
230 598092700.000000 204.447500 0.000204892
231 598092780.000000 204.562000 0.000204832
232 598092860.000000 204.679000 0.000204713
233 598092940.000000 204.795000 0.000204534
234 598093020.000000 204.909000 0.000204504
235 598093100.000000 205.022500 0.000204504
236 598093180.000000 205.138000 0.000204534
237 598093260.000000 205.252500 0.000204773
238 598093340.000000 205.369000 0.000204832
239 598093420.000000 205.484000 0.000204952
240 598093500.000000 205.599000 0.000204892
241 598093580.000000 205.714000 0.000204683
242 598093660.000000 205.831000 0.000204564
243 598093740.000000 205.947000 0.000204355
244 598093820.000000 206.060000 0.000204296
245 598093900.000000 206.177000 0.000204445
246 598093980.000000 206.291500 0.000204713
247 598094060.000000 206.409500 0.000204892
248 598094140.000000 206.522500 0.000205011
249 598094221.000000 206.639500 0.000204832
250 598094300.000000 206.754500 0.000204653
251 598094380.000000 206.873000 0.000204326
252 598094460.000000 206.988000 0.000204266
253 598094540.000000 207.103500 0.000204236
254 598094620.000000 207.219500 0.000204445
255 598094700.000000 207.333500 0.000204653
256 598094780.000000 207.451500 0.000204773
257 598094860.000000 207.565500 0.000204981
258 598094940.000000 207.681000 0.000204802
259 598095020.000000 207.794000 0.000204564
260 598095100.000000 207.913500 0.000204266
261 598095180.000000 208.026500 0.000204087
262 598095260.000000 208.143000 0.000204117
263 598095340.000000 208.259000 0.000204177
264 598095420.000000 208.375500 0.000204534
265 598095500.000000 208.488500 0.000204743
266 598095580.000000 208.605000 0.000204773
267 598095660.000000 208.719000 0.000204713
268 598095740.000000 208.834000 0.000204445
269 598095820.000000 208.950500 0.000204266
270 598095900.000000 209.063000 0.000204087
271 598095980.000000 209.179000 0.000204057
272 598096060.000000 209.293500 0.000204236
273 598096140.000000 209.411000 0.000204355
274 598096220.000000 209.526000 0.000204594
275 598096300.000000 209.640500 0.000204713
276 598096380.000000 209.756000 0.000204653
277 598096460.000000 209.869500 0.000204475
278 598096540.000000 209.985500 0.000204147
279 598096620.000000 210.100500 0.000204117
280 598096700.000000 210.219000 0.000203938
281 598096780.000000 210.332000 0.000204147
282 598096860.000000 210.448000 0.000204206
283 598096940.000000 210.559500 0.000204475
284 598097020.000000 210.677000 0.000204534
285 598097100.000000 210.805500 0.000204534
286 598097180.000000 210.919500 0.000204385
287 598097260.000000 211.034500 0.000204236
288 598097340.000000 211.146500 0.000203998
289 598097420.000000 211.260000 0.000203968
290 598097500.000000 211.371000 0.000203938
291 598097580.000000 211.485000 0.000204147
292 598097660.000000 211.597500 0.000204236
293 598097740.000000 211.716000 0.000204326
294 598097820.000000 211.828000 0.000204415
295 598097900.000000 211.946500 0.000204326
296 598097980.000000 212.062500 0.000204236
297 598098060.000000 212.178500 0.000204028
298 598098140.000000 212.293000 0.000203968
299 598098220.000000 212.410000 0.000203968
300 598098300.000000 212.526500 0.000203998
