# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
200 585422740.000000 201.016500 0.000128509
201 585422820.000000 201.131000 0.000128449
202 585422900.000000 201.245000 0.000128449
203 585422980.000000 201.360500 0.000128449
204 585423060.000000 201.476500 0.000128389
205 585423140.000000 201.594500 0.00012836
206 585423220.000000 201.706000 0.000128419
207 585423300.000000 201.821500 0.00012836
208 585423380.000000 201.937500 0.000128419
209 585423460.000000 202.056000 0.000128389
210 585423540.000000 202.170500 0.000128389
211 585423620.000000 202.288000 0.000128389
212 585423700.000000 202.401500 0.00012833
213 585423780.000000 202.518000 0.0001283
214 585423860.000000 202.635500 0.00012833
215 585423940.000000 202.749500 0.00012833
216 585424020.000000 202.866000 0.00012827
217 585424100.000000 202.980000 0.0001283
218 585424180.000000 203.096500 0.0001283
219 585424260.000000 203.210500 0.00012827
220 585424340.000000 203.327500 0.000128211
221 585424420.000000 203.444500 0.00012827
222 585424500.000000 203.559500 0.00012827
223 585424580.000000 203.676000 0.00012827
224 585424660.000000 203.791500 0.000128151
225 585424740.000000 203.906000 0.000128211
226 585424820.000000 204.020000 0.000128211
227 585424900.000000 204.136500 0.00012827
228 585424980.000000 204.249500 0.000128211
229 585425060.000000 204.367000 0.00012824
230 585425140.000000 204.480500 0.000128151
231 585425220.000000 204.597500 0.00012824
232 585425300.000000 204.712500 0.000128211
233 585425380.000000 204.827500 0.000128181
234 585425460.000000 204.942500 0.000128181
235 585425540.000000 205.058500 0.000128181
236 585425620.000000 205.175500 0.000128151
237 585425700.000000 205.287500 0.000128181
238 585425780.000000 205.404000 0.000128181
239 585425860.000000 205.519500 0.000128181
240 585425940.000000 205.637000 0.000128151
241 585426020.000000 205.748500 0.000128181
242 585426100.000000 205.867500 0.000128121
243 585426180.000000 205.982000 0.000128151
244 585426260.000000 206.097500 0.000128181
245 585426340.000000 206.211500 0.000128121
246 585426420.000000 206.327500 0.000128091
247 585426500.000000 206.442000 0.000128121
248 585426580.000000 206.557500 0.000128091
249 585426660.000000 206.673500 0.000128091
250 585426740.000000 206.787000 0.000128062
251 585426820.000000 206.905500 0.000128062
252 585426900.000000 207.020500 0.000128121
253 585426980.000000 207.137500 0.000128032
254 585427060.000000 207.252000 0.000127972
255 585427140.000000 207.369000 0.000128032
256 585427220.000000 207.485500 0.000128002
257 585427300.000000 207.599500 0.000128032
258 585427380.000000 207.716000 0.000127942
259 585427460.000000 207.830000 0.000127942
260 585427540.000000 207.949000 0.000128002
261 585427620.000000 208.059500 0.000127942
262 585427700.000000 208.177500 0.000128002
263 585427780.000000 208.288500 0.000128002
264 585427860.000000 208.407000 0.000127972
265 585427940.000000 208.521000 0.000127972
266 585428020.000000 208.638000 0.000128002
267 585428100.000000 208.752000 0.000127972
268 585428180.000000 208.867000 0.000127972
269 585428260.000000 208.983000 0.000127972
270 585428340.000000 209.097500 0.000127942
271 585428420.000000 209.212500 0.000127942
272 585428500.000000 209.325500 0.000127912
273 585428580.000000 209.445000 0.000127942
274 585428660.000000 209.559000 0.000127853
275 585428740.000000 209.674500 0.000127883
276 585428821.000000 209.790000 0.000127853
277 585428900.000000 209.904000 0.000127853
278 585428980.000000 210.019500 0.000127883
279 585429060.000000 210.134000 0.000127763
280 585429140.000000 210.251500 0.000127734
281 585429220.000000 210.362500 0.000127734
282 585429300.000000 210.481000 0.000127823
283 585429380.000000 210.594500 0.000127853
284 585429460.000000 210.713000 0.000127763
285 585429540.000000 210.824500 0.000127763
286 585429620.000000 210.942000 0.000127763
287 585429700.000000 211.057500 0.000127763
288 585429780.000000 211.172000 0.000127763
289 585429860.000000 211.287500 0.000127704
290 585429940.000000 211.404000 0.000127704
291 585430020.000000 211.517500 0.000127674
292 585430100.000000 211.631500 0.000127704
293 585430180.000000 211.750000 0.000127704
294 585430260.000000 211.862500 0.000127614
295 585430340.000000 211.981000 0.000127674
