# # SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 460079160.000000 178.065500 0.00020066
66 460079240.000000 178.220500 0.00020072
67 460079320.000000 178.373500 0.000200779
68 460079400.000000 178.529500 0.00020066
69 460079480.000000 178.682500 0.000200481
70 460079560.000000 178.837500 0.000200422
71 460079640.000000 178.995500 0.000200511
72 460079720.000000 179.147500 0.000200571
73 460079800.000000 179.304000 0.000200779
74 460079880.000000 179.460500 0.00020066
75 460079960.000000 179.610500 0.00020066
76 460080040.000000 179.767500 0.000200541
77 460080120.000000 179.919500 0.000200511
78 460080200.000000 180.075500 0.000200481
79 460080280.000000 180.233000 0.00020063
80 460080360.000000 180.385500 0.00020072
81 460080440.000000 180.540000 0.000200779
82 460080520.000000 180.696000 0.000200571
83 460080600.000000 180.850500 0.000200511
84 460080680.000000 181.005500 0.000200481
85 460080760.000000 181.159000 0.000200481
86 460080840.000000 181.315000 0.00020066
87 460080920.000000 181.474500 0.000200779
88 460081000.000000 181.628000 0.000200749
89 460081080.000000 181.784500 0.00020063
90 460081160.000000 181.940500 0.000200511
91 460081240.000000 182.095000 0.000200451
92 460081320.000000 182.250000 0.000200422
93 460081400.000000 182.405000 0.00020066
94 460081480.000000 182.559500 0.000200779
95 460081560.000000 182.716000 0.000200809
96 460081640.000000 182.873000 0.00020066
97 460081720.000000 183.027000 0.000200392
98 460081800.000000 183.182500 0.000200392
99 460081880.000000 183.341000 0.000200481
100 460081960.000000 183.493000 0.00020072
101 460082040.000000 183.647500 0.000200779
102 460082120.000000 183.803500 0.00020063
103 460082200.000000 183.955000 0.0002006
104 460082280.000000 184.113000 0.000200392
105 460082360.000000 184.266500 0.000200392
106 460082440.000000 184.422500 0.00020063
107 460082520.000000 184.579000 0.000200809
108 460082600.000000 184.731500 0.000200869
109 460082680.000000 184.887500 0.00020069
110 460082760.000000 185.044000 0.000200571
111 460082840.000000 185.197500 0.000200451
112 460082920.000000 185.352500 0.00020063
113 460083000.000000 185.508000 0.00020072
114 460083080.000000 185.660500 0.00020072
115 460083160.000000 185.817000 0.000200809
116 460083240.000000 185.971500 0.00020066
117 460083320.000000 186.125000 0.000200571
118 460083400.000000 186.282500 0.0002006
119 460083480.000000 186.435500 0.000200541
120 460083560.000000 186.593500 0.00020072
121 460083640.000000 186.750500 0.000200779
122 460083720.000000 186.907500 0.000200809
123 460083800.000000 187.060500 0.000200779
124 460083880.000000 187.212500 0.000200749
125 460083960.000000 187.371000 0.00020072
126 460084040.000000 187.525500 0.00020063
127 460084120.000000 187.680000 0.00020069
128 460084200.000000 187.836000 0.00020066
129 460084280.000000 187.991000 0.000200571
130 460084360.000000 188.150000 0.00020069
131 460084440.000000 188.302500 0.00020066
132 460084520.000000 188.455000 0.00020066
133 460084600.000000 188.611000 0.00020063
134 460084680.000000 188.765000 0.00020063
135 460084760.000000 188.920500 0.000200571
136 460084840.000000 189.075000 0.000200571
137 460084920.000000 189.231500 0.00020072
138 460085000.000000 189.386000 0.000200749
139 460085080.000000 189.541000 0.000200749
140 460085160.000000 189.698000 0.00020063
141 460085240.000000 189.850500 0.000200481
142 460085320.000000 190.005500 0.000200481
143 460085400.000000 190.159500 0.00020063
