# SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 394692640.000000 178.067000 0.000187577
66 394692720.000000 178.223500 0.000187487
67 394692800.000000 178.379000 0.000187547
68 394692880.000000 178.532000 0.000187398
69 394692960.000000 178.688000 0.000187428
70 394693040.000000 178.842500 0.000187458
71 394693120.000000 178.998500 0.000187547
72 394693200.000000 179.154000 0.000187577
73 394693280.000000 179.310500 0.000187666
74 394693360.000000 179.463500 0.000187666
75 394693440.000000 179.617500 0.000187636
76 394693520.000000 179.775500 0.000187577
77 394693600.000000 179.927500 0.000187547
78 394693680.000000 180.081500 0.000187487
79 394693760.000000 180.237000 0.000187577
80 394693840.000000 180.389500 0.000187547
81 394693920.000000 180.547000 0.000187636
82 394694000.000000 180.700500 0.000187636
83 394694080.000000 180.853000 0.000187666
84 394694160.000000 181.010000 0.000187636
85 394694240.000000 181.164000 0.000187636
86 394694320.000000 181.318000 0.000187607
87 394694400.000000 181.477000 0.000187577
88 394694480.000000 181.629000 0.000187607
89 394694560.000000 181.787500 0.000187517
90 394694640.000000 181.944000 0.000187547
91 394694720.000000 182.098000 0.000187696
92 394694800.000000 182.254000 0.000187666
93 394694880.000000 182.408500 0.000187666
94 394694960.000000 182.563500 0.000187607
95 394695040.000000 182.718500 0.000187607
96 394695120.000000 182.877500 0.000187547
97 394695200.000000 183.031500 0.000187517
98 394695280.000000 183.185500 0.000187547
99 394695360.000000 183.345500 0.000187607
100 394695440.000000 183.497500 0.000187607
101 394695520.000000 183.652500 0.000187666
102 394695600.000000 183.804500 0.000187636
103 394695680.000000 183.960000 0.000187726
104 394695760.000000 184.117000 0.000187636
105 394695840.000000 184.272000 0.000187577
106 394695920.000000 184.426000 0.000187577
107 394696000.000000 184.584000 0.000187607
108 394696080.000000 184.735500 0.000187666
109 394696160.000000 184.892000 0.000187696
110 394696240.000000 185.045500 0.000187756
111 394696320.000000 185.200000 0.000187756
112 394696400.000000 185.354500 0.000187696
113 394696480.000000 185.511500 0.000187696
114 394696560.000000 185.665000 0.000187547
115 394696640.000000 185.822500 0.000187607
116 394696720.000000 185.977000 0.000187636
117 394696800.000000 186.131000 0.000187636
118 394696880.000000 186.288000 0.000187815
119 394696960.000000 186.440000 0.000187815
120 394697040.000000 186.599000 0.000187934
121 394697120.000000 186.755000 0.000187845
122 394697200.000000 186.908500 0.000187756
123 394697280.000000 187.066000 0.000187726
124 394697360.000000 187.220500 0.000187577
125 394697440.000000 187.374500 0.000187577
126 394697520.000000 187.531000 0.000187607
127 394697600.000000 187.687000 0.000187577
128 394697680.000000 187.842000 0.000187726
129 394697760.000000 187.994000 0.000187845
130 394697840.000000 188.150000 0.000187905
131 394697920.000000 188.307000 0.000187905
132 394698000.000000 188.462500 0.000187785
133 394698080.000000 188.615500 0.000187666
134 394698160.000000 188.766000 0.000187636
135 394698240.000000 188.924000 0.000187577
136 394698320.000000 189.080000 0.000187547
137 394698400.000000 189.232000 0.000187696
138 394698480.000000 189.389500 0.000187756
139 394698560.000000 189.545500 0.000187934
140 394698640.000000 189.701500 0.000187905
141 394698720.000000 189.855000 0.000187934
142 394698800.000000 190.010000 0.000187845
143 394698880.000000 190.163000 0.000187785
