# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 396471640.000000 177.947000 0.0001826
65 396471720.000000 178.100500 0.000182689
66 396471800.000000 178.256000 0.000182689
67 396471880.000000 178.412500 0.000182719
68 396471960.000000 178.566000 0.00018263
69 396472040.000000 178.719000 0.00018263
70 396472120.000000 178.872500 0.00018263
71 396472200.000000 179.028000 0.0001826
72 396472280.000000 179.185000 0.000182659
73 396472360.000000 179.339500 0.000182719
74 396472440.000000 179.494000 0.000182749
75 396472520.000000 179.648000 0.00018263
76 396472600.000000 179.805000 0.00018251
77 396472680.000000 179.962000 0.0001826
78 396472760.000000 180.111500 0.0001826
79 396472840.000000 180.266000 0.000182659
80 396472920.000000 180.421000 0.000182659
81 396473000.000000 180.577000 0.000182719
82 396473080.000000 180.732000 0.000182749
83 396473160.000000 180.883500 0.000182808
84 396473240.000000 181.041000 0.000182749
85 396473320.000000 181.198000 0.000182749
86 396473400.000000 181.351500 0.00018257
87 396473480.000000 181.507000 0.00018263
88 396473560.000000 181.663500 0.00018251
89 396473640.000000 181.819000 0.000182659
90 396473720.000000 181.976000 0.000182749
91 396473800.000000 182.131500 0.000182749
92 396473880.000000 182.285000 0.000182779
93 396473960.000000 182.439500 0.000182779
94 396474040.000000 182.598000 0.000182779
95 396474120.000000 182.754000 0.000182689
96 396474200.000000 182.907000 0.00018263
97 396474280.000000 183.066000 0.00018263
98 396474360.000000 183.217500 0.00018263
99 396474440.000000 183.375500 0.000182689
100 396474520.000000 183.531000 0.000182749
101 396474600.000000 183.680500 0.000182779
102 396474680.000000 183.837500 0.000182779
103 396474760.000000 183.993500 0.000182719
104 396474840.000000 184.146500 0.000182779
105 396474920.000000 184.303500 0.000182719
106 396475000.000000 184.459500 0.000182719
107 396475080.000000 184.613500 0.000182659
108 396475160.000000 184.768000 0.00018263
109 396475240.000000 184.923500 0.000182749
110 396475320.000000 185.078500 0.000182779
111 396475400.000000 185.233000 0.000182868
112 396475480.000000 185.390000 0.000182838
113 396475560.000000 185.543500 0.000182779
114 396475640.000000 185.698000 0.000182719
115 396475720.000000 185.851500 0.000182719
116 396475800.000000 186.007000 0.000182719
117 396475880.000000 186.161000 0.000182749
118 396475960.000000 186.319000 0.000182808
119 396476040.000000 186.472500 0.000182838
120 396476120.000000 186.630500 0.000182898
121 396476200.000000 186.785000 0.000182898
122 396476280.000000 186.940000 0.000182868
123 396476360.000000 187.099000 0.000182898
124 396476440.000000 187.250500 0.000182868
125 396476520.000000 187.407000 0.000182779
126 396476600.000000 187.560000 0.000182779
127 396476680.000000 187.715500 0.000182868
128 396476760.000000 187.873500 0.000182928
129 396476840.000000 188.026500 0.000182987
130 396476920.000000 188.181500 0.000182898
131 396477000.000000 188.335500 0.000182898
132 396477080.000000 188.489000 0.000182838
133 396477160.000000 188.646500 0.000182808
134 396477240.000000 188.800000 0.000182719
135 396477320.000000 188.954000 0.000182689
136 396477400.000000 189.112000 0.000182689
137 396477480.000000 189.265000 0.000182749
138 396477560.000000 189.421500 0.000182928
139 396477640.000000 189.577500 0.000183017
140 396477720.000000 189.730500 0.000183017
141 396477800.000000 189.887500 0.000182987
142 396477880.000000 190.041000 0.000182868
143 396477960.000000 190.198000 0.000182779
