# # NO SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
58 639620880.000000 177.006500 9.85567e-005
59 639620960.000000 177.163000 9.85567e-005
60 639621040.000000 177.318500 9.84077e-005
61 639621120.000000 177.474500 9.84375e-005
62 639621200.000000 177.628500 9.84971e-005
63 639621280.000000 177.786000 9.84077e-005
64 639621360.000000 177.939500 9.85269e-005
65 639621440.000000 178.093000 9.85865e-005
66 639621520.000000 178.251000 9.85567e-005
67 639621600.000000 178.403500 9.85269e-005
68 639621680.000000 178.558500 9.85269e-005
69 639621760.000000 178.711500 9.84077e-005
70 639621840.000000 178.867000 9.85865e-005
71 639621920.000000 179.025000 9.84971e-005
72 639622000.000000 179.178000 9.85567e-005
73 639622080.000000 179.332000 9.84375e-005
74 639622160.000000 179.486500 9.84077e-005
75 639622240.000000 179.641500 9.83779e-005
76 639622320.000000 179.800500 9.83779e-005
77 639622400.000000 179.951500 9.83183e-005
78 639622480.000000 180.106500 9.81991e-005
79 639622560.000000 180.263500 9.81693e-005
80 639622640.000000 180.415500 9.81097e-005
81 639622720.000000 180.571000 9.81991e-005
82 639622800.000000 180.727000 9.82885e-005
83 639622880.000000 180.878000 9.81991e-005
84 639622960.000000 181.035500 9.82587e-005
85 639623040.000000 181.191000 9.83183e-005
86 639623120.000000 181.343500 9.82587e-005
87 639623200.000000 181.501000 9.82885e-005
88 639623280.000000 181.657500 9.81097e-005
89 639623360.000000 181.816000 9.81395e-005
90 639623440.000000 181.970000 9.80799e-005
91 639623520.000000 182.125500 9.81395e-005
92 639623600.000000 182.282000 9.81991e-005
93 639623680.000000 182.434000 9.81395e-005
94 639623760.000000 182.592000 9.81991e-005
95 639623840.000000 182.747500 9.83183e-005
96 639623920.000000 182.901000 9.84077e-005
97 639624000.000000 183.060500 9.83183e-005
98 639624080.000000 183.212500 9.82587e-005
99 639624160.000000 183.370500 9.81693e-005
100 639624240.000000 183.525500 9.82289e-005
101 639624320.000000 183.676500 9.81991e-005
102 639624400.000000 183.833500 9.82587e-005
103 639624480.000000 183.988000 9.81395e-005
104 639624560.000000 184.142000 9.81693e-005
105 639624640.000000 184.299500 9.81097e-005
106 639624720.000000 184.453500 9.81693e-005
107 639624800.000000 184.605000 9.81097e-005
108 639624880.000000 184.761000 9.80501e-005
109 639624960.000000 184.916000 9.81395e-005
110 639625040.000000 185.073500 9.80799e-005
111 639625120.000000 185.228000 9.80501e-005
112 639625200.000000 185.382500 9.79607e-005
113 639625280.000000 185.538000 9.79905e-005
114 639625360.000000 185.691500 9.80203e-005
115 639625440.000000 185.846500 9.79309e-005
116 639625520.000000 186.000500 9.79905e-005
117 639625600.000000 186.153000 9.79309e-005
118 639625680.000000 186.311000 9.79011e-005
119 639625760.000000 186.466500 9.79011e-005
120 639625840.000000 186.623000 9.78713e-005
121 639625920.000000 186.778000 9.78713e-005
122 639626000.000000 186.934000 9.78117e-005
123 639626080.000000 187.092000 9.77819e-005
124 639626160.000000 187.243500 9.77819e-005
125 639626240.000000 187.398500 9.77521e-005
126 639626320.000000 187.554000 9.77223e-005
127 639626400.000000 187.710000 9.77521e-005
128 639626480.000000 187.868000 9.78415e-005
129 639626560.000000 188.019000 9.78415e-005
