# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
1788 640944860.000000 445.409000 8.04071e-005
1789 640944940.000000 445.566500 8.03773e-005
1790 640945020.000000 445.723500 8.02879e-005
1791 640945100.000000 445.876500 8.03177e-005
1792 640945180.000000 446.030500 8.03177e-005
1793 640945260.000000 446.187500 8.03475e-005
1794 640945340.000000 446.345500 8.04071e-005
1795 640945420.000000 446.496500 8.03773e-005
1796 640945500.000000 446.651500 8.03475e-005
1797 640945580.000000 446.810000 8.02879e-005
1798 640945660.000000 446.961000 8.03177e-005
1799 640945740.000000 447.119500 8.04071e-005
1800 640945820.000000 447.275000 8.03475e-005
1801 640945900.000000 447.428500 8.04071e-005
1802 640945980.000000 447.586500 8.03773e-005
1803 640946060.000000 447.739000 8.03177e-005
1804 640946140.000000 447.895500 8.02879e-005
1805 640946220.000000 448.048000 8.02581e-005
1806 640946300.000000 448.205000 8.02879e-005
1807 640946380.000000 448.360000 8.03177e-005
1808 640946460.000000 448.515000 8.02879e-005
1809 640946540.000000 448.673000 8.02581e-005
1810 640946620.000000 448.826500 8.01687e-005
1811 640946700.000000 448.982000 8.01687e-005
1812 640946780.000000 449.136500 8.02283e-005
1813 640946860.000000 449.290500 8.03177e-005
1814 640946940.000000 449.447000 8.03177e-005
1815 640947020.000000 449.601000 8.02879e-005
1816 640947100.000000 449.756500 8.01985e-005
1817 640947180.000000 449.911000 8.01389e-005
1818 640947260.000000 450.064500 8.01985e-005
1819 640947340.000000 450.219500 8.02879e-005
1820 640947420.000000 450.376000 8.02879e-005
1821 640947500.000000 450.526500 8.03177e-005
1822 640947580.000000 450.684000 8.02283e-005
1823 640947660.000000 450.838000 8.01389e-005
1824 640947740.000000 450.997000 8.01091e-005
1825 640947820.000000 451.149500 8.02581e-005
1826 640947900.000000 451.305000 8.02581e-005
1827 640947980.000000 451.460000 8.02879e-005
1828 640948060.000000 451.615500 8.01985e-005
1829 640948140.000000 451.772500 8.01985e-005
1830 640948220.000000 451.925500 8.01091e-005
1831 640948300.000000 452.081000 8.02283e-005
1832 640948380.000000 452.236500 8.01687e-005
1833 640948460.000000 452.394000 8.01687e-005
1834 640948540.000000 452.544500 8.01687e-005
1835 640948620.000000 452.704500 8.01687e-005
1836 640948700.000000 452.860000 8.01389e-005
1837 640948780.000000 453.014000 8.00197e-005
1838 640948860.000000 453.166500 8.01091e-005
1839 640948940.000000 453.322000 8.01091e-005
1840 640949020.000000 453.477500 8.01389e-005
1841 640949100.000000 453.635000 8.01985e-005
1842 640949180.000000 453.790500 8.01687e-005
1843 640949260.000000 453.945000 8.00495e-005
1844 640949340.000000 454.097500 8.00197e-005
1845 640949420.000000 454.257000 8.00495e-005
1846 640949500.000000 454.408000 8.00197e-005
1847 640949580.000000 454.562000 8.00793e-005
1848 640949660.000000 454.715000 8.01985e-005
1849 640949740.000000 454.871500 8.00197e-005
1850 640949820.000000 455.027500 8.01687e-005
1851 640949900.000000 455.182500 8.01091e-005
1852 640949980.000000 455.335000 7.99601e-005
1853 640950060.000000 455.491500 7.99899e-005
1854 640950140.000000 455.646500 8.00495e-005
1855 640950220.000000 455.802000 8.00495e-005
1856 640950300.000000 455.959000 8.00197e-005
1857 640950380.000000 456.112500 8.00495e-005
1858 640950460.000000 456.270500 8.00495e-005
1859 640950540.000000 456.423500 8.00197e-005
1860 640950620.000000 456.581500 8.01091e-005
1861 640950700.000000 456.734500 8.00197e-005
1862 640950780.000000 456.889000 8.01389e-005
1863 640950860.000000 457.044500 8.01389e-005
1864 640950940.000000 457.203000 8.00197e-005
