# # SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
65 644402460.000000 178.063500 0.000138194
66 644402540.000000 178.221000 0.000138224
67 644402620.000000 178.373000 0.000138135
68 644402700.000000 178.529000 0.000138164
69 644402780.000000 178.683500 0.000137986
70 644402860.000000 178.836000 0.000138045
71 644402940.000000 178.995000 0.000138075
72 644403020.000000 179.147000 0.000138194
73 644403100.000000 179.303500 0.000138254
74 644403180.000000 179.460000 0.000138135
75 644403260.000000 179.609000 0.000138224
76 644403340.000000 179.765000 0.000138045
77 644403420.000000 179.918500 0.000137986
78 644403500.000000 180.076000 0.000137986
79 644403580.000000 180.230500 0.000138135
80 644403660.000000 180.382000 0.000138075
81 644403740.000000 180.540000 0.000138075
82 644403820.000000 180.694500 0.000138015
83 644403900.000000 180.848500 0.000138015
84 644403980.000000 181.004500 0.000137926
85 644404060.000000 181.159500 0.000137956
86 644404140.000000 181.314000 0.000137986
87 644404220.000000 181.471000 0.000137956
88 644404300.000000 181.626000 0.000137956
89 644404380.000000 181.782000 0.000137956
90 644404460.000000 181.938000 0.000137866
91 644404540.000000 182.096500 0.000137837
92 644404620.000000 182.248000 0.000137866
93 644404700.000000 182.403000 0.000137866
94 644404780.000000 182.561500 0.000137986
95 644404860.000000 182.714000 0.000138015
96 644404940.000000 182.871000 0.000138045
97 644405020.000000 183.027500 0.000137866
98 644405100.000000 183.179500 0.000137807
99 644405180.000000 183.338500 0.000137837
100 644405260.000000 183.493500 0.000137837
101 644405340.000000 183.645500 0.000137926
102 644405420.000000 183.801500 0.000137896
103 644405500.000000 183.955000 0.000137777
104 644405580.000000 184.109500 0.000137598
105 644405660.000000 184.266500 0.000137509
106 644405740.000000 184.423000 0.000137628
107 644405820.000000 184.577000 0.000137747
108 644405900.000000 184.731500 0.000137896
109 644405980.000000 184.888500 0.000137926
110 644406060.000000 185.042500 0.000137807
111 644406140.000000 185.197000 0.000137688
112 644406220.000000 185.353000 0.000137688
113 644406300.000000 185.505500 0.000137658
114 644406380.000000 185.660500 0.000137777
115 644406460.000000 185.817000 0.000137688
116 644406540.000000 185.969500 0.000137747
117 644406620.000000 186.126000 0.000137688
118 644406700.000000 186.282500 0.000137658
119 644406780.000000 186.434000 0.000137598
120 644406860.000000 186.590000 0.000137509
121 644406940.000000 186.747000 0.000137688
122 644407020.000000 186.904500 0.000137717
123 644407100.000000 187.058500 0.000137717
124 644407180.000000 187.211500 0.000137658
125 644407260.000000 187.371000 0.000137509
