# # NO SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
64 648143800.000000 177.942000 0.000141383
65 648143880.000000 178.093000 0.000141473
66 648143960.000000 178.251000 0.000141532
67 648144040.000000 178.405500 0.000141502
68 648144120.000000 178.558500 0.000141473
69 648144200.000000 178.714000 0.000141473
70 648144280.000000 178.869000 0.000141413
71 648144360.000000 179.024000 0.000141443
72 648144440.000000 179.180000 0.000141353
73 648144520.000000 179.331500 0.000141443
74 648144600.000000 179.488500 0.000141443
75 648144680.000000 179.641500 0.000141443
76 648144760.000000 179.799000 0.000141383
77 648144840.000000 179.953500 0.000141324
78 648144920.000000 180.108000 0.000141324
79 648145000.000000 180.261500 0.000141353
80 648145080.000000 180.416500 0.000141353
81 648145160.000000 180.571000 0.000141234
82 648145240.000000 180.727500 0.000141175
83 648145320.000000 180.879500 0.000141145
84 648145400.000000 181.035500 0.000141026
85 648145480.000000 181.192500 0.000141085
86 648145560.000000 181.345500 0.000141145
87 648145640.000000 181.504000 0.000141204
88 648145720.000000 181.660000 0.000141264
89 648145800.000000 181.815500 0.000141115
90 648145880.000000 181.972500 0.000141085
91 648145960.000000 182.125500 0.000141055
92 648146040.000000 182.283500 0.000141055
93 648146120.000000 182.438000 0.000141115
94 648146200.000000 182.594000 0.000141204
95 648146280.000000 182.748500 0.000141234
96 648146360.000000 182.905000 0.000141145
97 648146440.000000 183.063500 0.000141204
98 648146520.000000 183.214500 0.000141085
99 648146600.000000 183.369000 0.000140996
100 648146680.000000 183.524000 0.000141234
101 648146760.000000 183.677500 0.000141175
102 648146840.000000 183.832500 0.000141294
103 648146920.000000 183.986000 0.000141115
104 648147000.000000 184.143500 0.000140996
105 648147080.000000 184.298500 0.000141055
106 648147160.000000 184.451000 0.000140996
107 648147240.000000 184.609000 0.000141085
108 648147320.000000 184.760000 0.000141085
109 648147400.000000 184.915000 0.000141085
110 648147480.000000 185.072500 0.000141115
111 648147560.000000 185.224000 0.000140906
112 648147640.000000 185.380000 0.000140906
113 648147720.000000 185.537000 0.000140906
114 648147800.000000 185.688500 0.000140996
115 648147880.000000 185.845500 0.000141085
116 648147960.000000 186.002000 0.000140996
117 648148040.000000 186.154500 0.000140787
118 648148120.000000 186.311500 0.000140638
119 648148200.000000 186.468000 0.000140638
120 648148280.000000 186.623000 0.000140638
121 648148360.000000 186.782000 0.000140698
122 648148440.000000 186.932000 0.000140817
123 648148520.000000 187.089500 0.000140817
124 648148600.000000 187.245000 0.000140877
125 648148680.000000 187.403500 0.000140847
126 648148760.000000 187.558500 0.000140847
127 648148840.000000 187.711000 0.000140906
128 648148920.000000 187.869500 0.000140936
129 648149000.000000 188.021500 0.000140966
130 648149080.000000 188.180500 0.000140877
131 648149160.000000 188.335500 0.000140906
132 648149240.000000 188.486500 0.000140906
133 648149320.000000 188.643500 0.000140698
134 648149400.000000 188.796000 0.000140698
135 648149480.000000 188.952000 0.000140698
136 648149560.000000 189.108000 0.000140787
137 648149640.000000 189.260500 0.000140877
138 648149720.000000 189.419500 0.000140787
139 648149800.000000 189.571500 0.000140698
140 648149880.000000 189.727000 0.000140549
141 648149960.000000 189.884000 0.000140519
142 648150040.000000 190.036500 0.000140549
143 648150120.000000 190.192500 0.000140668
