# NO SAMPLE-- ONE ARM SCANS
8
move after scan: 0(m1), 0(m2)

FTS continuous move, 95 GHz source, no bandpass filter; rect horn on source, 
long circular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 2.00. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 517276160.000000 178.014000 0.000100852
1 517276240.000000 178.168500 0.000100613
2 517276320.000000 178.321000 0.000100613
3 517276400.000000 178.474000 0.000100613
4 517276480.000000 178.619500 0.000100613
5 517276560.000000 178.770500 0.000100852
6 517276640.000000 178.925500 0.000100852
7 517276720.000000 179.080000 0.000100613
8 517276800.000000 179.233500 0.000100613
9 517276880.000000 179.386500 0.000100613
10 517276960.000000 179.542500 0.000100613
11 517277040.000000 179.699500 0.000100613
12 517277120.000000 179.851000 0.000100613
13 517277200.000000 180.008500 0.000100613
14 517277280.000000 180.163500 0.000100613
15 517277360.000000 180.319500 0.000100613
16 517277440.000000 180.472500 0.000100613
17 517277520.000000 180.625500 0.000100613
18 517277600.000000 180.782000 0.000100613
19 517277680.000000 180.937500 0.000100613
20 517277760.000000 181.093000 0.000100613
21 517277840.000000 181.246500 0.000100613
22 517277920.000000 181.402500 0.000100613
23 517278000.000000 181.561000 0.000100613
24 517278080.000000 181.714500 0.000100613
25 517278160.000000 181.871000 0.000100613
26 517278240.000000 182.029500 0.000100613
27 517278320.000000 182.180500 0.000100613
28 517278400.000000 182.338000 0.000100613
29 517278480.000000 182.493500 0.000100613
30 517278560.000000 182.645000 0.000100613
31 517278640.000000 182.804500 0.000100613
32 517278720.000000 182.961500 0.000100613
33 517278800.000000 183.114000 0.000100613
34 517278880.000000 183.270500 0.000100613
35 517278960.000000 183.425500 0.000100613
36 517279040.000000 183.579500 0.000100613
37 517279120.000000 183.734000 0.000100613
38 517279200.000000 183.887500 0.000100613
39 517279280.000000 184.042000 0.000100613
40 517279360.000000 184.198500 0.000100613
41 517279440.000000 184.353000 0.000100613
42 517279520.000000 184.509000 0.000100613
43 517279600.000000 184.662500 0.000100613
44 517279680.000000 184.818000 0.000100375
45 517279760.000000 184.973000 0.000100613
46 517279840.000000 185.130000 0.000100613
47 517279920.000000 185.284000 0.000100613
48 517280000.000000 185.437500 0.000100613
49 517280080.000000 185.597000 0.000100375
50 517280160.000000 185.749000 0.000100613
51 517280240.000000 185.903500 0.000100375
52 517280320.000000 186.058000 0.000100375
53 517280400.000000 186.212500 0.000100613
54 517280480.000000 186.371000 0.000100375
55 517280560.000000 186.525000 0.000100375
56 517280640.000000 186.680000 0.000100375
57 517280720.000000 186.838000 0.000100375
58 517280800.000000 186.993000 0.000100375
59 517280880.000000 187.148500 0.000100375
60 517280960.000000 187.303000 0.000100375
61 517281040.000000 187.458000 0.000100375
62 517281120.000000 187.615000 0.000100613
63 517281200.000000 187.767500 0.000100375
64 517281280.000000 187.925000 0.000100375
65 517281360.000000 188.078000 0.000100375
66 517281440.000000 188.233500 0.000100375
67 517281520.000000 188.389500 0.000100375
68 517281600.000000 188.542500 0.000100375
69 517281680.000000 188.697500 0.000100375
70 517281760.000000 188.851500 0.000100375
71 517281840.000000 189.005500 0.000100375
72 517281920.000000 189.161000 0.000100375
73 517282000.000000 189.316000 0.000100375
