# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3014769460.000000 168.022500 0.00014028
1 3014769540.000000 168.176000 0.000140221
2 3014769620.000000 168.332000 0.00014031
3 3014769700.000000 168.486000 0.000140221
4 3014769780.000000 168.641500 0.000140191
5 3014769860.000000 168.796000 0.000140191
6 3014769940.000000 168.950000 0.000140191
7 3014770020.000000 169.103500 0.000140221
8 3014770100.000000 169.258500 0.000140191
9 3014770180.000000 169.413500 0.000140221
10 3014770260.000000 169.566500 0.000140191
11 3014770340.000000 169.720500 0.000140131
12 3014770420.000000 169.877500 0.000140131
13 3014770500.000000 170.030000 0.000140221
14 3014770580.000000 170.184000 0.000140191
15 3014770660.000000 170.342000 0.000140191
16 3014770740.000000 170.494000 0.000140131
17 3014770820.000000 170.649500 0.000140131
18 3014770900.000000 170.807000 0.000140131
19 3014770980.000000 170.959500 0.000140131
20 3014771060.000000 171.118000 0.000140131
21 3014771140.000000 171.276000 0.000140191
22 3014771220.000000 171.430000 0.000140131
23 3014771300.000000 171.587500 0.000140131
24 3014771380.000000 171.743000 0.000140131
