# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3012770040.000000 168.024500 0.000143261
1 3012770120.000000 168.177000 0.00014332
2 3012770200.000000 168.329000 0.000143261
3 3012770280.000000 168.484000 0.000143261
4 3012770360.000000 168.638500 0.00014329
5 3012770440.000000 168.792500 0.00014329
6 3012770520.000000 168.946000 0.000143201
7 3012770600.000000 169.100000 0.000143231
8 3012770680.000000 169.255000 0.000143201
9 3012770760.000000 169.411000 0.000143201
10 3012770840.000000 169.563500 0.000143231
11 3012770920.000000 169.717500 0.000143201
12 3012771000.000000 169.874500 0.000143201
13 3012771080.000000 170.026500 0.000143201
14 3012771160.000000 170.180500 0.000143201
15 3012771240.000000 170.339000 0.000143201
16 3012771320.000000 170.490500 0.000143201
17 3012771400.000000 170.646000 0.000143201
18 3012771480.000000 170.803500 0.000143171
19 3012771560.000000 170.956000 0.000143171
20 3012771640.000000 171.114500 0.000143201
21 3012771721.000000 171.273000 0.000143171
22 3012771800.000000 171.426500 0.000143141
23 3012771880.000000 171.584000 0.000143112
24 3012771960.000000 171.740000 0.000143082
