# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3015768981.000000 168.037500 0.0001404
1 3015769080.000000 168.186000 0.000140429
2 3015769160.000000 168.334500 0.0001404
3 3015769240.000000 168.490500 0.00014037
4 3015769320.000000 168.646500 0.00014031
5 3015769400.000000 168.800000 0.00014034
6 3015769480.000000 168.951500 0.00014034
7 3015769560.000000 169.107000 0.00014037
8 3015769640.000000 169.261500 0.00014034
9 3015769720.000000 169.417000 0.00014037
10 3015769800.000000 169.570000 0.00014037
11 3015769880.000000 169.723500 0.00014034
12 3015769960.000000 169.881000 0.00014028
13 3015770040.000000 170.033500 0.00014031
14 3015770120.000000 170.187000 0.00014028
15 3015770200.000000 170.341500 0.00014028
16 3015770280.000000 170.496000 0.00014031
17 3015770360.000000 170.652000 0.00014028
18 3015770440.000000 170.808500 0.00014031
19 3015770520.000000 170.962000 0.00014028
20 3015770600.000000 171.120500 0.00014034
21 3015770680.000000 171.277500 0.00014028
22 3015770760.000000 171.432000 0.00014031
23 3015770840.000000 171.590500 0.000140251
24 3015770920.000000 171.742500 0.000140221
