# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3013289620.000000 129.700000 0.000142247
1 3013289700.000000 129.856000 0.000142218
2 3013289780.000000 130.007000 0.000142247
3 3013289860.000000 130.162000 0.000142218
4 3013289940.000000 130.317000 0.000142247
5 3013290020.000000 130.474000 0.000142188
6 3013290100.000000 130.628500 0.000142188
7 3013290180.000000 130.785000 0.000142188
8 3013290260.000000 130.942500 0.000142218
9 3013290340.000000 131.097000 0.000142188
10 3013290420.000000 131.256000 0.000142128
11 3013290500.000000 131.407500 0.000142218
12 3013290580.000000 131.564000 0.000142098
13 3013290660.000000 131.720500 0.000142158
14 3013290740.000000 131.874000 0.000142158
15 3013290820.000000 132.030500 0.000142128
16 3013290900.000000 132.183000 0.000142128
17 3013290980.000000 132.338000 0.000142098
18 3013291060.000000 132.495500 0.000142128
19 3013291140.000000 132.649000 0.000142069
20 3013291220.000000 132.801000 0.000142098
21 3013291300.000000 132.958500 0.000142069
22 3013291380.000000 133.111500 0.000142069
23 3013291460.000000 133.269000 0.000142069
24 3013291540.000000 133.424000 0.000142098
