# #NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4050456540.000000 177.472500 0.000216068
62 4050456620.000000 177.628000 0.000216098
63 4050456700.000000 177.784500 0.000216068
64 4050456780.000000 177.939000 0.000216127
65 4050456860.000000 178.092500 0.000216038
66 4050456940.000000 178.248500 0.000215949
67 4050457020.000000 178.403000 0.000216008
68 4050457100.000000 178.558500 0.000215978
69 4050457180.000000 178.712500 0.000215949
70 4050457260.000000 178.868000 0.000216008
71 4050457340.000000 179.023000 0.000216008
72 4050457420.000000 179.179000 0.000216008
73 4050457500.000000 179.334500 0.000215978
74 4050457580.000000 179.488500 0.000216098
75 4050457660.000000 179.641500 0.000215978
76 4050457740.000000 179.798500 0.000215978
77 4050457820.000000 179.953000 0.000215949
78 4050457900.000000 180.107500 0.000215859
79 4050457980.000000 180.263500 0.000216008
80 4050458060.000000 180.416000 0.000216008
81 4050458140.000000 180.572000 0.000216008
82 4050458220.000000 180.728000 0.000216008
83 4050458300.000000 180.879000 0.000215978
84 4050458380.000000 181.035000 0.000215949
85 4050458460.000000 181.192500 0.000215919
86 4050458540.000000 181.345500 0.000215889
87 4050458620.000000 181.502000 0.000215829
88 4050458700.000000 181.659000 0.000215889
89 4050458780.000000 181.814000 0.000215978
90 4050458860.000000 181.971000 0.000216008
91 4050458940.000000 182.123500 0.000216068
92 4050459020.000000 182.280500 0.000216038
93 4050459100.000000 182.436000 0.000215949
94 4050459180.000000 182.590000 0.000215919
95 4050459260.000000 182.745000 0.000215859
96 4050459340.000000 182.899500 0.000215919
97 4050459420.000000 183.057500 0.000215859
98 4050459500.000000 183.212000 0.000215919
99 4050459580.000000 183.366500 0.000215919
100 4050459660.000000 183.521500 0.000216068
101 4050459740.000000 183.676500 0.000216008
102 4050459820.000000 183.830500 0.000215919
103 4050459900.000000 183.984500 0.000215889
104 4050459980.000000 184.137500 0.000215829
105 4050460060.000000 184.295500 0.00021571
106 4050460140.000000 184.451000 0.0002158
107 4050460220.000000 184.605000 0.000215829
108 4050460300.000000 184.761000 0.000215889
109 4050460380.000000 184.917000 0.000216038
110 4050460460.000000 185.070500 0.000215978
111 4050460540.000000 185.225000 0.000216008
112 4050460620.000000 185.381000 0.000215949
113 4050460700.000000 185.535000 0.00021577
114 4050460780.000000 185.689500 0.000215651
115 4050460860.000000 185.845500 0.00021568
116 4050460940.000000 185.998500 0.000215651
117 4050461020.000000 186.154500 0.00021577
