# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
61 4050992140.000000 177.454500 0.000192405
62 4050992220.000000 177.608500 0.000192464
63 4050992300.000000 177.766500 0.000192524
64 4050992380.000000 177.920500 0.000192613
65 4050992460.000000 178.075000 0.000192494
66 4050992540.000000 178.232500 0.000192494
67 4050992620.000000 178.384500 0.000192494
68 4050992700.000000 178.541000 0.000192435
69 4050992780.000000 178.695500 0.000192435
70 4050992860.000000 178.848000 0.000192464
71 4050992940.000000 179.005500 0.000192494
72 4050993020.000000 179.162000 0.000192435
73 4050993100.000000 179.315000 0.000192494
74 4050993180.000000 179.472500 0.000192554
75 4050993260.000000 179.625000 0.000192435
76 4050993340.000000 179.780500 0.000192375
77 4050993420.000000 179.936000 0.000192405
78 4050993500.000000 180.088500 0.000192405
79 4050993580.000000 180.245500 0.000192345
80 4050993660.000000 180.399500 0.000192435
81 4050993740.000000 180.552500 0.000192464
82 4050993820.000000 180.708500 0.000192435
83 4050993900.000000 180.863000 0.000192435
84 4050993980.000000 181.017000 0.000192435
85 4050994060.000000 181.172500 0.000192435
86 4050994140.000000 181.329000 0.000192345
87 4050994220.000000 181.484500 0.000192405
88 4050994300.000000 181.639000 0.000192435
89 4050994380.000000 181.795000 0.000192435
90 4050994460.000000 181.952000 0.000192435
91 4050994540.000000 182.108000 0.000192464
92 4050994620.000000 182.264500 0.000192435
93 4050994700.000000 182.415500 0.000192405
94 4050994780.000000 182.571000 0.000192315
95 4050994860.000000 182.727500 0.000192286
96 4050994940.000000 182.885000 0.000192315
97 4050995020.000000 183.040500 0.000192226
98 4050995100.000000 183.193000 0.000192315
99 4050995180.000000 183.352000 0.000192345
100 4050995261.000000 183.507000 0.000192435
101 4050995340.000000 183.658500 0.000192494
102 4050995420.000000 183.813500 0.000192315
103 4050995500.000000 183.965000 0.000192315
104 4050995580.000000 184.122500 0.000192256
105 4050995660.000000 184.279500 0.000192226
106 4050995740.000000 184.432500 0.000192166
107 4050995820.000000 184.589000 0.000192226
108 4050995900.000000 184.744000 0.000192345
109 4050995980.000000 184.897000 0.000192286
110 4050996060.000000 185.053500 0.000192494
111 4050996140.000000 185.208000 0.000192405
112 4050996220.000000 185.362000 0.000192345
113 4050996300.000000 185.518000 0.000192345
114 4050996380.000000 185.673500 0.000192226
115 4050996460.000000 185.826500 0.000192107
116 4050996540.000000 185.981000 0.000192137
117 4050996620.000000 186.137000 0.000192166
